NAME,AGE,GP,GS,MIN,FGM,FGA,FG%,FG3M,FG3A,FG3%,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,MPG,PER,TEAM,SALARY,YEAR,POS,Segment
Kyle Lowry,35,48,48.0,1647,211,497,0.425,104.0,292.0,0.356,116,136,0.853,27.0,195.0,222.0,378,57.0,15.0,140.0,132,642,34.31,14.86,Miami Heat,26894128,2022, PG,Average
Trey Lyles,26,51,3.0,990,175,384,0.456,44.0,146.0,0.301,138,176,0.784,60.0,184.0,244.0,58,22.0,26.0,54.0,91,532,18.55,15.74,Sacramento Kings,2500000,2022, PF,Average
Terance Mann,25,61,25.0,1771,255,525,0.486,59.0,163.0,0.362,81,109,0.743,79.0,243.0,322.0,146,45.0,8.0,61.0,133,650,29.03,13.44,Los Angeles Clippers,1782621,2022, SG,Underperforming
Tre Mann,21,47,14.0,963,156,403,0.387,66.0,182.0,0.363,45,60,0.75,14.0,95.0,109.0,56,36.0,9.0,37.0,81,423,20.49,11.21,Oklahoma City Thunder,2901240,2022, PG,Underperforming
Lauri Markkanen,24,40,40.0,1210,200,465,0.43,85.0,241.0,0.353,76,89,0.854,43.0,171.0,214.0,58,29.0,23.0,32.0,72,561,30.25,14.42,Cleveland Cavaliers,15690909,2022, PF,Average
Caleb Martin,26,46,10.0,1055,164,324,0.506,44.0,119.0,0.37,53,72,0.736,57.0,126.0,183.0,48,46.0,21.0,37.0,77,425,22.93,15.54,Miami Heat,1782621,2022, SF,Average
Cody Martin,26,50,11.0,1347,147,322,0.457,50.0,120.0,0.417,55,82,0.671,61.0,147.0,208.0,130,65.0,25.0,46.0,85,399,26.94,13.14,Charlotte Hornets,1782621,2022, SF,Underperforming
Garrison Mathews,25,42,19.0,1147,137,330,0.415,101.0,273.0,0.37,107,132,0.811,25.0,116.0,141.0,43,30.0,14.0,29.0,120,482,27.31,12.2,Houston Rockets,2000000,2022, SG,Underperforming
Tyrese Maxey,21,52,51.0,1848,333,701,0.475,73.0,185.0,0.395,151,173,0.873,19.0,163.0,182.0,238,37.0,26.0,61.0,109,890,35.54,15.75,Philadelphia 76ers,2602920,2022, PG,Overperforming
CJ McCollum,30,36,36.0,1267,290,665,0.436,111.0,289.0,0.384,48,68,0.706,34.0,119.0,153.0,163,36.0,21.0,70.0,77,739,35.36,16.12,New Orleans Pelicans,30864198,2022, SG,Overperforming
