Away,Home,Time / TV,date
Sacramento Kings,Dallas Mavericks,5:00 pm,2022-03-05
San Antonio Spurs,Charlotte Hornets,7:00 pm,2022-03-05
Philadelphia 76ers,Miami Heat,8:00 pm,2022-03-05
Portland Trail Blazers,Minnesota Timberwolves,8:00 pm,2022-03-05
Orlando Magic,Memphis Grizzlies,8:00 pm,2022-03-05
Golden State Warriors,Los Angeles Lakers,8:30 pm  ABC,2022-03-05
New York Knicks,Los Angeles Clippers,10:00 pm  ESPN,2022-03-06
New Orleans Pelicans,Denver Nuggets,8:00 pm,2022-03-06
Toronto Raptors,Cleveland Cavaliers,7:30 pm  ESPN,2022-03-06
Utah Jazz,Oklahoma City Thunder,7:00 pm,2022-03-06
Indiana Pacers,Washington Wizards,6:00 pm,2022-03-06
Phoenix Suns,Milwaukee Bucks,3:30 pm  ABC,2022-03-06
Brooklyn Nets,Boston Celtics,1:00 pm  ABC,2022-03-06
Memphis Grizzlies,Houston Rockets,7:00 pm,2022-03-06
Los Angeles Lakers,San Antonio Spurs,8:30 pm,2022-03-07
New York Knicks,Sacramento Kings,10:30 pm,2022-03-07
Golden State Warriors,Denver Nuggets,9:00 pm  NBAt,2022-03-07
Utah Jazz,Dallas Mavericks,8:30 pm,2022-03-07
Houston Rockets,Miami Heat,7:30 pm,2022-03-07
Chicago Bulls,Philadelphia 76ers,7:00 pm,2022-03-07
Atlanta Hawks,Detroit Pistons,7:00 pm,2022-03-07
Portland Trail Blazers,Minnesota Timberwolves,8:00 pm,2022-03-07
Cleveland Cavaliers,Indiana Pacers,7:00 pm,2022-03-08
Phoenix Suns,Orlando Magic,7:00 pm,2022-03-08
Brooklyn Nets,Charlotte Hornets,7:00 pm,2022-03-08
New Orleans Pelicans,Memphis Grizzlies,7:30 pm  TNT,2022-03-08
Milwaukee Bucks,Oklahoma City Thunder,8:00 pm,2022-03-08
Los Angeles Clippers,Golden State Warriors,10:00 pm  TNT,2022-03-08
Toronto Raptors,San Antonio Spurs,8:30 pm,2022-03-09
Washington Wizards,Los Angeles Clippers,10:30 pm,2022-03-09
Portland Trail Blazers,Utah Jazz,10:00 pm  ESPN,2022-03-09
Denver Nuggets,Sacramento Kings,10:00 pm,2022-03-09
Oklahoma City Thunder,Minnesota Timberwolves,8:00 pm,2022-03-09
New York Knicks,Dallas Mavericks,8:30 pm,2022-03-09
Orlando Magic,New Orleans Pelicans,8:00 pm,2022-03-09
Los Angeles Lakers,Houston Rockets,8:00 pm,2022-03-09
Atlanta Hawks,Milwaukee Bucks,8:00 pm,2022-03-09
Phoenix Suns,Miami Heat,7:30 pm  ESPN,2022-03-09
Boston Celtics,Charlotte Hornets,7:00 pm,2022-03-09
Chicago Bulls,Detroit Pistons,7:00 pm,2022-03-09
Brooklyn Nets,Philadelphia 76ers,7:30 pm  TNT,2022-03-10
