Year,Series,Team1  ,Team2                 ,Winner
313 ,2002  ,Quarter,New Jersey Nets       ,Charlotte Hornets     ,Charlotte Hornets
314 ,2002  ,Quarter,Los Angeles Lakers    ,San Antonio Spurs     ,Los Angeles Lakers
315 ,2002  ,Quarter,Sacramento Kings      ,Dallas Mavericks      ,Dallas Mavericks
316 ,2002  ,Semi   ,New Jersey Nets       ,Boston Celtics        ,Boston Celtics
317 ,2002  ,Semi   ,Los Angeles Lakers    ,Sacramento Kings      ,Los Angeles Lakers
318 ,2002  ,Final  ,Los Angeles Lakers    ,New Jersey Nets       ,Los Angeles Lakers
320 ,2001  ,Playoff,Charlotte Hornets     ,Miami Heat            ,Charlotte Hornets
321 ,2001  ,Playoff,Milwaukee Bucks       ,Orlando Magic         ,Orlando Magic
322 ,2001  ,Playoff,Philadelphia 76ers    ,Indiana Pacers        ,Indiana Pacers
323 ,2001  ,Playoff,Toronto Raptors       ,New York Knicks       ,Toronto Raptors
324 ,2001  ,Playoff,Dallas Mavericks      ,Utah Jazz             ,Dallas Mavericks
325 ,2001  ,Playoff,Los Angeles Lakers    ,Portland Trail Blazers,Portland Trail Blazers
326 ,2001  ,Playoff,Sacramento Kings      ,Phoenix Suns          ,Phoenix Suns
327 ,2001  ,Playoff,San Antonio Spurs     ,Minnesota Timberwolves,Minnesota Timberwolves
328 ,2001  ,Quarter,Milwaukee Bucks       ,Charlotte Hornets     ,Charlotte Hornets
329 ,2001  ,Quarter,Philadelphia 76ers    ,Toronto Raptors       ,Philadelphia 76ers
330 ,2001  ,Quarter,Los Angeles Lakers    ,Sacramento Kings      ,Sacramento Kings
331 ,2001  ,Quarter,San Antonio Spurs     ,Dallas Mavericks      ,Dallas Mavericks
332 ,2001  ,Semi   ,Philadelphia 76ers    ,Milwaukee Bucks       ,Philadelphia 76ers
333 ,2001  ,Semi   ,Los Angeles Lakers    ,San Antonio Spurs     ,Los Angeles Lakers
334 ,2001  ,Final  ,Los Angeles Lakers    ,Philadelphia 76ers    ,Philadelphia 76ers
336 ,2000  ,Playoff,Indiana Pacers        ,Milwaukee Bucks       ,Milwaukee Bucks
337 ,2000  ,Playoff,Miami Heat            ,Detroit Pistons       ,Detroit Pistons
338 ,2000  ,Playoff,New York Knicks       ,Toronto Raptors       ,Toronto Raptors
339 ,2000  ,Playoff,Philadelphia 76ers    ,Charlotte Hornets     ,Philadelphia 76ers
340 ,2000  ,Playoff,Los Angeles Lakers    ,Sacramento Kings      ,Sacramento Kings
341 ,2000  ,Playoff,Phoenix Suns          ,San Antonio Spurs     ,Phoenix Suns
342 ,2000  ,Playoff,Portland Trail Blazers,Minnesota Timberwolves,Minnesota Timberwolves
343 ,2000  ,Playoff,Utah Jazz             ,Seattle SuperSonics   ,Seattle SuperSonics
344 ,2000  ,Quarter,Indiana Pacers        ,Philadelphia 76ers    ,Philadelphia 76ers
345 ,2000  ,Quarter,New York Knicks       ,Miami Heat            ,New York Knicks
346 ,2000  ,Quarter,Los Angeles Lakers    ,Phoenix Suns          ,Phoenix Suns
347 ,2000  ,Quarter,Portland Trail Blazers,Utah Jazz             ,Portland Trail Blazers
348 ,2000  ,Semi   ,Indiana Pacers        ,New York Knicks       ,New York Knicks
349 ,2000  ,Semi   ,Los Angeles Lakers    ,Portland Trail Blazers,Portland Trail Blazers
350 ,2000  ,Final  ,Los Angeles Lakers    ,Indiana Pacers        ,Los Angeles Lakers
352 ,1999  ,Playoff,Atlanta Hawks         ,Detroit Pistons       ,Detroit Pistons
353 ,1999  ,Playoff,Indiana Pacers        ,Milwaukee Bucks       ,Milwaukee Bucks
354 ,1999  ,Playoff,New York Knicks       ,Miami Heat            ,New York Knicks
355 ,1999  ,Playoff,Philadelphia 76ers    ,Orlando Magic         ,Philadelphia 76ers
356 ,1999  ,Playoff,Los Angeles Lakers    ,Houston Rockets       ,Houston Rockets
357 ,1999  ,Playoff,Portland Trail Blazers,Phoenix Suns          ,Phoenix Suns
358 ,1999  ,Playoff,San Antonio Spurs     ,Minnesota Timberwolves,Minnesota Timberwolves
359 ,1999  ,Playoff,Utah Jazz             ,Sacramento Kings      ,Sacramento Kings
360 ,1999  ,Quarter,Indiana Pacers        ,Philadelphia 76ers    ,Philadelphia 76ers
361 ,1999  ,Quarter,New York Knicks       ,Atlanta Hawks         ,New York Knicks
362 ,1999  ,Quarter,Portland Trail Blazers,Utah Jazz             ,Utah Jazz
363 ,1999  ,Quarter,San Antonio Spurs     ,Los Angeles Lakers    ,Los Angeles Lakers
364 ,1999  ,Semi   ,New York Knicks       ,Indiana Pacers        ,New York Knicks
365 ,1999  ,Semi   ,San Antonio Spurs     ,Portland Trail Blazers,Portland Trail Blazers
366 ,1999  ,Final  ,San Antonio Spurs     ,New York Knicks       ,New York Knicks
368 ,1998  ,Playoff,Charlotte Hornets     ,Atlanta Hawks         ,Atlanta Hawks
369 ,1998  ,Playoff,Chicago Bulls         ,New Jersey Nets       ,New Jersey Nets
370 ,1998  ,Playoff,Indiana Pacers        ,Cleveland Cavaliers   ,Cleveland Cavaliers
371 ,1998  ,Playoff,New York Knicks       ,Miami Heat            ,New York Knicks
372 ,1998  ,Playoff,Los Angeles Lakers    ,Portland Trail Blazers,Portland Trail Blazers
373 ,1998  ,Playoff,San Antonio Spurs     ,Phoenix Suns          ,San Antonio Spurs
374 ,1998  ,Playoff,Seattle SuperSonics   ,Minnesota Timberwolves,Minnesota Timberwolves
375 ,1998  ,Playoff,Utah Jazz             ,Houston Rockets       ,Houston Rockets
376 ,1998  ,Quarter,Chicago Bulls         ,Charlotte Hornets     ,Charlotte Hornets
377 ,1998  ,Quarter,Indiana Pacers        ,New York Knicks       ,New York Knicks
378 ,1998  ,Quarter,Los Angeles Lakers    ,Seattle SuperSonics   ,Los Angeles Lakers
379 ,1998  ,Quarter,Utah Jazz             ,San Antonio Spurs     ,San Antonio Spurs
380 ,1998  ,Semi   ,Chicago Bulls         ,Indiana Pacers        ,Indiana Pacers
381 ,1998  ,Semi   ,Utah Jazz             ,Los Angeles Lakers    ,Los Angeles Lakers
382 ,1998  ,Final  ,Chicago Bulls         ,Utah Jazz             ,Chicago Bulls
384 ,1997  ,Playoff,Atlanta Hawks         ,Detroit Pistons       ,Detroit Pistons
385 ,1997  ,Playoff,Chicago Bulls         ,Washington Bullets    ,Washington Bullets
386 ,1997  ,Playoff,Miami Heat            ,Orlando Magic         ,Orlando Magic
387 ,1997  ,Playoff,New York Knicks       ,Charlotte Hornets     ,Charlotte Hornets
388 ,1997  ,Playoff,Houston Rockets       ,Minnesota Timberwolves,Minnesota Timberwolves
389 ,1997  ,Playoff,Los Angeles Lakers    ,Portland Trail Blazers,Portland Trail Blazers
390 ,1997  ,Playoff,Seattle SuperSonics   ,Phoenix Suns          ,Phoenix Suns
391 ,1997  ,Playoff,Utah Jazz             ,Los Angeles Clippers  ,Los Angeles Clippers
392 ,1997  ,Quarter,Chicago Bulls         ,Atlanta Hawks         ,Atlanta Hawks
393 ,1997  ,Quarter,Miami Heat            ,New York Knicks       ,New York Knicks
394 ,1997  ,Quarter,Houston Rockets       ,Seattle SuperSonics   ,Houston Rockets
395 ,1997  ,Quarter,Utah Jazz             ,Los Angeles Lakers    ,Los Angeles Lakers
396 ,1997  ,Semi   ,Chicago Bulls         ,Miami Heat            ,Miami Heat
397 ,1997  ,Semi   ,Utah Jazz             ,Houston Rockets       ,Houston Rockets
398 ,1997  ,Final  ,Chicago Bulls         ,Utah Jazz             ,Chicago Bulls
400 ,1996  ,Playoff,Atlanta Hawks         ,Indiana Pacers        ,Atlanta Hawks
401 ,1996  ,Playoff,Chicago Bulls         ,Miami Heat            ,Miami Heat
402 ,1996  ,Playoff,New York Knicks       ,Cleveland Cavaliers   ,New York Knicks
403 ,1996  ,Playoff,Orlando Magic         ,Detroit Pistons       ,Detroit Pistons
404 ,1996  ,Playoff,Houston Rockets       ,Los Angeles Lakers    ,Houston Rockets
405 ,1996  ,Playoff,San Antonio Spurs     ,Phoenix Suns          ,Phoenix Suns
406 ,1996  ,Playoff,Seattle SuperSonics   ,Sacramento Kings      ,Sacramento Kings
407 ,1996  ,Playoff,Utah Jazz             ,Portland Trail Blazers,Portland Trail Blazers
408 ,1996  ,Quarter,Chicago Bulls         ,New York Knicks       ,New York Knicks
409 ,1996  ,Quarter,Orlando Magic         ,Atlanta Hawks         ,Atlanta Hawks
410 ,1996  ,Quarter,Seattle SuperSonics   ,Houston Rockets       ,Houston Rockets
411 ,1996  ,Quarter,Utah Jazz             ,San Antonio Spurs     ,Utah Jazz
412 ,1996  ,Semi   ,Chicago Bulls         ,Orlando Magic         ,Orlando Magic
413 ,1996  ,Semi   ,Seattle SuperSonics   ,Utah Jazz             ,Utah Jazz
414 ,1996  ,Final  ,Chicago Bulls         ,Seattle SuperSonics   ,Chicago Bulls
416 ,1995  ,Playoff,Chicago Bulls         ,Charlotte Hornets     ,Chicago Bulls
417 ,1995  ,Playoff,Indiana Pacers        ,Atlanta Hawks         ,Atlanta Hawks
418 ,1995  ,Playoff,New York Knicks       ,Cleveland Cavaliers   ,Cleveland Cavaliers
419 ,1995  ,Playoff,Orlando Magic         ,Boston Celtics        ,Boston Celtics
420 ,1995  ,Playoff,Houston Rockets       ,Utah Jazz             ,Houston Rockets
421 ,1995  ,Playoff,Los Angeles Lakers    ,Seattle SuperSonics   ,Los Angeles Lakers
422 ,1995  ,Playoff,Phoenix Suns          ,Portland Trail Blazers,Portland Trail Blazers
423 ,1995  ,Playoff,San Antonio Spurs     ,Denver Nuggets        ,Denver Nuggets
424 ,1995  ,Quarter,Indiana Pacers        ,New York Knicks       ,New York Knicks
425 ,1995  ,Quarter,Orlando Magic         ,Chicago Bulls         ,Chicago Bulls
426 ,1995  ,Quarter,Houston Rockets       ,Phoenix Suns          ,Houston Rockets
427 ,1995  ,Quarter,San Antonio Spurs     ,Los Angeles Lakers    ,Los Angeles Lakers
428 ,1995  ,Semi   ,Orlando Magic         ,Indiana Pacers        ,Indiana Pacers
429 ,1995  ,Semi   ,Houston Rockets       ,San Antonio Spurs     ,Houston Rockets
430 ,1995  ,Final  ,Houston Rockets       ,Orlando Magic         ,Houston Rockets
432 ,1994  ,Playoff,Atlanta Hawks         ,Miami Heat            ,Miami Heat
433 ,1994  ,Playoff,Chicago Bulls         ,Cleveland Cavaliers   ,Cleveland Cavaliers
434 ,1994  ,Playoff,Indiana Pacers        ,Orlando Magic         ,Indiana Pacers
435 ,1994  ,Playoff,New York Knicks       ,New Jersey Nets       ,New Jersey Nets
436 ,1994  ,Playoff,Denver Nuggets        ,Seattle SuperSonics   ,Denver Nuggets
437 ,1994  ,Playoff,Houston Rockets       ,Portland Trail Blazers,Portland Trail Blazers
438 ,1994  ,Playoff,Phoenix Suns          ,Golden State Warriors ,Golden State Warriors
439 ,1994  ,Playoff,Utah Jazz             ,San Antonio Spurs     ,Utah Jazz
440 ,1994  ,Quarter,Indiana Pacers        ,Atlanta Hawks         ,Indiana Pacers
441 ,1994  ,Quarter,New York Knicks       ,Chicago Bulls         ,Chicago Bulls
442 ,1994  ,Quarter,Houston Rockets       ,Phoenix Suns          ,Phoenix Suns
443 ,1994  ,Quarter,Utah Jazz             ,Denver Nuggets        ,Denver Nuggets
444 ,1994  ,Semi   ,New York Knicks       ,Indiana Pacers        ,Indiana Pacers
445 ,1994  ,Semi   ,Houston Rockets       ,Utah Jazz             ,Utah Jazz
446 ,1994  ,Final  ,Houston Rockets       ,New York Knicks       ,Houston Rockets
448 ,1993  ,Playoff,Charlotte Hornets     ,Boston Celtics        ,Charlotte Hornets
449 ,1993  ,Playoff,Chicago Bulls         ,Atlanta Hawks         ,Atlanta Hawks
450 ,1993  ,Playoff,Cleveland Cavaliers   ,New Jersey Nets       ,New Jersey Nets
451 ,1993  ,Playoff,New York Knicks       ,Indiana Pacers        ,Indiana Pacers
452 ,1993  ,Playoff,Houston Rockets       ,Los Angeles Clippers  ,Los Angeles Clippers
453 ,1993  ,Playoff,Phoenix Suns          ,Los Angeles Lakers    ,Los Angeles Lakers
454 ,1993  ,Playoff,San Antonio Spurs     ,Portland Trail Blazers,San Antonio Spurs
455 ,1993  ,Playoff,Seattle SuperSonics   ,Utah Jazz             ,Utah Jazz
456 ,1993  ,Quarter,Chicago Bulls         ,Cleveland Cavaliers   ,Cleveland Cavaliers
457 ,1993  ,Quarter,New York Knicks       ,Charlotte Hornets     ,Charlotte Hornets
458 ,1993  ,Quarter,Phoenix Suns          ,San Antonio Spurs     ,San Antonio Spurs
459 ,1993  ,Quarter,Seattle SuperSonics   ,Houston Rockets       ,Seattle SuperSonics
460 ,1993  ,Semi   ,Chicago Bulls         ,New York Knicks       ,Chicago Bulls
461 ,1993  ,Semi   ,Phoenix Suns          ,Seattle SuperSonics   ,Seattle SuperSonics
462 ,1993  ,Final  ,Chicago Bulls         ,Phoenix Suns          ,Chicago Bulls
464 ,1992  ,Playoff,Boston Celtics        ,Indiana Pacers        ,Indiana Pacers
465 ,1992  ,Playoff,Chicago Bulls         ,Miami Heat            ,Miami Heat
466 ,1992  ,Playoff,Cleveland Cavaliers   ,New Jersey Nets       ,New Jersey Nets
467 ,1992  ,Playoff,New York Knicks       ,Detroit Pistons       ,Detroit Pistons
468 ,1992  ,Playoff,Phoenix Suns          ,San Antonio Spurs     ,San Antonio Spurs
469 ,1992  ,Playoff,Portland Trail Blazers,Los Angeles Lakers    ,Los Angeles Lakers
470 ,1992  ,Playoff,Seattle SuperSonics   ,Golden State Warriors ,Seattle SuperSonics
471 ,1992  ,Playoff,Utah Jazz             ,Los Angeles Clippers  ,Los Angeles Clippers
472 ,1992  ,Quarter,Chicago Bulls         ,New York Knicks       ,New York Knicks
473 ,1992  ,Quarter,Cleveland Cavaliers   ,Boston Celtics        ,Cleveland Cavaliers
474 ,1992  ,Quarter,Portland Trail Blazers,Phoenix Suns          ,Phoenix Suns
475 ,1992  ,Quarter,Utah Jazz             ,Seattle SuperSonics   ,Seattle SuperSonics
476 ,1992  ,Semi   ,Chicago Bulls         ,Cleveland Cavaliers   ,Cleveland Cavaliers
477 ,1992  ,Semi   ,Portland Trail Blazers,Utah Jazz             ,Utah Jazz
478 ,1992  ,Final  ,Chicago Bulls         ,Portland Trail Blazers,Chicago Bulls
480 ,1991  ,Playoff,Boston Celtics        ,Indiana Pacers        ,Indiana Pacers
481 ,1991  ,Playoff,Chicago Bulls         ,New York Knicks       ,New York Knicks
482 ,1991  ,Playoff,Detroit Pistons       ,Atlanta Hawks         ,Atlanta Hawks
483 ,1991  ,Playoff,Philadelphia 76ers    ,Milwaukee Bucks       ,Philadelphia 76ers
484 ,1991  ,Playoff,Golden State Warriors ,San Antonio Spurs     ,Golden State Warriors
485 ,1991  ,Playoff,Los Angeles Lakers    ,Houston Rockets       ,Houston Rockets
486 ,1991  ,Playoff,Portland Trail Blazers,Seattle SuperSonics   ,Seattle SuperSonics
487 ,1991  ,Playoff,Utah Jazz             ,Phoenix Suns          ,Utah Jazz
488 ,1991  ,Quarter,Chicago Bulls         ,Philadelphia 76ers    ,Philadelphia 76ers
489 ,1991  ,Quarter,Detroit Pistons       ,Boston Celtics        ,Detroit Pistons
490 ,1991  ,Quarter,Los Angeles Lakers    ,Golden State Warriors ,Golden State Warriors
491 ,1991  ,Quarter,Portland Trail Blazers,Utah Jazz             ,Utah Jazz
492 ,1991  ,Semi   ,Chicago Bulls         ,Detroit Pistons       ,Detroit Pistons
493 ,1991  ,Semi   ,Los Angeles Lakers    ,Portland Trail Blazers,Los Angeles Lakers
494 ,1991  ,Final  ,Chicago Bulls         ,Los Angeles Lakers    ,Los Angeles Lakers
496 ,1990  ,Playoff,Chicago Bulls         ,Milwaukee Bucks       ,Milwaukee Bucks
497 ,1990  ,Playoff,Detroit Pistons       ,Indiana Pacers        ,Indiana Pacers
498 ,1990  ,Playoff,New York Knicks       ,Boston Celtics        ,New York Knicks
499 ,1990  ,Playoff,Philadelphia 76ers    ,Cleveland Cavaliers   ,Philadelphia 76ers
500 ,1990  ,Playoff,Los Angeles Lakers    ,Houston Rockets       ,Houston Rockets
501 ,1990  ,Playoff,Phoenix Suns          ,Utah Jazz             ,Phoenix Suns
502 ,1990  ,Playoff,Portland Trail Blazers,Dallas Mavericks      ,Dallas Mavericks
503 ,1990  ,Playoff,San Antonio Spurs     ,Denver Nuggets        ,Denver Nuggets
504 ,1990  ,Quarter,Chicago Bulls         ,Philadelphia 76ers    ,Philadelphia 76ers
505 ,1990  ,Quarter,Detroit Pistons       ,New York Knicks       ,New York Knicks
506 ,1990  ,Quarter,Phoenix Suns          ,Los Angeles Lakers    ,Phoenix Suns
507 ,1990  ,Quarter,Portland Trail Blazers,San Antonio Spurs     ,Portland Trail Blazers
508 ,1990  ,Semi   ,Detroit Pistons       ,Chicago Bulls         ,Chicago Bulls
509 ,1990  ,Semi   ,Portland Trail Blazers,Phoenix Suns          ,Phoenix Suns
510 ,1990  ,Final  ,Detroit Pistons       ,Portland Trail Blazers,Portland Trail Blazers
512 ,1989  ,Playoff,Chicago Bulls         ,Cleveland Cavaliers   ,Chicago Bulls
513 ,1989  ,Playoff,Detroit Pistons       ,Boston Celtics        ,Boston Celtics
514 ,1989  ,Playoff,Milwaukee Bucks       ,Atlanta Hawks         ,Milwaukee Bucks
515 ,1989  ,Playoff,New York Knicks       ,Philadelphia 76ers    ,Philadelphia 76ers
516 ,1989  ,Playoff,Golden State Warriors ,Utah Jazz             ,Golden State Warriors
517 ,1989  ,Playoff,Los Angeles Lakers    ,Portland Trail Blazers,Portland Trail Blazers
518 ,1989  ,Playoff,Phoenix Suns          ,Denver Nuggets        ,Denver Nuggets
519 ,1989  ,Playoff,Seattle SuperSonics   ,Houston Rockets       ,Houston Rockets
520 ,1989  ,Quarter,Chicago Bulls         ,New York Knicks       ,Chicago Bulls
521 ,1989  ,Quarter,Detroit Pistons       ,Milwaukee Bucks       ,Milwaukee Bucks
522 ,1989  ,Quarter,Los Angeles Lakers    ,Seattle SuperSonics   ,Seattle SuperSonics
523 ,1989  ,Quarter,Phoenix Suns          ,Golden State Warriors ,Golden State Warriors
524 ,1989  ,Semi   ,Detroit Pistons       ,Chicago Bulls         ,Chicago Bulls
525 ,1989  ,Semi   ,Los Angeles Lakers    ,Phoenix Suns          ,Phoenix Suns
526 ,1989  ,Final  ,Detroit Pistons       ,Los Angeles Lakers    ,Detroit Pistons
528 ,1988  ,Playoff,Atlanta Hawks         ,Milwaukee Bucks       ,Milwaukee Bucks
529 ,1988  ,Playoff,Boston Celtics        ,New York Knicks       ,New York Knicks
530 ,1988  ,Playoff,Chicago Bulls         ,Cleveland Cavaliers   ,Cleveland Cavaliers
531 ,1988  ,Playoff,Detroit Pistons       ,Washington Bullets    ,Washington Bullets
532 ,1988  ,Playoff,Dallas Mavericks      ,Houston Rockets       ,Houston Rockets
533 ,1988  ,Playoff,Denver Nuggets        ,Seattle SuperSonics   ,Seattle SuperSonics
534 ,1988  ,Playoff,Los Angeles Lakers    ,San Antonio Spurs     ,San Antonio Spurs
535 ,1988  ,Playoff,Utah Jazz             ,Portland Trail Blazers,Utah Jazz
536 ,1988  ,Quarter,Boston Celtics        ,Atlanta Hawks         ,Atlanta Hawks
537 ,1988  ,Quarter,Detroit Pistons       ,Chicago Bulls         ,Chicago Bulls
538 ,1988  ,Quarter,Dallas Mavericks      ,Denver Nuggets        ,Dallas Mavericks
539 ,1988  ,Quarter,Los Angeles Lakers    ,Utah Jazz             ,Utah Jazz
540 ,1988  ,Semi   ,Detroit Pistons       ,Boston Celtics        ,Detroit Pistons
541 ,1988  ,Semi   ,Los Angeles Lakers    ,Dallas Mavericks      ,Dallas Mavericks
542 ,1988  ,Final  ,Los Angeles Lakers    ,Detroit Pistons       ,Detroit Pistons
544 ,1987  ,Playoff,Atlanta Hawks         ,Indiana Pacers        ,Indiana Pacers
545 ,1987  ,Playoff,Boston Celtics        ,Chicago Bulls         ,Chicago Bulls
546 ,1987  ,Playoff,Detroit Pistons       ,Washington Bullets    ,Washington Bullets
547 ,1987  ,Playoff,Milwaukee Bucks       ,Philadelphia 76ers    ,Philadelphia 76ers
548 ,1987  ,Playoff,Golden State Warriors ,Utah Jazz             ,Golden State Warriors
549 ,1987  ,Playoff,Houston Rockets       ,Portland Trail Blazers,Houston Rockets
550 ,1987  ,Playoff,Los Angeles Lakers    ,Denver Nuggets        ,Denver Nuggets
551 ,1987  ,Playoff,Seattle SuperSonics   ,Dallas Mavericks      ,Seattle SuperSonics
552 ,1987  ,Quarter,Boston Celtics        ,Milwaukee Bucks       ,Milwaukee Bucks
553 ,1987  ,Quarter,Detroit Pistons       ,Atlanta Hawks         ,Detroit Pistons
554 ,1987  ,Quarter,Los Angeles Lakers    ,Golden State Warriors ,Golden State Warriors
555 ,1987  ,Quarter,Seattle SuperSonics   ,Houston Rockets       ,Seattle SuperSonics
556 ,1987  ,Semi   ,Boston Celtics        ,Detroit Pistons       ,Detroit Pistons
557 ,1987  ,Semi   ,Los Angeles Lakers    ,Seattle SuperSonics   ,Seattle SuperSonics
558 ,1987  ,Final  ,Los Angeles Lakers    ,Boston Celtics        ,Los Angeles Lakers
560 ,1986  ,Playoff,Atlanta Hawks         ,Detroit Pistons       ,Detroit Pistons
561 ,1986  ,Playoff,Boston Celtics        ,Chicago Bulls         ,Chicago Bulls
562 ,1986  ,Playoff,Milwaukee Bucks       ,New Jersey Nets       ,New Jersey Nets
563 ,1986  ,Playoff,Philadelphia 76ers    ,Washington Bullets    ,Philadelphia 76ers
564 ,1986  ,Playoff,Dallas Mavericks      ,Utah Jazz             ,Utah Jazz
565 ,1986  ,Playoff,Denver Nuggets        ,Portland Trail Blazers,Portland Trail Blazers
566 ,1986  ,Playoff,Houston Rockets       ,Sacramento Kings      ,Sacramento Kings
567 ,1986  ,Playoff,Los Angeles Lakers    ,San Antonio Spurs     ,San Antonio Spurs
568 ,1986  ,Quarter,Boston Celtics        ,Atlanta Hawks         ,Atlanta Hawks
569 ,1986  ,Quarter,Milwaukee Bucks       ,Philadelphia 76ers    ,Philadelphia 76ers
570 ,1986  ,Quarter,Houston Rockets       ,Denver Nuggets        ,Denver Nuggets
571 ,1986  ,Quarter,Los Angeles Lakers    ,Dallas Mavericks      ,Dallas Mavericks
572 ,1986  ,Semi   ,Boston Celtics        ,Milwaukee Bucks       ,Milwaukee Bucks
573 ,1986  ,Semi   ,Houston Rockets       ,Los Angeles Lakers    ,Houston Rockets
574 ,1986  ,Final  ,Boston Celtics        ,Houston Rockets       ,Houston Rockets
576 ,1985  ,Playoff,Boston Celtics        ,Cleveland Cavaliers   ,Cleveland Cavaliers
577 ,1985  ,Playoff,Detroit Pistons       ,New Jersey Nets       ,New Jersey Nets
578 ,1985  ,Playoff,Milwaukee Bucks       ,Chicago Bulls         ,Chicago Bulls
579 ,1985  ,Playoff,Philadelphia 76ers    ,Washington Bullets    ,Philadelphia 76ers
580 ,1985  ,Playoff,Denver Nuggets        ,San Antonio Spurs     ,San Antonio Spurs
581 ,1985  ,Playoff,Los Angeles Lakers    ,Phoenix Suns          ,Phoenix Suns
582 ,1985  ,Playoff,Portland Trail Blazers,Dallas Mavericks      ,Portland Trail Blazers
583 ,1985  ,Playoff,Utah Jazz             ,Houston Rockets       ,Utah Jazz
584 ,1985  ,Quarter,Boston Celtics        ,Detroit Pistons       ,Detroit Pistons
585 ,1985  ,Quarter,Philadelphia 76ers    ,Milwaukee Bucks       ,Philadelphia 76ers
586 ,1985  ,Quarter,Denver Nuggets        ,Utah Jazz             ,Utah Jazz
587 ,1985  ,Quarter,Los Angeles Lakers    ,Portland Trail Blazers,Portland Trail Blazers
588 ,1985  ,Semi   ,Boston Celtics        ,Philadelphia 76ers    ,Philadelphia 76ers
589 ,1985  ,Semi   ,Los Angeles Lakers    ,Denver Nuggets        ,Denver Nuggets
590 ,1985  ,Final  ,Los Angeles Lakers    ,Boston Celtics        ,Los Angeles Lakers
592 ,1984  ,Playoff,Boston Celtics        ,Washington Bullets    ,Washington Bullets
593 ,1984  ,Playoff,Milwaukee Bucks       ,Atlanta Hawks         ,Atlanta Hawks
594 ,1984  ,Playoff,New Jersey Nets       ,Philadelphia 76ers    ,Philadelphia 76ers
595 ,1984  ,Playoff,New York Knicks       ,Detroit Pistons       ,New York Knicks
596 ,1984  ,Playoff,Dallas Mavericks      ,Seattle SuperSonics   ,Seattle SuperSonics
597 ,1984  ,Playoff,Los Angeles Lakers    ,Kansas City Kings     ,Kansas City Kings
598 ,1984  ,Playoff,Phoenix Suns          ,Portland Trail Blazers,Phoenix Suns
599 ,1984  ,Playoff,Utah Jazz             ,Denver Nuggets        ,Denver Nuggets
600 ,1984  ,Quarter,Boston Celtics        ,New York Knicks       ,New York Knicks
601 ,1984  ,Quarter,Milwaukee Bucks       ,New Jersey Nets       ,New Jersey Nets
602 ,1984  ,Quarter,Los Angeles Lakers    ,Dallas Mavericks      ,Dallas Mavericks
603 ,1984  ,Quarter,Phoenix Suns          ,Utah Jazz             ,Phoenix Suns
604 ,1984  ,Semi   ,Boston Celtics        ,Milwaukee Bucks       ,Milwaukee Bucks
605 ,1984  ,Semi   ,Los Angeles Lakers    ,Phoenix Suns          ,Phoenix Suns
606 ,1984  ,Final  ,Boston Celtics        ,Los Angeles Lakers    ,Boston Celtics
608 ,1983  ,Playoff,Boston Celtics        ,Atlanta Hawks         ,Atlanta Hawks
609 ,1983  ,Playoff,New York Knicks       ,New Jersey Nets       ,New York Knicks
610 ,1983  ,Playoff,Denver Nuggets        ,Phoenix Suns          ,Denver Nuggets
611 ,1983  ,Playoff,Portland Trail Blazers,Seattle SuperSonics   ,Portland Trail Blazers
612 ,1983  ,Quarter,Milwaukee Bucks       ,Boston Celtics        ,Boston Celtics
613 ,1983  ,Quarter,Philadelphia 76ers    ,New York Knicks       ,Philadelphia 76ers
614 ,1983  ,Quarter,Los Angeles Lakers    ,Portland Trail Blazers,Portland Trail Blazers
615 ,1983  ,Quarter,San Antonio Spurs     ,Denver Nuggets        ,Denver Nuggets
616 ,1983  ,Semi   ,Philadelphia 76ers    ,Milwaukee Bucks       ,Philadelphia 76ers
617 ,1983  ,Semi   ,Los Angeles Lakers    ,San Antonio Spurs     ,San Antonio Spurs
618 ,1983  ,Final  ,Philadelphia 76ers    ,Los Angeles Lakers    ,Philadelphia 76ers
620 ,1982  ,Playoff,Philadelphia 76ers    ,Atlanta Hawks         ,Philadelphia 76ers
621 ,1982  ,Playoff,Washington Bullets    ,New Jersey Nets       ,Washington Bullets
622 ,1982  ,Playoff,Phoenix Suns          ,Denver Nuggets        ,Phoenix Suns
623 ,1982  ,Playoff,Seattle SuperSonics   ,Houston Rockets       ,Houston Rockets
624 ,1982  ,Quarter,Boston Celtics        ,Washington Bullets    ,Washington Bullets
625 ,1982  ,Quarter,Philadelphia 76ers    ,Milwaukee Bucks       ,Philadelphia 76ers
626 ,1982  ,Quarter,Los Angeles Lakers    ,Phoenix Suns          ,Phoenix Suns
627 ,1982  ,Quarter,San Antonio Spurs     ,Seattle SuperSonics   ,Seattle SuperSonics
628 ,1982  ,Semi   ,Philadelphia 76ers    ,Boston Celtics        ,Philadelphia 76ers
629 ,1982  ,Semi   ,Los Angeles Lakers    ,San Antonio Spurs     ,San Antonio Spurs
630 ,1982  ,Final  ,Los Angeles Lakers    ,Philadelphia 76ers    ,Philadelphia 76ers
632 ,1981  ,Playoff,Chicago Bulls         ,New York Knicks       ,Chicago Bulls
633 ,1981  ,Playoff,Philadelphia 76ers    ,Indiana Pacers        ,Philadelphia 76ers
634 ,1981  ,Playoff,Houston Rockets       ,Los Angeles Lakers    ,Houston Rockets
635 ,1981  ,Playoff,Kansas City Kings     ,Portland Trail Blazers,Kansas City Kings
