TEAM,FGM,FGA,FG3M,FG3A,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PER,SEASON,Playoff,Quarter,Semi,Final,Champion,SCORE,W,L,WIN%,GB,CONF,DIV,HOME,ROAD,OT,STREAK,LAST 10,TEAM_ID,ELO
Philadelphia 76ers,2325,5002,672.0,1861.0,1101,1343,434.0,1956.0,2390.0,1360,429.0,302.0,678.0,1082,6423,14.06,2021-22,0,0,0,0,0,,39,23,0.629,2,23-14,6-7,18-13,21-10,2-1,W 5,8-2,1610612755,1646.1933112205727
Phoenix Suns,2414,4959,674.0,1817.0,900,1096,439.0,1912.0,2351.0,1527,471.0,214.0,646.0,984,6402,17.29,2021-22,0,0,0,0,0,,51,12,0.81,--,30-9,6-4,28-7,23-5,1-0,W 2,8-2,1610612756,1736.2986521421535
Portland Trail Blazers,2109,4774,778.0,2177.0,882,1145,490.0,1747.0,2237.0,1262,417.0,236.0,713.0,1016,5878,12.95,2021-22,0,0,0,0,0,,25,37,0.403,25.5,11-27,1-9,16-18,9-19,0-1,L 3,4-6,1610612757,1436.137563851407
Sacramento Kings,2356,5107,683.0,1975.0,1023,1314,510.0,1887.0,2397.0,1367,417.0,264.0,779.0,1069,6418,14.41,2021-22,0,0,0,0,0,,24,41,0.369,28,17-25,5-7,15-18,9-23,1-0,W 1,4-6,1610612758,1398.7915301633063
San Antonio Spurs,2555,5480,664.0,1860.0,830,1108,578.0,1977.0,2555.0,1638,437.0,279.0,695.0,1022,6604,15.36,2021-22,0,0,0,0,0,,24,39,0.381,27,14-22,4-7,11-19,13-20,1-3,L 3,5-5,1610612759,1427.9460505077857
Toronto Raptors,2334,5255,688.0,1946.0,926,1217,742.0,1795.0,2537.0,1260,506.0,266.0,703.0,1093,6282,13.91,2021-22,0,0,0,0,0,,34,29,0.54,7.5,23-18,7-5,17-15,17-14,2-1,L 2,4-6,1610612761,1525.6453580086195
Utah Jazz,2396,5066,850.0,2359.0,1066,1362,614.0,2076.0,2690.0,1322,428.0,275.0,778.0,1072,6708,16.75,2021-22,0,0,0,0,0,,39,23,0.629,11.5,25-13,11-1,22-10,17-13,1-0,L 1,8-2,1610612762,1583.2166177699855
Washington Wizards,2262,4864,589.0,1778.0,962,1226,495.0,1945.0,2440.0,1395,352.0,277.0,735.0,1045,6075,14.5,2021-22,0,0,0,0,0,,28,34,0.452,13,21-21,6-7,16-17,12-17,3-1,L 1,4-6,1610612764,1402.435718579001
Atlanta Hawks,2793,5917,858.0,2280.0,1332,1637,703.0,2336.0,3039.0,1592,455.0,323.0,827.0,1297,7776,15.14,2020-21,1,1,1,0,0,15.0,41,31,0.569,8   ,24-18,9-3  ,25-11,16-20,2-2 ,,,1610612737,1634.3098799347383
Boston Celtics,2681,5739,877.0,2330.0,1077,1378,679.0,2161.0,2840.0,1501,486.0,314.0,860.0,1272,7316,14.58,2020-21,1,0,0,0,0,7.0,36,36,0.5,13  ,20-22,4-8  ,21-15,15-21,2-2 ,,,1610612738,1472.4184103291543
