NAME,TEAM,SALARY,YEAR,POS
Latrell Sprewell,Minnesota Timberwolves,14625000,2005, SG
Vin Baker,Houston Rockets,14625000,2005, PF
Zydrunas Ilgauskas,Cleveland Cavaliers,14625000,2005, C
Anfernee Hardaway,New York Knicks,14625000,2005, SF
Ray Allen,Oklahoma City Thunder,14625000,2005, SG
Kobe Bryant,Los Angeles Lakers,14625000,2005, SF
Stephon Marbury,New York Knicks,14625000,2005, PG
Michael Finley,Dallas Mavericks,14609000,2005, SG
Tracy McGrady,Houston Rockets,14487000,2005, SG
Jalen Rose,Toronto Raptors,14487000,2005, SG
Keith Van Horn,Dallas Mavericks,14487000,2005, PF
Grant Hill,Orlando Magic,14487000,2005, SF
Eddie Jones,Miami Heat,13440000,2005, SG
Brian Grant,Los Angeles Lakers,13346000,2005, PF
Vince Carter,Brooklyn Nets,13281000,2005, G
Tim Thomas,New York Knicks,12900000,2005, PF
Antonio Davis,Chicago Bulls,12000000,2005, PF
Glenn Robinson,San Antonio Spurs,12000000,2005, SF
Nick Van Exel,Portland Trail Blazers,11821000,2005, PG
Theo Ratliff,Portland Trail Blazers,10937000,2005, C
Kerry Kittles,Los Angeles Clippers,9817000,2005, SG
Jamal Mashburn,Philadelphia 76ers,9300000,2005, SF
Maurice Taylor,New York Knicks,8450000,2005, PF
Derek Anderson,Portland Trail Blazers,8444000,2005, SG
Alan Henderson,Dallas Mavericks,8273000,2005, PF
Austin Croshere,Indiana Pacers,8260000,2005, PF
Erick Dampier,Dallas Mavericks,8105000,2005, C
Kelvin Cato,Orlando Magic,7992000,2005, C
Marcus Camby,Denver Nuggets,7750000,2005, C
Shandon Anderson,Miami Heat,7300000,2005, SF
Lorenzen Wright,Memphis Grizzlies,7150000,2005, PF
Jerry Stackhouse,Dallas Mavericks,7000000,2005, SF
Doug Christie,Orlando Magic,6875000,2005, SG
Peja Stojakovic,Sacramento Kings,6875000,2005, SF
Kenyon Martin,Denver Nuggets,6667000,2005, PF
Howard Eisley,Utah Jazz,6375000,2005, PG
Nazr Mohammed,San Antonio Spurs,6270000,2005, C
Vitaly Potapenko,Oklahoma City Thunder,6191000,2005, C
Christian Laettner,Miami Heat,6078000,2005, PF
Stromile Swift,Memphis Grizzlies,6022000,2005, PF
Ben Wallace,Detroit Pistons,6000000,2005, PF
Danny Fortson,Oklahoma City Thunder,5922000,2005, C
Calvin Booth,Milwaukee Bucks,5900000,2005, C
Joe Smith,Milwaukee Bucks,5899000,2005, PF
Ruben Patterson,Portland Trail Blazers,5899000,2005, PF
Clarence Weatherspoon,Houston Rockets,5899000,2005, PF
Kurt Thomas,New York Knicks,5885000,2005, PF
Jahidi White,Charlotte Hornets,5884000,2005, C
Cuttino Mobley,Sacramento Kings,5883000,2005, SG
Scot Pollard,Indiana Pacers,5792000,2005, C
Steve Nash,Phoenix Suns,5750000,2005, PG
Shawn Bradley,Dallas Mavericks,5714000,2005, C
Jerome Williams,New York Knicks,5600000,2005, PF
Corliss Williamson,Sacramento Kings,5500000,2005, PF
Aaron McKie,Philadelphia 76ers,5500000,2005, SG
Darius Miles,Portland Trail Blazers,5419000,2005, SF
Kwame Brown,Washington Wizards,5361000,2005, C
Bo Outlaw,Phoenix Suns,5355000,2005, PF
Marcus Fizer,Milwaukee Bucks,4915000,2005, F
Lamond Murray,Toronto Raptors,4875000,2005, SF
Eric Snow,Cleveland Cavaliers,4875000,2005, PG
Tony Battie,Orlando Magic,4800000,2005, C
Michael Stewart,Atlanta Hawks,4800000,2005, PF
Mike Miller,Memphis Grizzlies,4482000,2005, SG
Pau Gasol,Memphis Grizzlies,4318000,2005, PF
Marc Jackson,Philadelphia 76ers,4225000,2005, PF
Chucky Atkins,Los Angeles Lakers,4200000,2005, PG
DerMarr Johnson,Denver Nuggets,4119000,2005, SF
Chris Mihm,Los Angeles Lakers,3785000,2005, C
Moochie Norris,Houston Rockets,3600000,2005, PG
Jamal Crawford,New York Knicks,3475000,2005, G
Joel Przybilla,Portland Trail Blazers,3215000,2005, C
Shane Battier,Memphis Grizzlies,3212000,2005, SF
Othella Harrington,Chicago Bulls,3150000,2005, PF
Aaron Williams,Toronto Raptors,3150000,2005, C
Tony Delk,Atlanta Hawks,3150000,2005, PG
Bobby Jackson,Sacramento Kings,3150000,2005, PG
Keyon Dooling,Miami Heat,3073000,2005, PG
Jerome Moiso,Cleveland Cavaliers,3054000,2005, C
Etan Thomas,Washington Wizards,3043000,2005, C
Derek Fisher,Golden State Warriors,3000000,2005, PG
George Lynch,New Orleans Pelicans,3000000,2005, SF
Mateen Cleaves,Oklahoma City Thunder,2969000,2005, PG
Jason Collier,Atlanta Hawks,2949000,2005, C
Eddie Griffin,Minnesota Timberwolves,2937000,2005, PF
Hedo Turkoglu,Orlando Magic,2803000,2005, SF
DeSagana Diop,Cleveland Cavaliers,2695000,2005, C
Desmond Mason,Milwaukee Bucks,2680000,2005, SF
Quentin Richardson,Phoenix Suns,2562000,2005, SF
Rodney White,Golden State Warriors,2481000,2005, SF
Jamaal Magloire,New Orleans Pelicans,2474000,2005, C
Speedy Claxton,New Orleans Pelicans,2390000,2005, PG
Morris Peterson,Toronto Raptors,2371000,2005, SG
Donnell Harvey,Brooklyn Nets,2363000,2005, PF
DeShawn Stevenson,Orlando Magic,2362000,2005, SG
Joe Johnson,Phoenix Suns,2358000,2005, G
Kedrick Brown,Philadelphia 76ers,2332000,2005, SG
Jake Tsakalidis,Memphis Grizzlies,2322000,2005, C
Vladimir Radmanovic,Oklahoma City Thunder,2301000,2005, SF
Mamadou N'diaye,Los Angeles Clippers,2269000,2005, C
Richard Jefferson,Brooklyn Nets,2266000,2005, F
Troy Murphy,Golden State Warriors,2232000,2005, PF
Mark Madsen,Minnesota Timberwolves,2212000,2005, PF
Michael Bradley,Philadelphia 76ers,1985000,2005, PF
Jason Collins,Brooklyn Nets,1887000,2005, C
Zach Randolph,Portland Trail Blazers,1805000,2005, F
Andrei Kirilenko,Utah Jazz,1672000,2005, SF
Samuel Dalembert,Philadelphia 76ers,1600000,2005, C
Jamaal Tinsley,Indiana Pacers,1554000,2005, PG
Primoz Brezec,Charlotte Hornets,1554000,2005, C
Tony Parker,San Antonio Spurs,1545000,2005, G
Gerald Wallace,Charlotte Hornets,1377000,2005, SF
Shaquille O'Neal,Miami Heat,20000000,2006, C
Chris Webber,Philadelphia 76ers,19125000,2006, C
Kevin Garnett,Minnesota Timberwolves,18000000,2006, PF
Allen Iverson,Philadelphia 76ers,16453125,2006, SG
Stephon Marbury,New York Knicks,16453125,2006, PG
Jason Kidd,Brooklyn Nets,16440000,2006, PG
Jermaine O'Neal,Indiana Pacers,16440000,2006, C
Kobe Bryant,Los Angeles Lakers,15946875,2006, SF
Tim Duncan,San Antonio Spurs,15845157,2006, C
Vin Baker,Los Angeles Clippers,15750000,2006, PF
Anfernee Hardaway,Orlando Magic,15750000,2006, SF
Tracy McGrady,Houston Rockets,15694250,2006, SG
Jalen Rose,New York Knicks,15694250,2006, SG
Keith Van Horn,Dallas Mavericks,15694250,2006, PF
Grant Hill,Orlando Magic,15694250,2006, SF
Eddie Jones,Memphis Grizzlies,14666250,2006, SG
Tim Thomas,Phoenix Suns,13975000,2006, PF
Antonio Davis,Toronto Raptors,13865000,2006, PF
Paul Pierce,Boston Celtics,13843156,2006, SF
Dirk Nowitzki,Dallas Mavericks,13843156,2006, F
Antawn Jamison,Washington Wizards,13843156,2006, PF
Vince Carter,Brooklyn Nets,13843156,2006, G
Steve Francis,New York Knicks,13700000,2006, PG
Baron Davis,Golden State Warriors,13700000,2006, PG
Shawn Marion,Phoenix Suns,13700000,2006, SG
Ray Allen,Oklahoma City Thunder,13223140,2006, SG
Elton Brand,Los Angeles Clippers,13152000,2006, PF
Michael Redd,Milwaukee Bucks,12000000,2006, SG
Joe Johnson,Atlanta Hawks,12000000,2006, G
Theo Ratliff,Portland Trail Blazers,11666666,2006, C
Mike Bibby,Sacramento Kings,11500000,2006, PG
Lamar Odom,Los Angeles Lakers,11448596,2006, PF
Carlos Boozer,Utah Jazz,11260483,2006, PF
Pau Gasol,Memphis Grizzlies,10993000,2006, PF
Andrei Kirilenko,Utah Jazz,10983000,2006, SF
Kenyon Martin,Denver Nuggets,10886364,2006, PF
Rasheed Wallace,Detroit Pistons,10860000,2006, PF
Zach Randolph,Portland Trail Blazers,10666667,2006, F
Raef LaFrentz,Boston Celtics,10623288,2006, C
Wally Szczerbiak,Boston Celtics,10500000,2006, SG
Larry Hughes,Cleveland Cavaliers,10344900,2006, SG
Gilbert Arenas,Washington Wizards,10243200,2006, PG
Richard Jefferson,Brooklyn Nets,10200000,2006, F
Jamal Mashburn,Philadelphia 76ers,10075000,2006, SF
Steve Nash,Phoenix Suns,9625000,2006, PG
Rashard Lewis,Oklahoma City Thunder,9571429,2006, PF
Marcus Camby,Denver Nuggets,9400000,2006, C
Maurice Taylor,New York Knicks,9100000,2006, PF
Jason Richardson,Golden State Warriors,8888888,2006, SG
Brad Miller,Sacramento Kings,8750000,2006, C
Zydrunas Ilgauskas,Cleveland Cavaliers,8743238,2006, C
Kelvin Cato,Detroit Pistons,8640000,2006, C
Samuel Dalembert,Philadelphia 76ers,8477178,2006, C
Tony Parker,San Antonio Spurs,8400000,2006, G
Jerry Stackhouse,Dallas Mavericks,8367187,2006, SF
Jamaal Magloire,Milwaukee Bucks,8333334,2006, C
Tyson Chandler,Chicago Bulls,8299670,2006, C
Mehmet Okur,Utah Jazz,8250000,2006, C
Kenny Thomas,Sacramento Kings,8183769,2006, PF
Richard Hamilton,Detroit Pistons,8125000,2006, SG
Andre Miller,Denver Nuggets,8100000,2006, PG
Bobby Simmons,Milwaukee Bucks,8000000,2006, SF
Bonzi Wells,Sacramento Kings,8000000,2006, SG
P.J. Brown,NO/Oklahoma City  Hornets,8000000,2006, PF
Austin Croshere,Indiana Pacers,7900000,2006, PF
Lorenzen Wright,Memphis Grizzlies,7700000,2006, PF
Erick Dampier,Dallas Mavericks,7662500,2006, C
Jason Williams,Miami Heat,7562500,2006, PG
Peja Stojakovic,Indiana Pacers,7525000,2006, SF
Kwame Brown,Los Angeles Lakers,7500000,2006, C
Doug Christie,Dallas Mavericks,7500000,2006, SG
Ben Wallace,Detroit Pistons,7500000,2006, PF
Manu Ginobili,San Antonio Spurs,7428937,2006, G
Eddy Curry,New York Knicks,7394663,2006, NA
Troy Murphy,Golden State Warriors,7365079,2006, PF
Adonal Foyle,Golden State Warriors,7312500,2006, C
Darius Miles,Portland Trail Blazers,7250000,2006, SF
Cuttino Mobley,Los Angeles Clippers,7241379,2006, SG
Desmond Mason,NO/Oklahoma City  Hornets,7233333,2006, SF
Jonathan Bender,Indiana Pacers,7175000,2006, SF
Kurt Thomas,Phoenix Suns,7085919,2006, PF
Corey Maggette,Los Angeles Clippers,7000000,2006, SF
Malik Rose,New York Knicks,6979147,2006, PF
Al Harrington,Atlanta Hawks,6975500,2006, PF
Quentin Richardson,New York Knicks,6945500,2006, SF
Howard Eisley,Denver Nuggets,6906000,2006, PG
Antoine Walker,Miami Heat,6884000,2006, PF
Mike Miller,Memphis Grizzlies,6871431,2006, SG
Metta World Peace,Sacramento Kings,6842105,2006, SF
Rasho Nesterovic,San Antonio Spurs,6720000,2006, C
Jason Terry,Dallas Mavericks,6666667,2006, G
Jamal Crawford,New York Knicks,6480000,2006, G
Joe Smith,Milwaukee Bucks,6353200,2006, PF
Ruben Patterson,Denver Nuggets,6353200,2006, PF
Alvin Williams,Toronto Raptors,6300000,2006, PG
Scot Pollard,Indiana Pacers,6274935,2006, C
Danny Fortson,Oklahoma City Thunder,6207670,2006, C
Sam Cassell,Los Angeles Clippers,6187500,2006, PG
Corliss Williamson,Sacramento Kings,6000000,2006, PF
Ricky Davis,Minnesota Timberwolves,5909800,2006, SG
Chauncey Billups,Detroit Pistons,5909800,2006, PG
Juwan Howard,Houston Rockets,5900400,2006, PF
James Posey,Miami Heat,5900400,2006, SF
Michael Olowokandi,Boston Celtics,5900400,2006, C
Stephen Jackson,Indiana Pacers,5610000,2006, SF
Yao Ming,Houston Rockets,5594906,2006, C
Mark Blount,Minnesota Timberwolves,5515875,2006, C
Nazr Mohammed,San Antonio Spurs,5500000,2006, C
Jason Collins,Brooklyn Nets,5500000,2006, C
Eric Snow,Cleveland Cavaliers,5484375,2006, PG
Jamaal Tinsley,Indiana Pacers,5400000,2006, PG
Derek Fisher,Golden State Warriors,5393300,2006, PG
Antonio McDyess,Detroit Pistons,5393300,2006, PF
Marquis Daniels,Dallas Mavericks,5393300,2006, SG
Hedo Turkoglu,Orlando Magic,5393300,2006, SF
Etan Thomas,Washington Wizards,5393300,2006, C
Marko Jaric,Minnesota Timberwolves,5280528,2006, PG
Troy Hudson,Minnesota Timberwolves,5253000,2006, PG
Tony Battie,Orlando Magic,5200000,2006, C
David Wesley,Houston Rockets,5075000,2006, SG
Matt Harpring,Utah Jazz,5020000,2006, SF
Devean George,Los Angeles Lakers,5000600,2006, SF
Shareef Abdur-Rahim,Sacramento Kings,5000000,2006, PF
Earl Watson,Oklahoma City Thunder,5000000,2006, PG
Gerald Wallace,Charlotte Hornets,5000000,2006, SF
Stromile Swift,Houston Rockets,5000000,2006, PF
Antonio Daniels,Washington Wizards,5000000,2006, PG
Udonis Haslem,Miami Heat,5000000,2006, PF
Jeff Foster,Indiana Pacers,5000000,2006, PF
Jerome James,New York Knicks,5000000,2006, C
Brian Skinner,Portland Trail Blazers,4950000,2006, PF
Brian Cardinal,Memphis Grizzlies,4950000,2006, PF
Shane Battier,Memphis Grizzlies,4903000,2006, SF
Donyell Marshall,Cleveland Cavaliers,4799108,2006, PF
Dan Gadzuric,Milwaukee Bucks,4750000,2006, C
Brent Barry,San Antonio Spurs,4691390,2006, SG
LeBron James,Cleveland Cavaliers,4621800,2006, SF
Brevin Knight,Charlotte Hornets,4600000,2006, PG
Morris Peterson,Toronto Raptors,4550000,2006, SG
Marc Jackson,NO/Oklahoma City  Hornets,4550000,2006, PF
Mike Dunleavy,Golden State Warriors,4506261,2006, SG
Andrea Bargnani,Brooklyn Nets,4501200,2006, C
Chucky Atkins,Memphis Grizzlies,4500000,2006, PG
Dwight Howard,Orlando Magic,4493160,2006, C
Greg Ostertag,Utah Jazz,4400000,2006, C
Trenton Hassell,Minnesota Timberwolves,4350000,2006, SF
Andrew Bogut,Milwaukee Bucks,4340520,2006, C
Raja Bell,Phoenix Suns,4250000,2006, SG
Damon Stoudamire,Memphis Grizzlies,4250000,2006, PG
Moochie Norris,NO/Oklahoma City  Hornets,4200000,2006, PG
Eduardo Najera,Denver Nuggets,4190476,2006, PF
Darko Milicic,Orlando Magic,4135200,2006, C
Drew Gooden,Cleveland Cavaliers,4065811,2006, PF
Emeka Okafor,Charlotte Hornets,4020120,2006, C
Brendan Haywood,Washington Wizards,4000000,2006, C
Gordan Giricek,Utah Jazz,4000000,2006, SG
Sarunas Jasikevicius,Indiana Pacers,4000000,2006, PG
Zaza Pachulia,Atlanta Hawks,4000000,2006, C
Carlos Arroyo,Orlando Magic,4000000,2006, PG
Eric Williams,Toronto Raptors,3938000,2006, PF
Marvin Williams,Atlanta Hawks,3883000,2006, F
Rafer Alston,Houston Rockets,3850000,2006, PG
Chris Mihm,Los Angeles Lakers,3792817,2006, C
Carmelo Anthony,Denver Nuggets,3713640,2006, PF
Kyle Korver,Philadelphia 76ers,3636364,2006, G
Ben Gordon,Chicago Bulls,3610200,2006, SG
Speedy Claxton,NO/Oklahoma City  Hornets,3600000,2006, PG
Damon Jones,Cleveland Cavaliers,3596924,2006, PG
Voshon Lenard,Portland Trail Blazers,3520000,2006, SG
Bob Sura,Houston Rockets,3520000,2006, PG
Dale Davis,Detroit Pistons,3500000,2006, PF
Tyronn Lue,Atlanta Hawks,3500000,2006, PG
Deron Williams,Utah Jazz,3487440,2006, PG
Mike James,Toronto Raptors,3410000,2006, PG
Jeff McInnis,Brooklyn Nets,3400000,2006, PG
Bruce Bowen,San Antonio Spurs,3375000,2006, SF
Aaron Williams,NO/Oklahoma City  Hornets,3375000,2006, C
Bobby Jackson,Memphis Grizzlies,3375000,2006, PG
Chris Bosh,Toronto Raptors,3348000,2006, PF
Vitaly Potapenko,Sacramento Kings,3325416,2006, C
Shaun Livingston,Los Angeles Clippers,3254880,2006, G
Pat Garrity,Orlando Magic,3231250,2006, PF
Othella Harrington,Chicago Bulls,3200000,2006, PF
Vladimir Radmanovic,Los Angeles Clippers,3166154,2006, SF
Chris Paul,NO/Oklahoma City  Hornets,3144240,2006, PG
Keyon Dooling,Orlando Magic,3100000,2006, PG
Nene Hilario,Denver Nuggets,3039889,2006, C
Dwyane Wade,Miami Heat,3031920,2006, G
Robert Horry,San Antonio Spurs,3000000,2006, PF
Eric Piatkowski,Chicago Bulls,3000000,2006, SG
Kareem Rush,Charlotte Hornets,3000000,2006, SG
Zeljko Rebraca,Los Angeles Clippers,3000000,2006, C
Slava Medvedenko,Los Angeles Lakers,3000000,2006, PF
Kevin Ollie,Philadelphia 76ers,2950200,2006, PG
Ira Newble,Cleveland Cavaliers,2950200,2006, SF
Devin Harris,Dallas Mavericks,2947440,2006, G
Tony Delk,Detroit Pistons,2925000,2006, PG
Jake Tsakalidis,Memphis Grizzlies,2900000,2006, C
