FIRST_NAME,LAST_NAME,P_ID,SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,GS,MIN,FGM,FGA,FG%,FG3M,FG3A,FG3%,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,TEAM,MPG,PER
Shareef,Abdur-Rahim,949,2003-04,1610612737,ATL,27,53,53.0,1955,383,790,0.485,5.0,23.0,0.217,294,334,0.88,141.0,354.0,495.0,127,44.0,19.0,131.0,147,1065,Atlanta Hawks,31.58,21.89
Shareef,Abdur-Rahim,949,2003-04,1610612757,POR,27,32,3.0,729,118,264,0.447,4.0,11.0,0.364,79,95,0.832,48.0,96.0,144.0,47,24.0,18.0,53.0,75,319,Portland Trail Blazers,31.58,15.98
Malik,Allen,2124,2003-04,1610612748,MIA,26,45,6.0,616,83,198,0.419,0.0,0.0,0.0,25,33,0.758,42.0,77.0,119.0,16,12.0,28.0,27.0,81,191,Miami Heat,13.69,11.21
Ray,Allen,951,2003-04,1610612760,OKC,28,56,56.0,2152,447,1017,0.44,148.0,378.0,0.392,245,271,0.904,69.0,217.0,286.0,268,71.0,11.0,156.0,132,1287,Oklahoma City Thunder,38.43,22.19
Rafer,Alston,1747,2003-04,1610612748,MIA,27,82,28.0,2581,287,764,0.376,161.0,434.0,0.371,103,134,0.769,26.0,200.0,226.0,372,114.0,18.0,128.0,212,838,Miami Heat,31.48,13.65
Chris,Andersen,2365,2003-04,1610612743,DEN,25,71,0.0,1029,90,203,0.443,0.0,1.0,0.0,63,107,0.589,89.0,209.0,298.0,35,34.0,114.0,48.0,119,243,Denver Nuggets,14.49,14.42
Derek,Anderson,1507,2003-04,1610612757,POR,29,51,46.0,1809,230,612,0.376,79.0,259.0,0.305,155,188,0.824,26.0,156.0,182.0,228,66.0,3.0,90.0,79,694,Portland Trail Blazers,35.47,14.33
Kenny,Anderson,72,2003-04,1610612754,IND,33,44,31.0,907,113,256,0.441,1.0,4.0,0.25,35,48,0.729,19.0,62.0,81.0,125,26.0,5.0,50.0,73,262,Indiana Pacers,20.61,12.14
Shandon,Anderson,1000,2003-04,1610612752,NYK,30,80,37.0,1972,238,564,0.422,36.0,128.0,0.281,123,161,0.764,53.0,169.0,222.0,122,68.0,17.0,118.0,182,635,New York Knicks,24.65,10.51
Carmelo,Anthony,2546,2003-04,1610612743,DEN,20,82,82.0,2994,624,1465,0.426,69.0,214.0,0.322,408,525,0.777,183.0,315.0,498.0,227,97.0,41.0,247.0,225,1725,Denver Nuggets,36.51,18.97
Gilbert,Arenas,2240,2003-04,1610612764,WAS,22,55,52.0,2065,358,914,0.392,125.0,333.0,0.375,237,317,0.748,55.0,199.0,254.0,275,103.0,12.0,226.0,176,1078,Washington Wizards,37.55,17.63
Darrell,Armstrong,353,2003-04,1610612740,NOP,36,79,22.0,2247,291,736,0.395,135.0,429.0,0.315,123,144,0.854,63.0,163.0,226.0,311,133.0,16.0,155.0,148,840,New Orleans Pelicans,28.44,16.17
Carlos,Arroyo,2306,2003-04,1610612762,UTA,24,71,71.0,2008,339,768,0.441,38.0,117.0,0.325,181,225,0.804,41.0,144.0,185.0,355,63.0,5.0,156.0,165,897,Utah Jazz,28.28,16.04
Chucky,Atkins,1088,2003-04,1610612765,DET,29,40,0.0,751,88,235,0.374,42.0,130.0,0.323,31,43,0.721,6.0,42.0,48.0,95,19.0,1.0,48.0,60,249,Detroit Pistons,24.12,10.67
