FIRST_NAME,LAST_NAME,P_ID,SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,GS,MIN,FGM,FGA,FG%,FG3M,FG3A,FG3%,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,TEAM,MPG,PER
Arron,Afflalo,201167,2008-09,1610612765,DET,23,74,8.0,1234,131,300,0.437,43.0,107.0,0.402,58,71,0.817,30.0,104.0,134.0,44,28.0,13.0,43.0,144,363,Detroit Pistons,16.68,9.46
LaMarcus,Aldridge,200746,2008-09,1610612757,POR,23,81,81.0,3004,601,1243,0.484,7.0,28.0,0.25,261,334,0.781,234.0,371.0,605.0,157,77.0,77.0,121.0,207,1470,Portland Trail Blazers,37.09,19.05
Joe,Alexander,201570,2008-09,1610612749,MIL,22,59,0.0,716,102,245,0.416,16.0,46.0,0.348,58,83,0.699,44.0,71.0,115.0,42,15.0,29.0,52.0,107,278,Milwaukee Bucks,12.14,11.09
Malik,Allen,2124,2008-09,1610612749,MIL,31,49,3.0,579,73,170,0.429,0.0,1.0,0.0,10,21,0.476,35.0,68.0,103.0,35,7.0,12.0,20.0,89,156,Milwaukee Bucks,11.82,8.3
Ray,Allen,951,2008-09,1610612738,BOS,33,79,79.0,2876,499,1040,0.48,199.0,486.0,0.409,237,249,0.952,66.0,212.0,278.0,218,69.0,13.0,134.0,157,1434,Boston Celtics,36.41,18.1
Tony,Allen,2754,2008-09,1610612738,BOS,27,46,2.0,887,137,284,0.482,6.0,27.0,0.222,79,109,0.725,22.0,82.0,104.0,66,54.0,23.0,77.0,98,359,Boston Celtics,19.28,13.88
Rafer,Alston,1747,2008-09,1610612745,HOU,32,48,48.0,1591,193,522,0.37,80.0,230.0,0.348,86,109,0.789,25.0,119.0,144.0,258,57.0,7.0,88.0,72,552,Houston Rockets,31.78,13.76
Rafer,Alston,1747,2008-09,1610612753,ORL,32,29,28.0,856,123,298,0.413,32.0,101.0,0.317,70,99,0.707,8.0,75.0,83.0,148,51.0,3.0,52.0,63,348,Orlando Magic,31.78,17.76
Lou,Amundson,200811,2008-09,1610612756,PHX,26,76,0.0,1044,134,250,0.536,0.0,1.0,0.0,53,120,0.442,128.0,142.0,270.0,28,32.0,65.0,56.0,154,321,Phoenix Suns,13.74,14.92
Chris,Andersen,2365,2008-09,1610612743,DEN,30,71,1.0,1460,160,292,0.548,2.0,10.0,0.2,130,181,0.718,163.0,279.0,442.0,31,41.0,175.0,69.0,174,452,Denver Nuggets,20.56,18.75
Ryan,Anderson,201583,2008-09,1610612751,BKN,21,66,30.0,1312,160,407,0.393,69.0,189.0,0.365,98,116,0.845,104.0,207.0,311.0,52,44.0,20.0,63.0,157,487,Brooklyn Nets,19.88,13.69
Carmelo,Anthony,2546,2008-09,1610612743,DEN,25,66,66.0,2277,535,1207,0.443,63.0,170.0,0.371,371,468,0.793,106.0,344.0,450.0,222,75.0,24.0,199.0,195,1504,Denver Nuggets,34.5,21.32
Joel,Anthony,201202,2008-09,1610612748,MIA,26,65,28.0,1048,57,118,0.483,0.0,0.0,0.0,30,46,0.652,89.0,108.0,197.0,27,20.0,93.0,41.0,139,144,Miami Heat,16.12,9.12
Trevor,Ariza,2772,2008-09,1610612747,LAL,24,82,20.0,1999,274,596,0.46,61.0,191.0,0.319,120,169,0.71,111.0,241.0,352.0,145,137.0,24.0,87.0,166,729,Los Angeles Lakers,24.38,17.2
Hilton,Armstrong,200756,2008-09,1610612740,NOP,24,70,29.0,1092,138,246,0.561,0.0,2.0,0.0,62,98,0.633,81.0,114.0,195.0,29,26.0,45.0,80.0,181,338,New Orleans Pelicans,15.6,11.08
Darrell,Arthur,201589,2008-09,1610612763,MEM,21,76,64.0,1464,191,436,0.438,0.0,2.0,0.0,40,60,0.667,108.0,238.0,346.0,43,52.0,52.0,47.0,206,422,Memphis Grizzlies,19.26,11.41
D.J.,Augustin,201571,2008-09,1610612766,CHA,21,72,12.0,1908,267,621,0.43,108.0,246.0,0.439,208,233,0.893,17.0,116.0,133.0,250,42.0,2.0,119.0,140,850,Charlotte Hornets,26.5,13.62
Kelenna,Azubuike,101235,2008-09,1610612744,GSW,25,74,51.0,2375,392,845,0.464,94.0,210.0,0.448,185,229,0.808,112.0,258.0,370.0,117,57.0,50.0,95.0,183,1063,Golden State Warriors,32.09,16.71
Renaldo,Balkman,200764,2008-09,1610612743,DEN,24,53,10.0,780,110,197,0.558,2.0,7.0,0.286,42,65,0.646,86.0,117.0,203.0,34,47.0,23.0,35.0,98,264,Denver Nuggets,14.72,17.94
Leandro,Barbosa,2571,2008-09,1610612756,PHX,26,70,11.0,1705,366,759,0.482,90.0,240.0,0.375,171,194,0.881,34.0,147.0,181.0,162,82.0,7.0,93.0,115,993,Phoenix Suns,24.36,22.05
J.J.,Barea,200826,2008-09,1610612742,DAL,25,79,15.0,1600,246,557,0.442,55.0,154.0,0.357,70,93,0.753,36.0,141.0,177.0,269,37.0,5.0,105.0,121,617,Dallas Mavericks,20.25,14.3
Andrea,Bargnani,200745,2008-09,1610612761,TOR,23,78,59.0,2453,431,958,0.45,119.0,291.0,0.409,221,266,0.831,70.0,346.0,416.0,94,34.0,97.0,135.0,242,1202,Toronto Raptors,31.45,15.83
Matt,Barnes,2440,2008-09,1610612756,PHX,29,77,40.0,2082,285,674,0.423,117.0,341.0,0.343,101,136,0.743,79.0,342.0,421.0,212,52.0,26.0,130.0,209,788,Phoenix Suns,27.04,14.21
Brent,Barry,699,2008-09,1610612745,HOU,37,56,1.0,857,70,172,0.407,49.0,131.0,0.374,19,20,0.95,17.0,77.0,94.0,78,24.0,3.0,48.0,45,208,Houston Rockets,15.3,9.87
Brandon,Bass,101138,2008-09,1610612742,DAL,24,81,0.0,1574,252,508,0.496,0.0,6.0,0.0,182,210,0.867,129.0,238.0,367.0,43,27.0,55.0,86.0,140,686,Dallas Mavericks,19.43,17.24
