FIRST_NAME,LAST_NAME,P_ID,SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,GS,MIN,FGM,FGA,FG%,FG3M,FG3A,FG3%,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,TEAM,MPG,PER
Arron,Afflalo,201167,2009-10,1610612743,DEN,24,82,75.0,2221,272,585,0.465,108.0,249.0,0.434,72,98,0.735,59.0,193.0,252.0,138,46.0,30.0,74.0,225,724,Denver Nuggets,27.09,11.48
LaMarcus,Aldridge,200746,2009-10,1610612757,POR,24,78,78.0,2922,579,1169,0.495,5.0,16.0,0.313,230,304,0.757,192.0,435.0,627.0,160,67.0,48.0,104.0,231,1393,Portland Trail Blazers,37.46,17.72
Ray,Allen,951,2009-10,1610612738,BOS,34,80,80.0,2819,464,973,0.477,145.0,399.0,0.363,231,253,0.913,45.0,208.0,253.0,210,64.0,25.0,129.0,182,1304,Boston Celtics,35.24,15.61
Tony,Allen,2754,2009-10,1610612738,BOS,28,54,8.0,889,129,253,0.51,0.0,5.0,0.0,72,119,0.605,52.0,93.0,145.0,72,59.0,19.0,66.0,109,330,Boston Celtics,16.46,14.47
Rafer,Alston,1747,2009-10,1610612751,BKN,33,27,13.0,766,95,277,0.343,28.0,87.0,0.322,44,54,0.815,9.0,66.0,75.0,104,27.0,5.0,61.0,50,262,Brooklyn Nets,27.33,8.93
Rafer,Alston,1747,2009-10,1610612748,MIA,33,25,25.0,655,60,169,0.355,30.0,81.0,0.37,15,27,0.556,4.0,50.0,54.0,72,23.0,5.0,34.0,53,165,Miami Heat,27.33,7.93
Lou,Amundson,200811,2009-10,1610612756,PHX,27,79,0.0,1168,152,276,0.551,0.0,1.0,0.0,67,123,0.545,128.0,218.0,346.0,31,24.0,73.0,57.0,169,371,Phoenix Suns,14.78,15.55
Chris,Andersen,2365,2009-10,1610612743,DEN,31,76,0.0,1695,142,251,0.566,0.0,3.0,0.0,164,236,0.695,147.0,336.0,483.0,33,42.0,143.0,59.0,171,448,Denver Nuggets,22.3,15.55
David,Andersen,2431,2009-10,1610612745,HOU,30,63,0.0,891,147,340,0.432,27.0,78.0,0.346,46,67,0.687,54.0,154.0,208.0,44,15.0,12.0,37.0,119,367,Houston Rockets,14.14,12.93
Ryan,Anderson,201583,2009-10,1610612753,ORL,22,63,6.0,911,169,388,0.436,78.0,211.0,0.37,71,82,0.866,70.0,132.0,202.0,37,25.0,14.0,56.0,81,487,Orlando Magic,14.46,20.07
Carmelo,Anthony,2546,2009-10,1610612743,DEN,26,69,69.0,2634,688,1502,0.458,59.0,187.0,0.316,508,612,0.83,152.0,302.0,454.0,222,88.0,30.0,209.0,225,1943,Denver Nuggets,38.17,23.63
Joel,Anthony,201202,2009-10,1610612748,MIA,27,80,16.0,1322,76,159,0.478,0.0,0.0,0.0,66,92,0.717,123.0,126.0,249.0,12,20.0,109.0,45.0,158,218,Miami Heat,16.52,9.86
Gilbert,Arenas,2240,2009-10,1610612764,WAS,28,32,32.0,1169,253,616,0.411,63.0,181.0,0.348,153,207,0.739,17.0,116.0,133.0,230,41.0,9.0,117.0,95,722,Washington Wizards,36.53,19.06
Trevor,Ariza,2772,2009-10,1610612745,HOU,24,72,71.0,2629,394,999,0.394,136.0,407.0,0.334,148,228,0.649,78.0,325.0,403.0,276,126.0,40.0,161.0,162,1072,Houston Rockets,36.51,13.89
Carlos,Arroyo,2306,2009-10,1610612748,MIA,30,72,35.0,1585,178,375,0.475,7.0,25.0,0.28,76,90,0.844,26.0,104.0,130.0,225,36.0,6.0,54.0,102,439,Miami Heat,22.01,12.39
Chucky,Atkins,1088,2009-10,1610612765,DET,35,40,11.0,644,57,157,0.363,22.0,73.0,0.301,25,27,0.926,5.0,24.0,29.0,91,17.0,0.0,32.0,53,161,Detroit Pistons,16.1,7.67
D.J.,Augustin,201571,2009-10,1610612766,CHA,22,80,2.0,1472,168,435,0.386,70.0,178.0,0.393,102,131,0.779,11.0,86.0,97.0,193,45.0,5.0,74.0,127,508,Charlotte Hornets,18.4,11.11
Leandro,Barbosa,2571,2009-10,1610612756,PHX,27,44,5.0,786,155,365,0.425,44.0,136.0,0.324,64,73,0.877,11.0,58.0,69.0,64,23.0,12.0,46.0,71,418,Phoenix Suns,17.86,16.05
J.J.,Barea,200826,2009-10,1610612742,DAL,26,78,18.0,1546,232,527,0.44,56.0,157.0,0.357,76,90,0.844,17.0,129.0,146.0,258,35.0,6.0,102.0,119,596,Dallas Mavericks,19.82,13.44
Andrea,Bargnani,200745,2009-10,1610612761,TOR,24,80,80.0,2799,537,1143,0.47,121.0,325.0,0.372,181,234,0.774,105.0,388.0,493.0,93,25.0,111.0,120.0,215,1376,Toronto Raptors,34.99,16.33
Matt,Barnes,2440,2009-10,1610612753,ORL,30,81,58.0,2097,271,557,0.487,66.0,207.0,0.319,108,146,0.74,106.0,339.0,445.0,134,59.0,30.0,112.0,185,716,Orlando Magic,25.89,14.96
