FIRST_NAME,LAST_NAME,P_ID,SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,GS,MIN,FGM,FGA,FG%,FG3M,FG3A,FG3%,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,TEAM,MPG,PER
Arron,Afflalo,201167,2010-11,1610612743,DEN,25,69,69.0,2324,312,627,0.498,105.0,248.0,0.423,138,163,0.847,45.0,206.0,251.0,168,34.0,31.0,71.0,153,867,Denver Nuggets,33.68,15.11
LaMarcus,Aldridge,200746,2010-11,1610612757,POR,25,81,81.0,3211,707,1415,0.5,4.0,23.0,0.174,351,444,0.791,278.0,431.0,709.0,170,82.0,94.0,153.0,220,1769,Portland Trail Blazers,39.64,20.62
Ray,Allen,951,2010-11,1610612738,BOS,35,80,80.0,2890,480,978,0.491,168.0,378.0,0.444,193,219,0.881,51.0,223.0,274.0,219,77.0,16.0,117.0,147,1321,Boston Celtics,36.12,16.54
Tony,Allen,2754,2010-11,1610612763,MEM,29,72,31.0,1494,251,492,0.51,4.0,23.0,0.174,137,182,0.753,70.0,123.0,193.0,104,129.0,44.0,86.0,161,643,Memphis Grizzlies,20.75,18.39
Al-Farouq,Aminu,202329,2010-11,1610612746,LAC,20,81,14.0,1452,160,406,0.394,45.0,143.0,0.315,92,119,0.773,75.0,192.0,267.0,60,59.0,25.0,103.0,121,457,Los Angeles Clippers,17.93,10.14
Lou,Amundson,200811,2010-11,1610612744,GSW,28,46,7.0,691,83,183,0.454,0.0,0.0,0.0,34,87,0.391,81.0,104.0,185.0,17,14.0,33.0,24.0,87,200,Golden State Warriors,15.02,11.79
Chris,Andersen,2365,2010-11,1610612743,DEN,32,45,0.0,732,82,137,0.599,0.0,1.0,0.0,86,135,0.637,75.0,144.0,219.0,20,23.0,58.0,25.0,79,250,Denver Nuggets,16.27,20.11
Ryan,Anderson,201583,2010-11,1610612753,ORL,23,64,14.0,1424,226,525,0.43,134.0,341.0,0.393,95,117,0.812,129.0,226.0,355.0,52,30.0,38.0,49.0,137,681,Orlando Magic,22.25,19.69
Carmelo,Anthony,2546,2010-11,1610612743,DEN,27,50,50.0,1774,437,967,0.452,42.0,126.0,0.333,343,417,0.823,77.0,305.0,382.0,140,43.0,31.0,142.0,134,1259,Denver Nuggets,35.73,24.1
Carmelo,Anthony,2546,2010-11,1610612752,NYK,27,27,27.0,977,247,536,0.461,53.0,125.0,0.424,164,188,0.872,41.0,140.0,181.0,81,25.0,15.0,64.0,90,711,New York Knicks,35.73,24.64
Joel,Anthony,201202,2010-11,1610612748,MIA,28,75,11.0,1463,53,99,0.535,0.0,0.0,0.0,47,73,0.644,104.0,162.0,266.0,24,10.0,93.0,36.0,194,153,Miami Heat,19.51,7.4
Gilbert,Arenas,2240,2010-11,1610612764,WAS,29,21,14.0,726,130,330,0.394,47.0,145.0,0.324,56,67,0.836,6.0,64.0,70.0,117,30.0,12.0,71.0,76,363,Washington Wizards,25.66,14.56
Gilbert,Arenas,2240,2010-11,1610612753,ORL,29,49,2.0,1070,139,404,0.344,50.0,182.0,0.275,64,86,0.744,16.0,103.0,119.0,157,44.0,9.0,106.0,112,392,Orlando Magic,25.66,9.58
Trevor,Ariza,2772,2010-11,1610612740,NOP,25,75,75.0,2600,303,762,0.398,82.0,271.0,0.303,138,197,0.701,61.0,347.0,408.0,162,120.0,31.0,118.0,180,826,New Orleans Pelicans,34.67,11.43
Carlos,Arroyo,2306,2010-11,1610612748,MIA,31,49,42.0,995,109,238,0.458,28.0,64.0,0.438,28,35,0.8,13.0,67.0,80.0,100,14.0,1.0,43.0,60,274,Miami Heat,18.52,10.5
Darrell,Arthur,201589,2010-11,1610612763,MEM,23,80,9.0,1609,310,624,0.497,0.0,6.0,0.0,109,134,0.813,115.0,227.0,342.0,53,52.0,63.0,88.0,228,729,Memphis Grizzlies,20.11,16.33
Omer,Asik,201600,2010-11,1610612741,CHI,24,82,0.0,989,78,141,0.553,0.0,0.0,0.0,73,145,0.503,112.0,194.0,306.0,32,20.0,56.0,64.0,153,229,Chicago Bulls,12.06,12.44
D.J.,Augustin,201571,2010-11,1610612766,CHA,23,82,82.0,2757,399,958,0.416,111.0,333.0,0.333,269,297,0.906,38.0,187.0,225.0,498,54.0,3.0,155.0,152,1178,Charlotte Hornets,33.62,15.71
Leandro,Barbosa,2571,2010-11,1610612761,TOR,28,58,0.0,1395,294,653,0.45,72.0,213.0,0.338,109,137,0.796,14.0,85.0,99.0,119,50.0,6.0,84.0,112,769,Toronto Raptors,24.05,16.38
J.J.,Barea,200826,2010-11,1610612742,DAL,27,81,2.0,1669,285,649,0.439,66.0,189.0,0.349,133,157,0.847,29.0,130.0,159.0,317,30.0,1.0,136.0,136,769,Dallas Mavericks,20.6,16.01
Andrea,Bargnani,200745,2010-11,1610612761,TOR,25,66,66.0,2353,525,1173,0.448,77.0,223.0,0.345,287,350,0.82,74.0,269.0,343.0,119,34.0,46.0,152.0,160,1414,Toronto Raptors,35.65,17.57
Matt,Barnes,2440,2010-11,1610612747,LAL,31,53,0.0,1020,131,279,0.47,34.0,107.0,0.318,60,77,0.779,73.0,155.0,228.0,71,39.0,22.0,58.0,127,356,Los Angeles Lakers,19.25,15.42
Brandon,Bass,101138,2010-11,1610612753,ORL,26,76,51.0,1980,332,645,0.515,0.0,2.0,0.0,190,233,0.815,134.0,290.0,424.0,57,27.0,52.0,97.0,159,854,Orlando Magic,26.05,16.99
Shane,Battier,2203,2010-11,1610612745,HOU,32,59,59.0,1818,186,408,0.456,88.0,225.0,0.391,49,76,0.645,58.0,223.0,281.0,153,53.0,71.0,63.0,127,509,Houston Rockets,28.96,13.8
Shane,Battier,2203,2010-11,1610612763,MEM,32,23,0.0,557,43,101,0.426,14.0,42.0,0.333,15,17,0.882,32.0,60.0,92.0,32,16.0,10.0,16.0,31,115,Memphis Grizzlies,28.96,10.39
Nicolas,Batum,201587,2010-11,1610612757,POR,22,80,67.0,2522,367,807,0.455,118.0,342.0,0.345,138,164,0.841,109.0,252.0,361.0,123,68.0,49.0,83.0,194,990,Portland Trail Blazers,31.52,14.07
Jerryd,Bayless,201573,2010-11,1610612761,TOR,22,60,14.0,1347,201,468,0.429,46.0,132.0,0.348,153,189,0.81,24.0,126.0,150.0,238,36.0,4.0,110.0,133,601,Toronto Raptors,21.07,15.13
Michael,Beasley,201563,2010-11,1610612750,MIN,22,73,73.0,2361,561,1246,0.45,60.0,164.0,0.366,219,291,0.753,118.0,291.0,409.0,158,54.0,52.0,195.0,222,1401,Minnesota Timberwolves,32.34,17.65
Marco,Belinelli,201158,2010-11,1610612740,NOP,25,80,69.0,1957,302,691,0.437,134.0,324.0,0.414,98,125,0.784,17.0,134.0,151.0,92,38.0,6.0,77.0,146,836,New Orleans Pelicans,24.46,12.58
Raja,Bell,1952,2010-11,1610612762,UTA,34,68,63.0,2097,191,467,0.409,68.0,193.0,0.352,91,102,0.892,31.0,145.0,176.0,118,56.0,14.0,63.0,169,541,Utah Jazz,30.84,8.2
Mike,Bibby,1710,2010-11,1610612737,ATL,33,56,56.0,1674,192,441,0.435,113.0,256.0,0.441,29,46,0.63,15.0,128.0,143.0,202,38.0,6.0,68.0,125,526,Atlanta Hawks,28.56,12.11
Mike,Bibby,1710,2010-11,1610612748,MIA,33,22,12.0,582,55,126,0.437,40.0,88.0,0.455,10,16,0.625,2.0,47.0,49.0,55,11.0,3.0,32.0,47,160,Miami Heat,28.56,9.8
Andris,Biedrins,2740,2010-11,1610612744,GSW,25,59,55.0,1397,142,266,0.534,0.0,0.0,0.0,10,31,0.323,145.0,281.0,426.0,60,52.0,52.0,57.0,198,294,Golden State Warriors,23.68,12.1
Chauncey,Billups,1497,2010-11,1610612743,DEN,34,51,51.0,1646,235,536,0.438,105.0,238.0,0.441,265,287,0.923,12.0,113.0,125.0,271,52.0,12.0,129.0,94,840,Denver Nuggets,32.08,20.07
Chauncey,Billups,1497,2010-11,1610612752,NYK,34,21,21.0,664,104,258,0.403,41.0,125.0,0.328,119,132,0.902,13.0,52.0,65.0,116,19.0,2.0,48.0,52,368,New York Knicks,32.08,19.84
DeJuan,Blair,201971,2010-11,1610612759,SAS,22,81,65.0,1734,292,583,0.501,0.0,2.0,0.0,90,137,0.657,215.0,350.0,565.0,77,95.0,42.0,113.0,213,674,San Antonio Spurs,21.41,18.5
Steve,Blake,2581,2010-11,1610612747,LAL,31,79,0.0,1581,110,306,0.359,73.0,193.0,0.378,26,30,0.867,19.0,137.0,156.0,170,40.0,3.0,73.0,99,319,Los Angeles Lakers,20.01,7.91
Andray,Blatche,101154,2010-11,1610612764,WAS,24,64,63.0,2172,426,957,0.445,4.0,18.0,0.222,220,283,0.777,183.0,343.0,526.0,144,98.0,51.0,172.0,182,1076,Washington Wizards,33.94,17.45
Eric,Bledsoe,202339,2010-11,1610612746,LAC,21,81,25.0,1841,206,486,0.424,32.0,116.0,0.276,99,133,0.744,68.0,155.0,223.0,289,92.0,26.0,194.0,130,543,Los Angeles Clippers,22.73,11.2
Keith,Bogans,2586,2010-11,1610612741,CHI,31,82,82.0,1461,124,307,0.404,90.0,237.0,0.38,21,32,0.656,19.0,129.0,148.0,101,38.0,9.0,41.0,113,359,Chicago Bulls,17.82,9.85
Andrew,Bogut,101106,2010-11,1610612749,MIL,26,65,65.0,2297,367,742,0.495,0.0,4.0,0.0,96,217,0.442,199.0,521.0,720.0,131,47.0,168.0,125.0,217,830,Milwaukee Bucks,35.34,17.37
Matt,Bonner,2588,2010-11,1610612759,SAS,31,66,1.0,1432,172,371,0.464,105.0,230.0,0.457,32,43,0.744,60.0,179.0,239.0,60,26.0,21.0,27.0,110,481,San Antonio Spurs,21.7,14.36
Trevor,Booker,202344,2010-11,1610612764,WAS,23,65,14.0,1063,139,253,0.549,0.0,1.0,0.0,68,101,0.673,98.0,153.0,251.0,35,29.0,42.0,38.0,115,346,Washington Wizards,16.35,15.26
Carlos,Boozer,2430,2010-11,1610612741,CHI,29,59,59.0,1882,431,845,0.51,0.0,0.0,0.0,171,244,0.701,130.0,435.0,565.0,145,45.0,18.0,149.0,186,1033,Chicago Bulls,31.9,21.54
Chris,Bosh,2547,2010-11,1610612748,MIA,27,77,77.0,2795,524,1056,0.496,6.0,25.0,0.24,384,471,0.815,141.0,500.0,641.0,144,59.0,49.0,138.0,172,1438,Miami Heat,36.3,21.08
Earl,Boykins,1863,2010-11,1610612749,MIL,35,57,0.0,862,156,352,0.443,27.0,71.0,0.38,69,82,0.841,15.0,40.0,55.0,141,38.0,3.0,52.0,43,408,Milwaukee Bucks,15.12,18.39
Elton,Brand,1882,2010-11,1610612755,PHI,32,81,81.0,2809,502,981,0.512,0.0,1.0,0.0,213,273,0.78,237.0,439.0,676.0,120,92.0,106.0,101.0,244,1217,Philadelphia 76ers,34.68,20.31
Corey,Brewer,201147,2010-11,1610612750,MIN,25,56,22.0,1362,168,437,0.384,26.0,99.0,0.263,121,171,0.708,45.0,107.0,152.0,77,89.0,14.0,77.0,134,483,Minnesota Timberwolves,21.88,11.26
Ronnie,Brewer,200758,2010-11,1610612741,CHI,26,81,1.0,1781,205,427,0.48,6.0,27.0,0.222,87,133,0.654,55.0,207.0,262.0,140,106.0,22.0,55.0,82,503,Chicago Bulls,21.99,15.02
Jon,Brockman,201972,2010-11,1610612749,MIL,24,63,6.0,677,48,94,0.511,0.0,0.0,0.0,40,59,0.678,74.0,110.0,184.0,18,14.0,3.0,24.0,119,136,Milwaukee Bucks,10.75,9.66
Aaron,Brooks,201166,2010-11,1610612745,HOU,26,34,7.0,811,134,387,0.346,48.0,169.0,0.284,78,83,0.94,11.0,40.0,51.0,129,21.0,2.0,55.0,69,394,Houston Rockets,21.76,13.56
Kwame,Brown,2198,2010-11,1610612766,CHA,29,66,50.0,1714,194,375,0.517,0.0,0.0,0.0,136,231,0.589,147.0,303.0,450.0,43,26.0,39.0,69.0,174,524,Charlotte Hornets,25.97,12.66
Shannon,Brown,200769,2010-11,1610612747,LAL,25,82,0.0,1568,273,643,0.425,74.0,212.0,0.349,92,101,0.911,35.0,122.0,157.0,96,67.0,16.0,75.0,124,712,Los Angeles Lakers,19.12,15.18
Kobe,Bryant,977,2010-11,1610612747,LAL,32,82,82.0,2779,740,1639,0.451,115.0,356.0,0.323,483,583,0.828,83.0,336.0,419.0,388,99.0,12.0,243.0,172,2078,Los Angeles Lakers,33.89,26.06
Chase,Budinger,201978,2010-11,1610612745,HOU,23,78,22.0,1738,279,656,0.425,89.0,274.0,0.325,118,138,0.855,52.0,229.0,281.0,127,41.0,18.0,67.0,114,765,Houston Rockets,22.28,15.94
Caron,Butler,2406,2010-11,1610612742,DAL,31,29,29.0,867,170,378,0.45,28.0,65.0,0.431,68,88,0.773,22.0,96.0,118.0,46,28.0,8.0,49.0,59,436,Dallas Mavericks,29.9,15.92
Rasual,Butler,2446,2010-11,1610612746,LAC,32,41,2.0,744,73,226,0.323,42.0,129.0,0.326,18,27,0.667,10.0,66.0,76.0,27,8.0,15.0,22.0,34,206,Los Angeles Clippers,16.38,6.64
Andrew,Bynum,101115,2010-11,1610612747,LAL,23,54,47.0,1500,237,413,0.574,0.0,0.0,0.0,138,209,0.66,170.0,338.0,508.0,73,19.0,106.0,74.0,140,612,Los Angeles Lakers,27.78,21.98
Will,Bynum,101198,2010-11,1610612765,DET,28,61,5.0,1125,182,406,0.448,16.0,50.0,0.32,102,122,0.836,15.0,59.0,74.0,195,52.0,4.0,83.0,113,482,Detroit Pistons,18.44,15.18
Jose,Calderon,101181,2010-11,1610612761,TOR,29,68,55.0,2102,262,596,0.44,57.0,156.0,0.365,88,103,0.854,30.0,172.0,202.0,605,81.0,7.0,148.0,143,669,Toronto Raptors,30.91,16.14
Marcus,Camby,948,2010-11,1610612757,POR,37,59,51.0,1540,117,294,0.398,0.0,1.0,0.0,43,70,0.614,182.0,424.0,606.0,121,40.0,92.0,62.0,140,277,Portland Trail Blazers,26.1,13.17
Brian,Cardinal,2073,2010-11,1610612742,DAL,34,56,4.0,618,43,100,0.43,42.0,87.0,0.483,17,18,0.944,10.0,49.0,59.0,40,24.0,7.0,17.0,82,145,Dallas Mavericks,11.04,9.82
Matt,Carroll,2679,2010-11,1610612766,CHA,30,54,1.0,582,89,199,0.447,17.0,46.0,0.37,40,52,0.769,12.0,56.0,68.0,23,17.0,6.0,23.0,43,235,Charlotte Hornets,10.78,12.63
Vince,Carter,1713,2010-11,1610612753,ORL,34,22,22.0,664,125,266,0.47,27.0,78.0,0.346,56,75,0.747,11.0,79.0,90.0,64,20.0,3.0,36.0,70,333,Orlando Magic,28.1,17.41
Vince,Carter,1713,2010-11,1610612756,PHX,34,51,41.0,1387,264,625,0.422,89.0,243.0,0.366,72,98,0.735,43.0,142.0,185.0,82,47.0,17.0,54.0,123,689,Phoenix Suns,28.1,16.14
Omri,Casspi,201956,2010-11,1610612758,SAC,23,71,27.0,1702,225,546,0.412,92.0,247.0,0.372,68,101,0.673,74.0,233.0,307.0,74,54.0,13.0,68.0,115,610,Sacramento Kings,23.97,13.03
Mario,Chalmers,201596,2010-11,1610612748,MIA,25,70,28.0,1579,155,388,0.399,83.0,231.0,0.359,54,62,0.871,12.0,134.0,146.0,177,76.0,7.0,91.0,158,447,Miami Heat,22.56,11.06
Tyson,Chandler,2199,2010-11,1610612742,DAL,28,74,74.0,2059,266,407,0.654,0.0,0.0,0.0,216,295,0.732,206.0,486.0,692.0,32,36.0,80.0,88.0,240,748,Dallas Mavericks,27.82,18.74
Wilson,Chandler,201163,2010-11,1610612752,NYK,24,51,30.0,1759,328,712,0.461,86.0,245.0,0.351,96,119,0.807,62.0,241.0,303.0,86,34.0,70.0,67.0,152,838,New York Knicks,33.35,17.16
Wilson,Chandler,201163,2010-11,1610612743,DEN,24,21,19.0,642,101,241,0.419,26.0,75.0,0.347,34,42,0.81,13.0,92.0,105.0,34,14.0,24.0,37.0,47,262,Denver Nuggets,33.35,13.55
Josh,Childress,2735,2010-11,1610612756,PHX,28,54,3.0,894,121,214,0.565,1.0,16.0,0.063,29,59,0.492,69.0,86.0,155.0,42,33.0,23.0,44.0,68,272,Phoenix Suns,16.56,14.27
Jason,Collins,2215,2010-11,1610612737,ATL,32,49,28.0,593,34,71,0.479,1.0,1.0,1.0,27,41,0.659,30.0,72.0,102.0,22,9.0,9.0,26.0,97,96,Atlanta Hawks,12.1,5.53
