FIRST_NAME,LAST_NAME,P_ID,SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,GS,MIN,FGM,FGA,FG%,FG3M,FG3A,FG3%,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,TEAM,MPG,PER
Darren,Collison,201954,2010-11,1610612754,IND,23,79,79.0,2360,398,870,0.457,41.0,124.0,0.331,202,232,0.871,40.0,185.0,225.0,403,87.0,14.0,194.0,109,1039,Indiana Pacers,29.87,18.08
Nick,Collison,2555,2010-11,1610612760,OKC,30,71,2.0,1524,137,242,0.566,0.0,0.0,0.0,55,73,0.753,119.0,197.0,316.0,69,42.0,31.0,55.0,210,329,Oklahoma City Thunder,21.46,11.07
Mike,Conley,201144,2010-11,1610612763,MEM,23,81,81.0,2872,423,953,0.444,80.0,217.0,0.369,181,247,0.733,32.0,215.0,247.0,528,144.0,18.0,176.0,182,1107,Memphis Grizzlies,35.46,15.87
Daequan,Cook,201161,2010-11,1610612760,OKC,24,43,0.0,598,79,181,0.436,65.0,154.0,0.422,16,20,0.8,8.0,64.0,72.0,20,14.0,1.0,17.0,51,239,Oklahoma City Thunder,13.91,13.46
DeMarcus,Cousins,202326,2010-11,1610612758,SAC,20,81,62.0,2309,432,1004,0.43,3.0,18.0,0.167,276,402,0.687,217.0,482.0,699.0,204,85.0,68.0,268.0,332,1143,Sacramento Kings,28.51,16.45
Jamal,Crawford,2037,2010-11,1610612737,ATL,31,76,0.0,2297,368,874,0.421,119.0,349.0,0.341,222,260,0.854,22.0,108.0,130.0,241,57.0,14.0,145.0,97,1077,Atlanta Hawks,30.22,15.03
Jordan,Crawford,202348,2010-11,1610612764,WAS,22,26,18.0,867,165,423,0.39,24.0,101.0,0.238,69,78,0.885,22.0,55.0,77.0,102,36.0,3.0,68.0,50,423,Washington Wizards,24.45,13.54
Dante,Cunningham,201967,2010-11,1610612757,POR,24,56,9.0,1108,126,291,0.433,0.0,4.0,0.0,32,45,0.711,73.0,116.0,189.0,30,39.0,32.0,33.0,139,284,Portland Trail Blazers,20.99,9.3
Dante,Cunningham,201967,2010-11,1610612766,CHA,24,22,9.0,529,92,181,0.508,1.0,9.0,0.111,13,17,0.765,23.0,65.0,88.0,13,15.0,11.0,18.0,38,198,Charlotte Hornets,20.99,13.77
Stephen,Curry,201939,2010-11,1610612744,GSW,23,74,74.0,2489,505,1053,0.48,151.0,342.0,0.442,212,227,0.934,52.0,234.0,286.0,432,109.0,20.0,226.0,233,1373,Golden State Warriors,33.64,19.92
Samuel,Dalembert,2223,2010-11,1610612758,SAC,31,80,46.0,1938,268,567,0.473,0.0,2.0,0.0,108,148,0.73,212.0,445.0,657.0,67,36.0,116.0,132.0,225,644,Sacramento Kings,24.22,15.39
Erick,Dampier,956,2010-11,1610612748,MIA,35,51,22.0,815,52,89,0.584,0.0,1.0,0.0,24,44,0.545,53.0,124.0,177.0,22,14.0,47.0,32.0,82,128,Miami Heat,15.98,10.16
Marquis,Daniels,2605,2010-11,1610612738,BOS,30,49,0.0,938,114,232,0.491,4.0,21.0,0.19,39,57,0.684,24.0,89.0,113.0,64,39.0,22.0,38.0,63,271,Boston Celtics,19.14,11.89
Baron,Davis,1884,2010-11,1610612746,LAC,32,43,35.0,1269,214,515,0.416,45.0,152.0,0.296,79,104,0.76,29.0,91.0,120.0,299,62.0,22.0,107.0,114,552,Los Angeles Clippers,28.43,16.96
Ed,Davis,202334,2010-11,1610612761,TOR,22,65,17.0,1602,215,373,0.576,0.0,0.0,0.0,71,128,0.555,168.0,294.0,462.0,40,39.0,67.0,48.0,183,501,Toronto Raptors,24.65,15.86
Glen,Davis,201175,2010-11,1610612738,BOS,25,78,13.0,2298,359,801,0.448,2.0,15.0,0.133,195,265,0.736,101.0,324.0,425.0,92,78.0,30.0,85.0,231,915,Boston Celtics,29.46,13.28
Austin,Daye,201948,2010-11,1610612765,DET,23,72,16.0,1446,193,471,0.41,69.0,172.0,0.401,82,108,0.759,64.0,210.0,274.0,78,39.0,39.0,59.0,165,537,Detroit Pistons,20.08,12.88
DeMar,DeRozan,201942,2010-11,1610612761,TOR,21,82,82.0,2851,539,1154,0.467,5.0,52.0,0.096,327,402,0.813,75.0,240.0,315.0,148,85.0,31.0,144.0,217,1410,Toronto Raptors,34.77,15.37
Carlos,Delfino,2568,2010-11,1610612749,MIL,28,49,40.0,1590,200,513,0.39,105.0,284.0,0.37,60,75,0.8,24.0,176.0,200.0,112,76.0,8.0,57.0,72,565,Milwaukee Bucks,32.45,13.55
Luol,Deng,2736,2010-11,1610612741,CHI,26,82,82.0,3208,531,1155,0.46,115.0,333.0,0.345,253,336,0.753,116.0,360.0,476.0,230,78.0,48.0,156.0,162,1430,Chicago Bulls,39.12,17.39
Boris,Diaw,2564,2010-11,1610612766,CHA,29,82,82.0,2778,381,774,0.492,78.0,226.0,0.345,84,123,0.683,105.0,309.0,414.0,337,74.0,46.0,166.0,190,924,Charlotte Hornets,33.88,13.91
Keyon,Dooling,2039,2010-11,1610612749,MIL,31,80,22.0,1757,206,519,0.397,81.0,234.0,0.346,78,94,0.83,12.0,105.0,117.0,243,54.0,4.0,91.0,119,571,Milwaukee Bucks,21.96,11.78
Joey,Dorsey,201595,2010-11,1610612761,TOR,27,43,9.0,522,52,99,0.525,0.0,0.0,0.0,31,65,0.477,79.0,111.0,190.0,27,24.0,17.0,39.0,78,135,Toronto Raptors,12.14,13.93
Toney,Douglas,201962,2010-11,1610612752,NYK,25,81,9.0,1971,314,755,0.416,143.0,383.0,0.373,85,107,0.794,65.0,179.0,244.0,244,89.0,4.0,89.0,177,856,New York Knicks,24.33,16.26
Chris,Douglas-Roberts,201604,2010-11,1610612749,MIL,24,44,12.0,884,117,273,0.429,15.0,46.0,0.326,74,89,0.831,7.0,81.0,88.0,50,29.0,13.0,35.0,73,323,Milwaukee Bucks,20.09,12.21
Goran,Dragic,201609,2010-11,1610612756,PHX,25,48,2.0,856,133,316,0.421,28.0,101.0,0.277,59,97,0.608,24.0,62.0,86.0,149,36.0,6.0,96.0,90,353,Phoenix Suns,17.63,12.72
Jared,Dudley,201162,2010-11,1610612756,PHX,25,82,15.0,2140,300,629,0.477,105.0,253.0,0.415,162,218,0.743,111.0,207.0,318.0,108,87.0,20.0,77.0,139,867,Phoenix Suns,26.1,16.78
Chris,Duhon,2768,2010-11,1610612753,ORL,28,51,5.0,774,49,129,0.38,13.0,52.0,0.25,14,25,0.56,9.0,43.0,52.0,118,16.0,2.0,61.0,30,125,Orlando Magic,15.18,5.99
Tim,Duncan,1495,2010-11,1610612759,SAS,35,76,76.0,2156,419,838,0.5,0.0,4.0,0.0,184,257,0.716,169.0,509.0,678.0,203,50.0,146.0,122.0,119,1022,San Antonio Spurs,28.37,23.34
Mike,Dunleavy,2399,2010-11,1610612754,IND,30,61,44.0,1683,240,520,0.462,102.0,254.0,0.402,100,125,0.8,28.0,248.0,276.0,105,40.0,30.0,69.0,107,682,Indiana Pacers,27.59,16.67
Kevin,Durant,201142,2010-11,1610612760,OKC,22,78,78.0,3038,711,1538,0.462,145.0,414.0,0.35,594,675,0.88,57.0,476.0,533.0,214,88.0,76.0,218.0,159,2161,Oklahoma City Thunder,38.95,24.76
Wayne,Ellington,201961,2010-11,1610612750,MIN,23,62,8.0,1181,160,397,0.403,48.0,121.0,0.397,42,53,0.792,26.0,82.0,108.0,72,28.0,3.0,53.0,85,410,Minnesota Timberwolves,19.05,9.83
Monta,Ellis,101145,2010-11,1610612744,GSW,25,80,80.0,3227,726,1611,0.451,137.0,379.0,0.361,340,431,0.789,44.0,237.0,281.0,450,168.0,23.0,252.0,203,1929,Golden State Warriors,40.34,19.53
Francisco,Elson,1922,2010-11,1610612762,UTA,35,62,1.0,610,54,113,0.478,0.0,0.0,0.0,26,31,0.839,35.0,80.0,115.0,33,21.0,14.0,32.0,84,134,Utah Jazz,9.84,8.77
Semih,Erden,201623,2010-11,1610612738,BOS,24,37,7.0,531,58,97,0.598,0.0,0.0,0.0,34,54,0.63,31.0,76.0,107.0,19,13.0,21.0,32.0,92,150,Boston Celtics,14.51,10.82
Maurice,Evans,2230,2010-11,1610612737,ATL,32,47,12.0,837,79,201,0.393,28.0,89.0,0.315,24,28,0.857,23.0,61.0,84.0,30,16.0,5.0,15.0,74,210,Atlanta Hawks,21.22,8.02
Maurice,Evans,2230,2010-11,1610612764,WAS,32,26,12.0,712,98,223,0.439,27.0,78.0,0.346,28,30,0.933,29.0,43.0,72.0,15,18.0,9.0,18.0,55,251,Washington Wizards,21.22,11.41
Reggie,Evans,2501,2010-11,1610612761,TOR,31,30,18.0,798,42,103,0.408,0.0,1.0,0.0,48,88,0.545,119.0,226.0,345.0,38,29.0,6.0,39.0,89,132,Toronto Raptors,26.6,11.7
Tyreke,Evans,201936,2010-11,1610612758,SAC,21,57,53.0,2107,382,933,0.409,43.0,148.0,0.291,205,266,0.771,46.0,229.0,275.0,319,85.0,30.0,184.0,143,1012,Sacramento Kings,36.96,16.23
Christian,Eyenga,201963,2010-11,1610612739,CLE,22,44,18.0,947,130,306,0.425,25.0,91.0,0.275,18,28,0.643,27.0,96.0,123.0,35,34.0,28.0,47.0,78,303,Cleveland Cavaliers,21.52,10.04
Jordan,Farmar,200770,2010-11,1610612751,BKN,24,73,18.0,1796,255,651,0.392,109.0,304.0,0.359,82,100,0.82,24.0,149.0,173.0,368,62.0,6.0,139.0,128,701,Brooklyn Nets,24.6,13.76
Derrick,Favors,202324,2010-11,1610612751,BKN,19,56,23.0,1091,141,276,0.511,0.0,0.0,0.0,71,116,0.612,126.0,171.0,297.0,21,18.0,41.0,56.0,183,353,Brooklyn Nets,19.68,12.44
Raymond,Felton,101109,2010-11,1610612752,NYK,27,54,54.0,2074,339,801,0.423,88.0,268.0,0.328,157,181,0.867,40.0,154.0,194.0,488,97.0,11.0,176.0,113,923,New York Knicks,36.49,18.26
Raymond,Felton,101109,2010-11,1610612743,DEN,27,21,0.0,663,88,204,0.431,28.0,61.0,0.459,37,60,0.617,8.0,67.0,75.0,137,28.0,0.0,45.0,37,241,Denver Nuggets,36.49,16.13
Rudy,Fernandez,201164,2010-11,1610612757,POR,26,78,3.0,1821,213,575,0.37,116.0,361.0,0.321,126,146,0.863,37.0,135.0,172.0,193,87.0,14.0,88.0,134,668,Portland Trail Blazers,23.35,12.54
Landry,Fields,202361,2010-11,1610612752,NYK,23,82,81.0,2541,299,602,0.497,86.0,219.0,0.393,113,147,0.769,105.0,416.0,521.0,155,80.0,17.0,107.0,114,797,New York Knicks,30.99,14.16
Derek,Fisher,965,2010-11,1610612747,LAL,36,82,82.0,2297,206,529,0.389,63.0,159.0,0.396,83,103,0.806,14.0,138.0,152.0,224,99.0,8.0,70.0,192,558,Los Angeles Lakers,28.01,9.55
Jonny,Flynn,201938,2010-11,1610612750,MIN,22,53,8.0,983,108,296,0.365,31.0,100.0,0.31,32,42,0.762,12.0,65.0,77.0,182,34.0,3.0,113.0,58,279,Minnesota Timberwolves,18.55,8.03
Gary,Forbes,201814,2010-11,1610612743,DEN,26,63,11.0,791,124,273,0.454,19.0,58.0,0.328,59,87,0.678,28.0,88.0,116.0,49,23.0,6.0,46.0,77,326,Denver Nuggets,12.56,13.54
