FIRST_NAME,LAST_NAME,P_ID,SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,GS,MIN,FGM,FGA,FG%,FG3M,FG3A,FG3%,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,TEAM,MPG,factor,vop,drbp,uPER,T_PACE,L_PACE,adjustment,aPER,PER
Arron,Afflalo,201167,2008-09,1610612765,DET,23,74,8.0,1234,131,300,0.437,43.0,107.0,0.402,58,71,0.817,30.0,104.0,134.0,44,28.0,13.0,43.0,144,363,Detroit Pistons,16.68,0.048857662593919826,1.0648686551600437,0.7352119115156427,0.19404259620026296,7580837.593191453,7837757.681841483,1.0338907258586805,0.2006188406329927,9.46
LaMarcus,Aldridge,200746,2008-09,1610612757,POR,23,81,81.0,3004,601,1243,0.484,7.0,28.0,0.25,261,334,0.781,234.0,371.0,605.0,157,77.0,77.0,121.0,207,1470,Portland Trail Blazers,37.09,0.048857662593919826,1.0648686551600437,0.7352119115156427,0.40845932673073476,7921022.841474738,7837757.681841483,0.9894880798478102,0.40416563490272406,19.05
Joe,Alexander,201570,2008-09,1610612749,MIL,22,59,0.0,716,102,245,0.416,16.0,46.0,0.348,58,83,0.699,44.0,71.0,115.0,42,15.0,29.0,52.0,107,278,Milwaukee Bucks,12.14,0.048857662593919826,1.0648686551600437,0.7352119115156427,0.24236381258749198,8076511.475445729,7837757.681841483,0.9704385000466963,0.23519917475300434,11.09
Malik,Allen,2124,2008-09,1610612749,MIL,31,49,3.0,579,73,170,0.429,0.0,1.0,0.0,10,21,0.476,35.0,68.0,103.0,35,7.0,12.0,20.0,89,156,Milwaukee Bucks,11.82,0.048857662593919826,1.0648686551600437,0.7352119115156427,0.18145748318027194,8076511.475445729,7837757.681841483,0.9704385000466963,0.17609332779971174,8.3
Ray,Allen,951,2008-09,1610612738,BOS,33,79,79.0,2876,499,1040,0.48,199.0,486.0,0.409,237,249,0.952,66.0,212.0,278.0,218,69.0,13.0,134.0,157,1434,Boston Celtics,36.41,0.048857662593919826,1.0648686551600437,0.7352119115156427,0.3851773121220888,7861048.356548113,7837757.681841483,0.9970372050074938,0.3840361107105065,18.1
Tony,Allen,2754,2008-09,1610612738,BOS,27,46,2.0,887,137,284,0.482,6.0,27.0,0.222,79,109,0.725,22.0,82.0,104.0,66,54.0,23.0,77.0,98,359,Boston Celtics,19.28,0.048857662593919826,1.0648686551600437,0.7352119115156427,0.2952069408720718,7861048.356548113,7837757.681841483,0.9970372050074938,0.2943323032259029,13.88
Rafer,Alston,1747,2008-09,1610612745,HOU,32,48,48.0,1591,193,522,0.37,80.0,230.0,0.348,86,109,0.789,25.0,119.0,144.0,258,57.0,7.0,88.0,72,552,Houston Rockets,31.78,0.048857662593919826,1.0648686551600437,0.7352119115156427,0.2783735507471371,7477567.5539649865,7837757.681841483,1.0481694247864743,0.2917826445623951,13.76
Rafer,Alston,1747,2008-09,1610612753,ORL,32,29,28.0,856,123,298,0.413,32.0,101.0,0.317,70,99,0.707,8.0,75.0,83.0,148,51.0,3.0,52.0,63,348,Orlando Magic,31.78,0.048857662593919826,1.0648686551600437,0.7352119115156427,0.34317927766556355,7141763.822326932,7837757.681841483,1.0974540571250342,0.37662349059531136,17.76
Lou,Amundson,200811,2008-09,1610612756,PHX,26,76,0.0,1044,134,250,0.536,0.0,1.0,0.0,53,120,0.442,128.0,142.0,270.0,28,32.0,65.0,56.0,154,321,Phoenix Suns,13.74,0.048857662593919826,1.0648686551600437,0.7352119115156427,0.3083230694513519,7636172.897716033,7837757.681841483,1.026398666822453,0.31646238743547417,14.92
Chris,Andersen,2365,2008-09,1610612743,DEN,30,71,1.0,1460,160,292,0.548,2.0,10.0,0.2,130,181,0.718,163.0,279.0,442.0,31,41.0,175.0,69.0,174,452,Denver Nuggets,20.56,0.048857662593919826,1.0648686551600437,0.7352119115156427,0.39774967707193476,7839525.724734951,7837757.681841483,0.9997744706815759,0.3976599728583613,18.75
Ryan,Anderson,201583,2008-09,1610612751,BKN,21,66,30.0,1312,160,407,0.393,69.0,189.0,0.365,98,116,0.845,104.0,207.0,311.0,52,44.0,20.0,63.0,157,487,Brooklyn Nets,19.88,0.048857662593919826,1.0648686551600437,0.7352119115156427,0.2931021292218739,7909751.4713600185,7837757.681841483,0.990898097142595,0.29043434211439784,13.69
