FIRST_NAME,LAST_NAME,P_ID,SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,GS,MIN,FGM,FGA,FG%,FG3M,FG3A,FG3%,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,TEAM,MPG,factor,vop,drbp,uPER,T_PACE,L_PACE,adjustment,aPER,PER
Arron,Afflalo,201167,2007-08,1610612765,DET,22,75,9.0,970,99,241,0.411,10.0,48.0,0.208,68,87,0.782,36.0,101.0,137.0,52,31.0,8.0,34.0,83,276,Detroit Pistons,12.93,0.04939739835891369,1.059112008364719,0.735863471644349,0.21856605277938088,8030034.2975925105,7752167.575575488,0.9653965709585661,0.21100291788116327,9.88
LaMarcus,Aldridge,200746,2007-08,1610612757,POR,22,76,76.0,2649,561,1160,0.484,1.0,7.0,0.143,227,298,0.762,220.0,358.0,578.0,122,55.0,94.0,126.0,240,1350,Portland Trail Blazers,34.86,0.04939739835891369,1.059112008364719,0.735863471644349,0.40775335319839506,7712524.801730676,7752167.575575488,1.0051400513922388,0.4098492263891925,19.2
Malik,Allen,2124,2007-08,1610612751,BKN,30,48,12.0,763,124,261,0.475,1.0,2.0,0.5,12,13,0.923,42.0,86.0,128.0,29,15.0,21.0,32.0,89,261,Brooklyn Nets,15.01,0.04939739835891369,1.059112008364719,0.735863471644349,0.24970282388189696,7983645.252146713,7752167.575575488,0.971006016767969,0.24246294439327445,11.36
Ray,Allen,951,2007-08,1610612738,BOS,32,73,73.0,2624,439,986,0.445,180.0,452.0,0.398,215,237,0.907,75.0,193.0,268.0,225,65.0,16.0,127.0,147,1273,Boston Celtics,35.95,0.04939739835891369,1.059112008364719,0.735863471644349,0.36537644155489174,7546749.313874642,7752167.575575488,1.0272194362310652,0.3753217823061286,17.58
Tony,Allen,2754,2007-08,1610612738,BOS,26,75,11.0,1373,169,389,0.434,18.0,57.0,0.316,138,181,0.762,34.0,134.0,168.0,114,62.0,21.0,109.0,168,494,Boston Celtics,18.31,0.04939739835891369,1.059112008364719,0.735863471644349,0.24179864730954506,7546749.313874642,7752167.575575488,1.0272194362310652,0.24838027017074504,11.63
Rafer,Alston,1747,2007-08,1610612745,HOU,31,74,74.0,2526,364,924,0.394,143.0,407.0,0.351,98,137,0.715,28.0,232.0,260.0,392,98.0,18.0,160.0,139,969,Houston Rockets,34.14,0.04939739835891369,1.059112008364719,0.735863471644349,0.29412397898227266,7497070.015401701,7752167.575575488,1.034026300894846,0.30413192999151284,14.25
Carmelo,Anthony,2546,2007-08,1610612743,DEN,24,77,77.0,2806,728,1481,0.492,58.0,164.0,0.354,464,590,0.786,178.0,393.0,571.0,259,98.0,39.0,253.0,253,1978,Denver Nuggets,36.44,0.04939739835891369,1.059112008364719,0.735863471644349,0.5230953506529631,7392772.555594835,7752167.575575488,1.048614375361604,0.5485253043795161,25.69
Darrell,Armstrong,353,2007-08,1610612751,BKN,40,50,2.0,549,40,110,0.364,23.0,69.0,0.333,20,30,0.667,17.0,50.0,67.0,73,28.0,2.0,41.0,53,123,Brooklyn Nets,10.98,0.04939739835891369,1.059112008364719,0.735863471644349,0.1918756182865135,7983645.252146713,7752167.575575488,0.971006016767969,0.18631237982727877,8.73
Hilton,Armstrong,200756,2007-08,1610612740,NOP,23,65,3.0,732,67,148,0.453,0.0,0.0,0.0,44,70,0.629,65.0,98.0,163.0,23,15.0,34.0,59.0,130,178,New Orleans Pelicans,11.26,0.04939739835891369,1.059112008364719,0.735863471644349,0.17024371962865192,7594882.072269585,7752167.575575488,1.020709406914978,0.1737693660931611,8.14
Carlos,Arroyo,2306,2007-08,1610612753,ORL,28,62,20.0,1269,157,348,0.451,29.0,84.0,0.345,87,102,0.853,10.0,103.0,113.0,219,26.0,2.0,77.0,85,430,Orlando Magic,20.47,0.04939739835891369,1.059112008364719,0.735863471644349,0.2852179506332896,7339446.253322586,7752167.575575488,1.0562333053486237,0.30125669874216005,14.11
Kelenna,Azubuike,101235,2007-08,1610612744,GSW,24,81,17.0,1732,261,587,0.445,71.0,195.0,0.364,99,138,0.717,107.0,217.0,324.0,75,45.0,34.0,58.0,159,692,Golden State Warriors,21.38,0.04939739835891369,1.059112008364719,0.735863471644349,0.3208541078573144,7913579.789149686,7752167.575575488,0.9796031356383731,0.31430969013947796,14.72
