FIRST_NAME,LAST_NAME,P_ID,SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,GS,MIN,FGM,FGA,FG%,FG3M,FG3A,FG3%,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,TEAM,MPG,factor,vop,drbp,uPER,T_PACE,L_PACE,adjustment,aPER,PER
Arron,Afflalo,201167,2010-11,1610612743,DEN,25,69,69.0,2324,312,627,0.498,105.0,248.0,0.423,138,163,0.847,45.0,206.0,251.0,168,34.0,31.0,71.0,153,867,Denver Nuggets,33.68,0.04834872041959842,1.05595260799731,0.7389724416064527,0.310371278735274,7626505.081285691,7870253.529937988,1.0319607010097482,0.3202909623769453,15.11
LaMarcus,Aldridge,200746,2010-11,1610612757,POR,25,81,81.0,3211,707,1415,0.5,4.0,23.0,0.174,351,444,0.791,278.0,431.0,709.0,170,82.0,94.0,153.0,220,1769,Portland Trail Blazers,39.64,0.04834872041959842,1.05595260799731,0.7389724416064527,0.46432086108670195,8361983.694353435,7870253.529937988,0.9411945559344375,0.43701626666159404,20.62
Ray,Allen,951,2010-11,1610612738,BOS,35,80,80.0,2890,480,978,0.491,168.0,378.0,0.444,193,219,0.881,51.0,223.0,274.0,219,77.0,16.0,117.0,147,1321,Boston Celtics,36.12,0.04834872041959842,1.05595260799731,0.7389724416064527,0.36321173538938345,8153626.449475712,7870253.529937988,0.9652457809670757,0.35058859518233226,16.54
Tony,Allen,2754,2010-11,1610612763,MEM,29,72,31.0,1494,251,492,0.51,4.0,23.0,0.174,137,182,0.753,70.0,123.0,193.0,104,129.0,44.0,86.0,161,643,Memphis Grizzlies,20.75,0.04834872041959842,1.05595260799731,0.7389724416064527,0.3992809590580689,8065265.848328057,7870253.529937988,0.9758207203510229,0.38962663309049206,18.39
Al-Farouq,Aminu,202329,2010-11,1610612746,LAC,20,81,14.0,1452,160,406,0.394,45.0,143.0,0.315,92,119,0.773,75.0,192.0,267.0,60,59.0,25.0,103.0,121,457,Los Angeles Clippers,17.93,0.04834872041959842,1.05595260799731,0.7389724416064527,0.21996919788848196,8055864.0099362265,7870253.529937988,0.976959581272809,0.214901015462047,10.14
Lou,Amundson,200811,2010-11,1610612744,GSW,28,46,7.0,691,83,183,0.454,0.0,0.0,0.0,34,87,0.391,81.0,104.0,185.0,17,14.0,33.0,24.0,87,200,Golden State Warriors,15.02,0.04834872041959842,1.05595260799731,0.7389724416064527,0.2624952844820896,8266186.25978326,7870253.529937988,0.9521021281879931,0.24992231899471018,11.79
Chris,Andersen,2365,2010-11,1610612743,DEN,32,45,0.0,732,82,137,0.599,0.0,1.0,0.0,86,135,0.637,75.0,144.0,219.0,20,23.0,58.0,25.0,79,250,Denver Nuggets,16.27,0.04834872041959842,1.05595260799731,0.7389724416064527,0.413038646240283,7626505.081285691,7870253.529937988,1.0319607010097482,0.4262396509182399,20.11
Ryan,Anderson,201583,2010-11,1610612753,ORL,23,64,14.0,1424,226,525,0.43,134.0,341.0,0.393,95,117,0.812,129.0,226.0,355.0,52,30.0,38.0,49.0,137,681,Orlando Magic,22.25,0.04834872041959842,1.05595260799731,0.7389724416064527,0.4073581652139878,7681909.137997538,7870253.529937988,1.0245179145648613,0.41734573790600304,19.69
Carmelo,Anthony,2546,2010-11,1610612743,DEN,27,50,50.0,1774,437,967,0.452,42.0,126.0,0.333,343,417,0.823,77.0,305.0,382.0,140,43.0,31.0,142.0,134,1259,Denver Nuggets,35.73,0.04834872041959842,1.05595260799731,0.7389724416064527,0.4949078376312101,7626505.081285691,7870253.529937988,1.0319607010097482,0.5107254390571222,24.1
Carmelo,Anthony,2546,2010-11,1610612752,NYK,27,27,27.0,977,247,536,0.461,53.0,125.0,0.424,164,188,0.872,41.0,140.0,181.0,81,25.0,15.0,64.0,90,711,New York Knicks,35.73,0.04834872041959842,1.05595260799731,0.7389724416064527,0.5281329001414855,7959268.157843515,7870253.529937988,0.9888162295653016,0.5222263830272916,24.64
Joel,Anthony,201202,2010-11,1610612748,MIA,28,75,11.0,1463,53,99,0.535,0.0,0.0,0.0,47,73,0.644,104.0,162.0,266.0,24,10.0,93.0,36.0,194,153,Miami Heat,19.51,0.04834872041959842,1.05595260799731,0.7389724416064527,0.14754579746379454,7402100.543664222,7870253.529937988,1.0632459642384187,0.15687747369371866,7.4
Gilbert,Arenas,2240,2010-11,1610612764,WAS,29,21,14.0,726,130,330,0.394,47.0,145.0,0.324,56,67,0.836,6.0,64.0,70.0,117,30.0,12.0,71.0,76,363,Washington Wizards,25.66,0.04834872041959842,1.05595260799731,0.7389724416064527,0.32047819408592676,8176258.39028041,7870253.529937988,0.9625739738477215,0.30848396881283185,14.56
Gilbert,Arenas,2240,2010-11,1610612753,ORL,29,49,2.0,1070,139,404,0.344,50.0,182.0,0.275,64,86,0.744,16.0,103.0,119.0,157,44.0,9.0,106.0,112,392,Orlando Magic,25.66,0.04834872041959842,1.05595260799731,0.7389724416064527,0.19821830416876143,7681909.137997538,7870253.529937988,1.0245179145648613,0.2030782036155628,9.58
Trevor,Ariza,2772,2010-11,1610612740,NOP,25,75,75.0,2600,303,762,0.398,82.0,271.0,0.303,138,197,0.701,61.0,347.0,408.0,162,120.0,31.0,118.0,180,826,New Orleans Pelicans,34.67,0.04834872041959842,1.05595260799731,0.7389724416064527,0.24363644486476763,7912799.702235641,7870253.529937988,0.9946231202736457,0.24232644100377324,11.43
