FIRST_NAME,LAST_NAME,P_ID,SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,GS,MIN,FGM,FGA,FG%,FG3M,FG3A,FG3%,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,TEAM,MPG,factor,vop,drbp,uPER,T_PACE,L_PACE,adjustment,aPER,PER
Juancho,Hernangomez,1627823,2016-17,1610612743,DEN,21,62,9.0,842,101,224,0.451,46.0,113.0,0.407,57,76,0.75,43.0,144.0,187.0,29,30.0,12.0,31.0,62,305,Denver Nuggets,13.58,0.044195362537046826,1.072746188731722,0.7681900774213936,0.3139476895934997,7903949.121222269,8303179.883760957,1.0505102900354895,0.32980527845083923,14.57
Willy,Hernangomez,1626195,2016-17,1610612752,NYK,23,72,22.0,1324,246,465,0.529,4.0,15.0,0.267,91,125,0.728,170.0,332.0,502.0,96,41.0,36.0,100.0,150,587,New York Knicks,18.39,0.044195362537046826,1.072746188731722,0.7681900774213936,0.4361413668702707,8352906.512862307,8303179.883760957,0.9940467873039429,0.4335449245477429,19.16
Mario,Hezonja,1626209,2016-17,1610612753,ORL,22,65,2.0,960,117,330,0.355,43.0,144.0,0.299,40,50,0.8,20.0,126.0,146.0,62,30.0,15.0,58.0,74,317,Orlando Magic,14.77,0.044195362537046826,1.072746188731722,0.7681900774213936,0.18265511591402914,8153542.855620405,8303179.883760957,1.0183523936514793,0.18600727450374,8.22
Roy,Hibbert,201579,2016-17,1610612766,CHA,30,42,13.0,671,78,144,0.542,0.0,0.0,0.0,61,75,0.813,53.0,97.0,150.0,20,8.0,44.0,31.0,97,217,Charlotte Hornets,14.21,0.044195362537046826,1.072746188731722,0.7681900774213936,0.3075509748237299,8046400.115233143,8303179.883760957,1.0319123788092128,0.3173656580354474,14.03
Buddy,Hield,1627741,2016-17,1610612740,NOP,24,57,37.0,1161,185,471,0.393,89.0,241.0,0.369,29,33,0.879,19.0,147.0,166.0,77,18.0,7.0,48.0,81,488,New Orleans Pelicans,23.02,0.044195362537046826,1.072746188731722,0.7681900774213936,0.2507784124172637,8619565.676719222,8303179.883760957,0.9632944622937558,0.24157345594436974,10.68
Buddy,Hield,1627741,2016-17,1610612758,SAC,24,25,18.0,727,142,296,0.48,59.0,138.0,0.428,35,43,0.814,16.0,87.0,103.0,44,20.0,2.0,53.0,34,378,Sacramento Kings,23.02,0.044195362537046826,1.072746188731722,0.7681900774213936,0.35583897063059905,8660573.357242305,8303179.883760957,0.9587332779552659,0.3411546627369018,15.08
George,Hill,201588,2016-17,1610612762,UTA,31,49,49.0,1544,289,606,0.477,94.0,233.0,0.403,157,196,0.801,23.0,144.0,167.0,204,50.0,11.0,85.0,114,829,Utah Jazz,31.51,0.044195362537046826,1.072746188731722,0.7681900774213936,0.4220024366600771,8220776.690668233,8303179.883760957,1.0100237722289993,0.4262324929652404,18.84
Solomon,Hill,203524,2016-17,1610612740,NOP,26,80,71.0,2374,183,478,0.383,94.0,270.0,0.348,103,128,0.805,51.0,256.0,307.0,141,72.0,32.0,82.0,182,563,New Orleans Pelicans,29.68,0.044195362537046826,1.072746188731722,0.7681900774213936,0.18740230172132402,8619565.676719222,8303179.883760957,0.9632944622937558,0.180523599469255,7.98
Jrue,Holiday,201950,2016-17,1610612740,NOP,27,67,61.0,2190,405,893,0.454,100.0,281.0,0.356,119,168,0.708,46.0,218.0,264.0,488,100.0,44.0,194.0,133,1029,New Orleans Pelicans,32.69,0.044195362537046826,1.072746188731722,0.7681900774213936,0.40640442078843936,8619565.676719222,8303179.883760957,0.9632944622937558,0.391487127997205,17.3
Justin,Holiday,203200,2016-17,1610612752,NYK,28,82,4.0,1639,233,538,0.433,97.0,273.0,0.355,66,80,0.825,27.0,198.0,225.0,102,65.0,31.0,66.0,109,629,New York Knicks,19.99,0.044195362537046826,1.072746188731722,0.7681900774213936,0.295953898160545,8352906.512862307,8303179.883760957,0.9940467873039429,0.29419202165656805,13.0
