FIRST_NAME,LAST_NAME,P_ID,SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,GS,MIN,FGM,FGA,FG%,FG3M,FG3A,FG3%,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,TEAM,MPG,factor,vop,drbp,uPER,T_PACE,L_PACE,adjustment,aPER,PER
Precious,Achiuwa,1630173,2021-22,1610612761,TOR,22,48,23.0,1107,148,350,0.423,18.0,59.0,0.305,44,76,0.579,105.0,226.0,331.0,55,24.0,28.0,47.0,96,358,Toronto Raptors,23.06,0.04153930057507267,1.09141670680405,0.7757061025408348,0.2824216489628564,4406976.514002237,4176010.1264845603,0.9475907378258475,0.26762013871870555,11.02
Steven,Adams,203500,2021-22,1610612763,MEM,28,56,55.0,1464,154,282,0.546,0.0,0.0,0.0,85,153,0.556,251.0,286.0,537.0,180,49.0,38.0,89.0,106,393,Memphis Grizzlies,26.14,0.04153930057507267,1.09141670680405,0.7757061025408348,0.4087209678557176,3947390.649472533,4176010.1264845603,1.057916608036394,0.43239269994727275,17.81
Bam,Adebayo,1628389,2021-22,1610612748,MIA,24,34,34.0,1134,241,460,0.524,0.0,4.0,0.0,151,201,0.751,97.0,251.0,348.0,119,51.0,24.0,99.0,106,633,Miami Heat,33.35,0.04153930057507267,1.09141670680405,0.7757061025408348,0.49171702135718814,4035355.585182656,4176010.1264845603,1.0348555507272694,0.5088560889385655,20.96
LaMarcus,Aldridge,200746,2021-22,1610612751,BKN,36,39,11.0,894,227,406,0.559,12.0,39.0,0.308,71,83,0.855,63.0,161.0,224.0,33,13.0,42.0,38.0,70,537,Brooklyn Nets,22.92,0.04153930057507267,1.09141670680405,0.7757061025408348,0.5213581567205072,4216527.7547790725,4176010.1264845603,0.9903907597314903,0.5163483009266325,21.27
Nickeil,Alexander-Walker,1629638,2021-22,1610612740,NOP,23,50,19.0,1317,237,632,0.375,95.0,305.0,0.311,70,97,0.722,36.0,128.0,164.0,139,41.0,19.0,85.0,88,639,New Orleans Pelicans,25.42,0.04153930057507267,1.09141670680405,0.7757061025408348,0.2829581473871927,4328508.294943985,4176010.1264845603,0.9647688861685784,0.2729892166870663,11.24
Grayson,Allen,1628960,2021-22,1610612749,MIL,26,49,48.0,1371,196,461,0.425,124.0,316.0,0.392,48,56,0.857,26.0,140.0,166.0,74,41.0,15.0,28.0,68,564,Milwaukee Bucks,27.98,0.04153930057507267,1.09141670680405,0.7757061025408348,0.3180271520499661,4171971.8610781925,4176010.1264845603,1.0009679512568246,0.31833498683149725,13.11
Jarrett,Allen,1628386,2021-22,1610612739,CLE,23,50,50.0,1630,329,494,0.666,1.0,10.0,0.1,151,215,0.702,181.0,370.0,551.0,91,37.0,67.0,88.0,91,810,Cleveland Cavaliers,32.6,0.04153930057507267,1.09141670680405,0.7757061025408348,0.5486474144007576,4244987.557742962,4176010.1264845603,0.983750851958898,0.5397323613417918,22.23
Kyle,Anderson,203937,2021-22,1610612763,MEM,28,47,8.0,1022,141,327,0.431,26.0,78.0,0.333,49,77,0.636,44.0,202.0,246.0,125,53.0,27.0,48.0,72,357,Memphis Grizzlies,21.74,0.04153930057507267,1.09141670680405,0.7757061025408348,0.34538300131478183,3947390.649472533,4176010.1264845603,1.057916608036394,0.3653864132243634,15.05
Giannis,Antetokounmpo,203507,2021-22,1610612749,MIL,27,49,49.0,1604,496,906,0.547,58.0,188.0,0.309,393,545,0.721,94.0,457.0,551.0,296,48.0,68.0,162.0,156,1443,Milwaukee Bucks,32.73,0.04153930057507267,1.09141670680405,0.7757061025408348,0.7795429520709874,4171971.8610781925,4176010.1264845603,1.0009679512568246,0.7802975116511933,32.14
Carmelo,Anthony,2546,2021-22,1610612747,LAL,37,50,3.0,1327,229,524,0.437,116.0,296.0,0.392,98,119,0.824,41.0,167.0,208.0,52,36.0,41.0,44.0,112,672,Los Angeles Lakers,26.54,0.04153930057507267,1.09141670680405,0.7757061025408348,0.37409967792231846,4384862.699231232,4176010.1264845603,0.9523696436872954,0.3562811769664104,14.67
