FIRST_NAME,LAST_NAME,P_ID,SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,GS,MIN,FGM,FGA,FG%,FG3M,FG3A,FG3%,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,TEAM,MPG,factor,vop,drbp,uPER,T_PACE,L_PACE,adjustment,aPER,PER
Arron,Afflalo,201167,2011-12,1610612743,DEN,26,62,62.0,2086,329,699,0.471,88.0,221.0,0.398,197,247,0.798,40.0,157.0,197.0,149,36.0,13.0,85.0,134,943,Denver Nuggets,33.65,0.04467799979720712,1.0306088945701013,0.731819242436027,0.33443602586370624,5145041.706464025,4993271.151813738,0.9705015890425905,0.3245706945338158,15.47
LaMarcus,Aldridge,200746,2011-12,1610612757,POR,26,55,55.0,1994,483,943,0.512,2.0,11.0,0.182,223,274,0.814,150.0,292.0,442.0,134,51.0,45.0,111.0,153,1191,Portland Trail Blazers,36.25,0.04467799979720712,1.0306088945701013,0.731819242436027,0.4970801015367813,5407147.953006682,4993271.151813738,0.9234574668956849,0.45903233140940586,21.88
Lavoy,Allen,202730,2011-12,1610612755,PHI,23,41,15.0,624,79,167,0.473,0.0,0.0,0.0,11,14,0.786,47.0,124.0,171.0,34,13.0,18.0,20.0,73,169,Philadelphia 76ers,15.22,0.04467799979720712,1.0306088945701013,0.731819242436027,0.2733190785466707,4634254.431608164,4993271.151813738,1.0774702221261057,0.2944931682729838,14.04
Ray,Allen,951,2011-12,1610612738,BOS,36,46,42.0,1565,226,493,0.458,106.0,234.0,0.453,97,106,0.915,14.0,128.0,142.0,109,49.0,8.0,68.0,83,655,Boston Celtics,34.02,0.04467799979720712,1.0306088945701013,0.731819242436027,0.3239349336806115,5082119.024147789,4993271.151813738,0.9825175538172387,0.31827175863582385,15.17
Tony,Allen,2754,2011-12,1610612763,MEM,30,58,57.0,1525,210,448,0.469,8.0,26.0,0.308,140,175,0.8,98.0,135.0,233.0,79,104.0,33.0,94.0,142,568,Memphis Grizzlies,26.29,0.04467799979720712,1.0306088945701013,0.731819242436027,0.33154469704899087,5137838.530784155,4993271.151813738,0.9718622183036272,0.3222157647408363,15.36
Al-Farouq,Aminu,202329,2011-12,1610612740,NOP,21,66,21.0,1477,150,365,0.411,13.0,47.0,0.277,86,114,0.754,95.0,213.0,308.0,66,59.0,34.0,91.0,136,399,New Orleans Pelicans,22.38,0.04467799979720712,1.0306088945701013,0.731819242436027,0.22430879870355805,5126511.732358413,4993271.151813738,0.9740095044153194,0.21847890186124821,10.41
Lou,Amundson,200811,2011-12,1610612754,IND,29,60,0.0,753,89,207,0.43,0.0,0.0,0.0,35,82,0.427,94.0,128.0,222.0,14,27.0,44.0,45.0,125,213,Indiana Pacers,12.55,0.04467799979720712,1.0306088945701013,0.731819242436027,0.24653770926588991,4815971.05361265,4993271.151813738,1.0368150257190787,0.2556140013732364,12.18
James,Anderson,202341,2011-12,1610612759,SAS,23,51,2.0,603,66,174,0.379,19.0,68.0,0.279,39,52,0.75,16.0,63.0,79.0,41,8.0,2.0,30.0,35,190,San Antonio Spurs,11.82,0.04467799979720712,1.0306088945701013,0.731819242436027,0.20104428631996427,4866327.676833046,4993271.151813738,1.0260860927193678,0.206288746213606,9.83
Ryan,Anderson,201583,2011-12,1610612753,ORL,24,61,61.0,1964,332,757,0.439,166.0,422.0,0.393,150,171,0.877,224.0,247.0,471.0,54,50.0,26.0,57.0,146,980,Orlando Magic,32.2,0.04467799979720712,1.0306088945701013,0.731819242436027,0.4383089804990418,4864338.93514467,4993271.151813738,1.026505598887762,0.44992662252505333,21.44
Carmelo,Anthony,2546,2011-12,1610612752,NYK,28,55,55.0,1876,441,1025,0.43,68.0,203.0,0.335,295,367,0.804,88.0,256.0,344.0,200,62.0,24.0,144.0,156,1245,New York Knicks,34.11,0.04467799979720712,1.0306088945701013,0.731819242436027,0.47185385170897304,4758960.462159988,4993271.151813738,1.0492356873978739,0.49508590044919876,23.6
Joel,Anthony,201202,2011-12,1610612748,MIA,29,64,51.0,1349,85,152,0.559,0.0,0.0,0.0,49,71,0.69,100.0,150.0,250.0,9,36.0,84.0,45.0,126,219,Miami Heat,21.08,0.04467799979720712,1.0306088945701013,0.731819242436027,0.21101671046601359,4875538.075834748,4993271.151813738,1.024147709267727,0.21611228064097898,10.3
Trevor,Ariza,2772,2011-12,1610612740,NOP,27,41,41.0,1350,168,403,0.417,29.0,87.0,0.333,79,102,0.775,41.0,174.0,215.0,135,69.0,25.0,76.0,73,444,New Orleans Pelicans,32.93,0.04467799979720712,1.0306088945701013,0.731819242436027,0.2960936481630512,5126511.732358413,4993271.151813738,0.9740095044153194,0.28839802750781746,13.75
Omer,Asik,201600,2011-12,1610612741,CHI,25,66,2.0,971,79,156,0.506,0.0,0.0,0.0,47,103,0.456,127.0,223.0,350.0,32,30.0,68.0,68.0,121,205,Chicago Bulls,14.71,0.04467799979720712,1.0306088945701013,0.731819242436027,0.2732226145652702,4664327.304504202,4993271.151813738,1.0705233200491495,0.2924911804569222,13.94
D.J.,Augustin,201571,2011-12,1610612766,CHA,24,48,46.0,1408,183,487,0.376,61.0,179.0,0.341,105,120,0.875,24.0,85.0,109.0,307,36.0,1.0,110.0,65,532,Charlotte Hornets,29.33,0.04467799979720712,1.0306088945701013,0.731819242436027,0.3045073036791473,5156939.954489162,4993271.151813738,0.9682624183876818,0.2948429782770834,14.05
Gustavo,Ayon,202970,2011-12,1610612740,NOP,27,54,24.0,1088,140,261,0.536,0.0,1.0,0.0,39,63,0.619,86.0,179.0,265.0,74,53.0,46.0,46.0,118,319,New Orleans Pelicans,20.15,0.04467799979720712,1.0306088945701013,0.731819242436027,0.34338331940403655,5126511.732358413,4993271.151813738,0.9740095044153194,0.33445861675721295,15.94
Luke,Babbitt,202337,2011-12,1610612757,POR,23,40,4.0,537,71,173,0.41,43.0,100.0,0.43,17,20,0.85,16.0,79.0,95.0,16,10.0,4.0,27.0,46,202,Portland Trail Blazers,13.42,0.04467799979720712,1.0306088945701013,0.731819242436027,0.24934651839380995,5407147.953006682,4993271.151813738,0.9234574668956849,0.23026090425520604,10.97
Leandro,Barbosa,2571,2011-12,1610612761,TOR,29,42,0.0,946,198,454,0.436,40.0,111.0,0.36,76,91,0.835,21.0,58.0,79.0,63,36.0,7.0,68.0,101,512,Toronto Raptors,21.59,0.04467799979720712,1.0306088945701013,0.731819242436027,0.32764219823785173,5083354.860543567,4993271.151813738,0.9822786897233855,0.3218359491831667,15.34
J.J.,Barea,200826,2011-12,1610612750,MIN,28,41,11.0,1032,167,418,0.4,53.0,143.0,0.371,76,98,0.776,14.0,100.0,114.0,232,21.0,0.0,103.0,61,463,Minnesota Timberwolves,25.17,0.04467799979720712,1.0306088945701013,0.731819242436027,0.33001146817598337,4882466.729874162,4993271.151813738,1.022694352684802,0.33750086482479846,16.09
Andrea,Bargnani,200745,2011-12,1610612761,TOR,26,31,31.0,1032,209,484,0.432,34.0,115.0,0.296,151,173,0.873,24.0,148.0,172.0,61,18.0,15.0,69.0,52,603,Toronto Raptors,33.29,0.04467799979720712,1.0306088945701013,0.731819242436027,0.3937423394205315,5083354.860543567,4993271.151813738,0.9822786897233855,0.3867647092546202,18.43
Matt,Barnes,2440,2011-12,1610612747,LAL,32,63,16.0,1440,175,387,0.452,46.0,138.0,0.333,95,128,0.742,97.0,247.0,344.0,126,35.0,48.0,73.0,152,491,Los Angeles Lakers,22.86,0.04467799979720712,1.0306088945701013,0.731819242436027,0.32697509840501643,4631657.238224303,4993271.151813738,1.078074411596155,0.35250348681958293,16.8
Brandon,Bass,101138,2011-12,1610612738,BOS,27,59,39.0,1868,303,632,0.479,0.0,0.0,0.0,132,163,0.81,95.0,270.0,365.0,55,34.0,54.0,65.0,135,738,Boston Celtics,31.66,0.04467799979720712,1.0306088945701013,0.731819242436027,0.3191113670243464,5082119.024147789,4993271.151813738,0.9825175538172387,0.3135325197240359,14.94
Shane,Battier,2203,2011-12,1610612748,MIA,33,65,10.0,1499,113,292,0.387,62.0,183.0,0.339,23,37,0.622,56.0,100.0,156.0,82,64.0,33.0,37.0,105,311,Miami Heat,23.06,0.04467799979720712,1.0306088945701013,0.731819242436027,0.20338613534524147,4875538.075834748,4993271.151813738,1.024147709267727,0.20829744461064492,9.93
Nicolas,Batum,201587,2011-12,1610612757,POR,23,59,34.0,1791,289,641,0.451,107.0,274.0,0.391,133,159,0.836,81.0,190.0,271.0,84,57.0,60.0,90.0,105,818,Portland Trail Blazers,30.36,0.04467799979720712,1.0306088945701013,0.731819242436027,0.37160253428005197,5407147.953006682,4993271.151813738,0.9234574668956849,0.34315913499827366,16.36
Jerryd,Bayless,201573,2011-12,1610612761,TOR,23,31,11.0,705,117,276,0.424,44.0,104.0,0.423,75,88,0.852,8.0,58.0,66.0,118,24.0,4.0,53.0,70,353,Toronto Raptors,22.74,0.04467799979720712,1.0306088945701013,0.731819242436027,0.3773941643253378,5083354.860543567,4993271.151813738,0.9822786897233855,0.3707062452427448,17.67
Michael,Beasley,201563,2011-12,1610612750,MIN,23,47,7.0,1087,221,497,0.445,38.0,101.0,0.376,61,95,0.642,39.0,168.0,207.0,45,18.0,19.0,80.0,83,541,Minnesota Timberwolves,23.13,0.04467799979720712,1.0306088945701013,0.731819242436027,0.3082519491333729,4882466.729874162,4993271.151813738,1.022694352684802,0.3152475275827833,15.02
