TEAM,FGM,FGA,FG3M,FG3A,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PER,SEASON,Playoff,Quarter,Semi,Final,Champion,SCORE,W,L,WIN%,GB,CONF,DIV,HOME,ROAD,OT,TEAM_ID,ELO
Portland Trail Blazers,1826,4086,672.0,1837.0,779,1012,401.0,1489.0,1890.0,1077,356.0,211.0,611.0,839,5103,14.04,2021-22,0,0,0,0,0,,21,31,0.404,20.5,9-23,1-7,14-13,7-18,0-1,1610612757,1321.847627436521
Sacramento Kings,2063,4537,619.0,1799.0,853,1106,473.0,1680.0,2153.0,1205,374.0,236.0,682.0,953,5598,14.77,2021-22,0,0,0,0,0,,19,35,0.352,23.5,13-21,5-7,13-16,6-19,1-0,1610612758,1264.0950962927438
San Antonio Spurs,2085,4511,540.0,1528.0,669,900,486.0,1665.0,2151.0,1337,353.0,230.0,575.0,828,5379,15.82,2021-22,0,0,0,0,0,,19,34,0.358,23,11-20,2-6,10-18,9-16,0-3,1610612759,1303.5623325565475
Toronto Raptors,1754,3981,553.0,1550.0,679,893,511.0,1317.0,1828.0,932,379.0,205.0,499.0,784,4740,13.74,2021-22,0,0,0,0,0,,27,23,0.54,4.5,19-14,5-5,15-12,12-11,2-1,1610612761,1488.445778632518
Utah Jazz,1909,4050,687.0,1897.0,843,1079,474.0,1660.0,2134.0,1031,330.0,226.0,596.0,857,5348,17.09,2021-22,0,0,0,0,0,,31,21,0.596,10.5,20-11,11-1,16-10,15-11,0-0,1610612762,1418.5366383313574
Washington Wizards,1888,4012,445.0,1370.0,809,1047,426.0,1640.0,2066.0,1170,278.0,239.0,614.0,844,5030,14.95,2021-22,0,0,0,0,0,,24,27,0.471,8,17-17,6-5,13-12,11-15,3-0,1610612764,1329.25091544456
Atlanta Hawks,2793,5917,858.0,2280.0,1332,1637,703.0,2336.0,3039.0,1592,455.0,323.0,827.0,1297,7776,15.14,2020-21,1,1,1,0,0,15.0,41,31,0.569,8   ,24-18,9-3  ,25-11,16-20,2-2 ,1610612737,1534.302652786819
Boston Celtics,2681,5739,877.0,2330.0,1077,1378,679.0,2161.0,2840.0,1501,486.0,314.0,860.0,1272,7316,14.58,2020-21,1,0,0,0,0,7.0,36,36,0.5,13  ,20-22,4-8  ,21-15,15-21,2-2 ,1610612738,1372.417343149972
Brooklyn Nets,2769,5526,948.0,2373.0,1135,1413,516.0,2187.0,2703.0,1652,423.0,312.0,804.0,1191,7621,16.31,2020-21,1,1,0,0,0,4.0,48,24,0.667,1   ,26-16,8-4  ,28-8 ,20-16,2-2 ,1610612751,1526.3013339522306
Charlotte Hornets,2789,6134,977.0,2623.0,1087,1435,741.0,2331.0,3072.0,1850,546.0,333.0,977.0,1238,7642,15.05,2020-21,0,0,0,0,0,,33,39,0.458,16  ,20-22,8-4  ,18-18,15-21,1-2 ,1610612766,1302.2911887466505
Chicago Bulls,2842,5982,858.0,2296.0,923,1153,612.0,2302.0,2914.0,1807,430.0,256.0,984.0,1193,7465,15.82,2020-21,0,0,0,0,0,,31,41,0.431,18  ,21-21,7-5  ,15-21,16-20,2-2 ,1610612741,1370.167323146028
Cleveland Cavaliers,2529,5575,672.0,1952.0,1073,1431,651.0,2029.0,2680.0,1513,491.0,260.0,934.0,1104,6803,13.22,2020-21,0,0,0,0,0,,22,50,0.306,27  ,16-26,4-8  ,13-23,9-27 ,3-1 ,1610612739,1186.391475137986
Dallas Mavericks,2760,5805,950.0,2572.0,1102,1408,549.0,2210.0,2759.0,1552,404.0,293.0,762.0,1247,7572,14.93,2020-21,1,0,0,0,0,5.0,42,30,0.583,10  ,21-21,7-5  ,21-15,21-15,1-0 ,1610612742,1460.2794310254474
Denver Nuggets,2802,5704,832.0,2171.0,1026,1261,652.0,2109.0,2761.0,1794,504.0,263.0,804.0,1106,7462,14.53,2020-21,1,1,0,0,0,6.0,47,25,0.653,5   ,26-16,9-3  ,25-11,22-14,4-2 ,1610612743,1502.6859642112424
Detroit Pistons,2385,5358,760.0,2173.0,1134,1472,596.0,2080.0,2676.0,1533,459.0,333.0,886.0,1283,6664,12.61,2020-21,0,0,0,0,0,,20,52,0.278,29  ,12-30,1-11 ,13-23,7-29 ,1-3 ,1610612765,1207.5550744297116
Golden State Warriors,2908,6177,1019.0,2710.0,1162,1476,556.0,2451.0,3007.0,1912,562.0,331.0,1014.0,1473,7997,15.37,2020-21,0,0,0,0,0,,39,33,0.542,13  ,25-17,5-7  ,25-11,14-22,1-0 ,1610612744,1442.5905562438422
Houston Rockets,2396,5327,811.0,2354.0,992,1354,557.0,2010.0,2567.0,1353,457.0,296.0,837.0,1153,6595,13.07,2020-21,0,0,0,0,0,,17,55,0.236,35  ,11-31,5-7  ,9-27 ,8-28 ,0-1 ,1610612745,1186.6440338091984
Indiana Pacers,2886,6049,834.0,2279.0,1106,1391,588.0,2228.0,2816.0,1905,581.0,427.0,879.0,1308,7712,16.19,2020-21,0,0,0,0,0,,34,38,0.472,15  ,20-22,7-5  ,13-23,21-15,5-2 ,1610612754,1368.5119888445197
Los Angeles Clippers,2804,5780,963.0,2326.0,1081,1282,605.0,2312.0,2917.0,1581,454.0,275.0,792.0,1235,7652,15.83,2020-21,1,1,1,0,0,12.0,47,25,0.653,5   ,27-15,9-3  ,26-10,21-15,0-0 ,1610612746,1544.6138917777853
