Player,Team,Share
Nikola Jokić,DEN,0.4346238320171455
Giannis Antetokounmpo,MIL,0.3640972797381553
Joel Embiid,PHI,0.35853756522603303
Ja Morant,MEM,0.1537036410608111
James Harden,PHI,0.1453650234409367
Rudy Gobert,UTA,0.11109889485412144
DeMar DeRozan,CHI,0.10265430497909471
Stephen Curry,GSW,0.08818868496089091
Luka Dončić,DAL,0.08195873405755608
Chris Paul,PHO,0.001240418525206205
