Player,Tm,Share,Predicted_Share
0,Giannis Antetokounmpo,MIL,0.952,0.9055205756178588
1,LeBron James,LAL,0.746,0.5023467908959789
2,James Harden,HOU,0.363,0.4452507613613881
3,Luka Dončić,DAL,0.198,0.2000773972921175
4,Kawhi Leonard,LAC,0.166,0.2060069496326756
5,Anthony Davis,LAL,0.081,0.1835397058194492
6,Chris Paul,OKC,0.026,0.0228743045480336
7,Damian Lillard,POR,0.023,0.1200828236300766
8,Nikola Jokić,DEN,0.018,0.0694168963482206
9,Pascal Siakam,TOR,0.017,0.0487659837560626
10,Jimmy Butler,MIA,0.009,0.0333609578466424
11,Jayson Tatum,BOS,0.001,0.0240474658550119
