iter	Passed	Remaining
433	1572	2050
434	1575	2046
435	1578	2041
436	1581	2037
437	1584	2033
438	1587	2028
439	1590	2024
440	1593	2019
441	1596	2015
442	1599	2011
443	1602	2007
444	1605	2002
445	1608	1998
446	1612	1994
447	1615	1990
448	1618	1985
449	1621	1981
450	1624	1977
451	1627	1973
452	1630	1968
453	1633	1964
454	1636	1960
455	1639	1956
456	1642	1951
457	1645	1947
458	1648	1943
459	1651	1939
460	1655	1935
461	1658	1930
462	1661	1927
463	1667	1926
464	1671	1922
465	1675	1919
466	1678	1916
467	1682	1912
468	1686	1909
469	1690	1906
470	1694	1902
471	1697	1899
472	1701	1895
473	1704	1891
474	1708	1888
475	1712	1884
476	1715	1881
477	1719	1877
478	1723	1874
479	1727	1871
480	1731	1867
481	1734	1864
482	1738	1861
483	1742	1857
484	1745	1853
485	1749	1850
486	1753	1846
487	1756	1842
488	1759	1838
489	1762	1834
490	1765	1830
491	1768	1826
492	1771	1821
493	1774	1817
494	1777	1813
495	1780	1809
496	1783	1805
497	1786	1801
498	1789	1796
499	1792	1792
500	1795	1788
501	1798	1784
502	1801	1780
503	1805	1776
504	1808	1772
505	1811	1768
506	1814	1764
507	1817	1760
508	1820	1756
509	1823	1752
510	1826	1748
511	1830	1744
512	1833	1740
513	1836	1736
514	1839	1732
515	1842	1728
516	1845	1724
517	1848	1720
518	1851	1716
519	1854	1712
520	1857	1708
521	1860	1704
522	1864	1700
523	1867	1696
524	1870	1692
525	1873	1688
526	1876	1684
527	1879	1680
528	1882	1676
529	1885	1672
530	1888	1668
531	1891	1664
532	1894	1660
533	1897	1656
534	1900	1652
535	1903	1648
536	1906	1644
537	1909	1640
538	1913	1636
539	1916	1632
540	1919	1628
541	1922	1624
542	1925	1620
543	1928	1616
544	1931	1612
545	1934	1608
546	1937	1604
547	1940	1600
548	1943	1596
549	1946	1592
550	1949	1588
551	1952	1584
552	1955	1580
553	1958	1576
554	1961	1573
555	1964	1569
556	1967	1565
557	1971	1561
558	1974	1557
559	1977	1553
560	1981	1550
561	1984	1546
562	1987	1542
563	1990	1538
564	1993	1535
565	1997	1531
566	2002	1529
567	2006	1526
568	2009	1522
569	2012	1518
570	2015	1514
571	2018	1510
572	2021	1506
573	2024	1502
574	2028	1498
575	2031	1495
576	2034	1491
577	2037	1487
578	2040	1483
579	2043	1479
580	2046	1475
581	2049	1472
582	2052	1468
583	2055	1464
584	2058	1460
585	2061	1456
586	2064	1452
587	2067	1448
588	2071	1445
589	2073	1441
590	2077	1437
591	2080	1433
592	2083	1429
593	2086	1425
594	2089	1421
595	2092	1418
596	2095	1414
597	2098	1410
598	2101	1406
599	2104	1402
600	2107	1399
601	2110	1395
602	2113	1391
603	2116	1387
604	2119	1383
605	2122	1379
606	2125	1376
607	2128	1372
608	2131	1368
609	2134	1364
610	2137	1361
611	2140	1357
612	2144	1353
613	2147	1349
614	2150	1346
615	2153	1342
616	2156	1338
617	2159	1334
618	2162	1331
619	2165	1327
620	2168	1323
621	2171	1319
622	2174	1315
623	2177	1312
624	2180	1308
625	2184	1304
626	2187	1301
627	2190	1297
628	2193	1293
629	2196	1289
630	2199	1286
631	2202	1282
632	2205	1278
633	2208	1275
634	2212	1271
635	2215	1267
636	2218	1264
637	2221	1260
638	2224	1256
639	2227	1253
640	2230	1249
641	2234	1245
642	2237	1242
643	2240	1238
644	2243	1234
645	2246	1230
646	2249	1227
647	2252	1223
648	2255	1220
649	2258	1216
650	2261	1212
651	2265	1208
652	2268	1205
653	2271	1201
654	2274	1197
655	2277	1194
656	2280	1190
657	2283	1186
658	2286	1183
659	2289	1179
660	2292	1175
661	2296	1172
662	2299	1168
663	2302	1164
664	2305	1161
665	2308	1157
666	2311	1153
667	2314	1150
668	2317	1146
669	2320	1142
670	2323	1139
671	2326	1135
672	2329	1132
673	2332	1128
674	2335	1124
675	2338	1120
676	2342	1117
677	2345	1113
678	2348	1110
679	2351	1106
680	2354	1102
681	2357	1099
682	2360	1095
683	2363	1091
684	2366	1088
685	2369	1084
686	2372	1081
687	2375	1077
688	2378	1073
689	2382	1070
690	2385	1066
691	2388	1062
692	2391	1059
693	2394	1055
694	2397	1052
695	2400	1048
696	2403	1044
697	2406	1041
698	2409	1037
699	2412	1033
700	2415	1030
701	2418	1026
702	2422	1023
703	2424	1019
704	2427	1015
705	2430	1012
706	2433	1008
707	2437	1005
708	2440	1001
709	2442	997
710	2446	994
711	2449	990
712	2452	987
713	2455	983
714	2458	979
715	2461	976
716	2464	972
717	2467	969
718	2470	965
719	2473	962
720	2477	958
721	2480	954
722	2483	951
723	2486	947
724	2489	944
725	2492	940
726	2495	937
727	2498	933
728	2501	929
729	2504	926
730	2507	922
731	2510	919
732	2513	915
733	2516	912
734	2519	908
735	2522	904
736	2525	901
737	2529	897
738	2532	894
739	2535	890
740	2538	887
741	2541	883
742	2544	880
743	2547	876
744	2550	872
745	2553	869
746	2556	865
747	2559	862
748	2562	858
749	2565	855
750	2569	851
751	2572	848
752	2575	844
753	2578	841
754	2581	837
755	2584	834
756	2587	830
757	2590	826
758	2593	823
759	2596	819
760	2599	816
761	2602	812
762	2605	809
763	2608	805
764	2611	802
765	2614	798
766	2617	795
767	2620	791
768	2623	788
769	2627	784
770	2630	781
771	2633	777
772	2636	774
773	2639	770
774	2642	767
775	2645	763
776	2648	760
777	2651	756
778	2654	753
779	2657	749
780	2660	746
781	2663	742
782	2666	739
783	2670	735
784	2673	732
785	2676	728
786	2679	725
787	2682	721
788	2685	718
789	2688	714
790	2691	711
791	2694	707
792	2697	704
793	2700	700
794	2704	697
795	2707	693
796	2710	690
797	2713	686
798	2716	683
799	2719	679
800	2722	676
801	2725	672
802	2728	669
803	2731	665
804	2735	662
805	2738	659
806	2741	655
807	2744	652
808	2747	648
809	2750	645
810	2753	641
811	2757	638
812	2760	634
813	2763	631
814	2766	627
815	2769	624
816	2772	621
817	2775	617
818	2778	614
819	2781	610
820	2784	607
821	2787	603
822	2790	600
823	2793	596
824	2797	593
825	2800	589
826	2803	586
827	2806	582
828	2809	579
829	2812	576
830	2815	572
831	2818	569
832	2821	565
833	2824	562
834	2827	558
835	2830	555
836	2833	551
837	2836	548
838	2840	544
839	2843	541
840	2846	538
841	2849	534
842	2852	531
843	2855	527
844	2858	524
845	2861	520
846	2864	517
847	2867	514
848	2871	510
849	2874	507
850	2877	503
851	2880	500
852	2883	496
853	2886	493
854	2889	490
855	2892	486
856	2895	483
857	2898	479
858	2901	476
859	2904	472
860	2907	469
861	2910	466
862	2913	462
863	2917	459
864	2920	455
865	2923	452
866	2926	448
867	2929	445
868	2932	442
869	2935	438
870	2938	435
871	2941	431
872	2944	428
873	2947	424
874	2950	421
875	2953	418
876	2956	414
877	2959	411
878	2963	407
879	2966	404
880	2969	401
881	2972	397
882	2975	394
883	2978	390
884	2981	387
885	2984	384
886	2987	380
887	2991	377
888	2994	373
889	2997	370
890	3000	367
891	3003	363
892	3006	360
893	3009	356
894	3012	353
895	3015	350
896	3018	346
897	3022	343
898	3025	339
899	3028	336
900	3031	333
901	3034	329
902	3037	326
903	3040	322
904	3043	319
905	3046	316
906	3049	312
907	3052	309
908	3056	305
909	3059	302
910	3062	299
911	3065	295
912	3068	292
913	3071	289
914	3074	285
915	3077	282
916	3080	278
917	3083	275
918	3087	272
919	3090	268
920	3093	265
921	3096	261
922	3099	258
923	3102	255
924	3105	251
925	3108	248
926	3111	245
927	3114	241
928	3117	238
929	3120	234
930	3123	231
931	3127	228
932	3130	224
933	3133	221
934	3136	218
935	3139	214
936	3142	211
937	3146	207
938	3150	204
939	3153	201
940	3156	197
941	3159	194
942	3162	191
943	3165	187
944	3168	184
945	3171	181
946	3175	177
947	3178	174
948	3181	170
949	3184	167
950	3187	164
951	3190	160
952	3193	157
953	3196	154
954	3199	150
955	3202	147
956	3205	144
957	3208	140
958	3211	137
959	3214	133
960	3218	130
961	3221	127
962	3224	123
963	3227	120
964	3230	117
965	3233	113
966	3237	110
967	3240	107
968	3243	103
969	3246	100
970	3249	97
971	3253	93
972	3256	90
973	3259	87
974	3262	83
975	3265	80
976	3268	76
977	3271	73
978	3274	70
979	3278	66
980	3281	63
981	3284	60
982	3287	56
983	3290	53
984	3293	50
985	3296	46
986	3299	43
987	3302	40
988	3305	36
989	3308	33
990	3311	30
991	3314	26
992	3317	23
993	3320	20
994	3323	16
995	3326	13
996	3329	10
997	3332	6
998	3335	3
999	3339	0
