NAME,TEAM,SALARY,YEAR
Kevin Garnett,Minnesota Timberwolves,28000000,2004
Shaquille O'Neal,Los Angeles Lakers,26571000,2004
Rasheed Wallace,Detroit Pistons,18000000,2004
Dikembe Mutombo,New York Knicks,17895000,2004
Allan Houston,New York Knicks,15937000,2004
Chris Webber,Sacramento Kings,15937000,2004
Damon Stoudamire,Portland Trail Blazers,14625000,2004
Antoine Walker,Dallas Mavericks,13500000,2004
Antonio McDyess,Phoenix Suns,13500000,2004
Shareef Abdur-Rahim,Portland Trail Blazers,13500000,2004
Allen Iverson,Philadelphia 76ers,13500000,2004
Latrell Sprewell,Minnesota Timberwolves,13500000,2004
Vin Baker,New York Knicks,13500000,2004
Zydrunas Ilgauskas,Cleveland Cavaliers,13500000,2004
Anfernee Hardaway,New York Knicks,13500000,2004
Ray Allen,Oklahoma City Thunder,13500000,2004
Kobe Bryant,Los Angeles Lakers,13500000,2004
Stephon Marbury,New York Knicks,13500000,2004
Michael Finley,Dallas Mavericks,13281000,2004
Keith Van Horn,Milwaukee Bucks,13280000,2004
Tracy McGrady,Orlando Magic,13279000,2004
Tim Duncan,San Antonio Spurs,13279000,2004
Jalen Rose,Toronto Raptors,13279000,2004
Eddie Jones,Miami Heat,12320000,2004
Brian Grant,Miami Heat,12234000,2004
Vlade Divac,Sacramento Kings,12051000,2004
Antonio Davis,Chicago Bulls,12000000,2004
Vince Carter,Toronto Raptors,11953000,2004
Tim Thomas,New York Knicks,11825000,2004
Tom Gugliotta,Utah Jazz,11668000,2004
Jason Kidd,Brooklyn Nets,10950000,2004
Nick Van Exel,Golden State Warriors,10912000,2004
Glenn Robinson,Philadelphia 76ers,10730000,2004
Theo Ratliff,Portland Trail Blazers,10156000,2004
Glen Rice,Los Angeles Clippers,9600000,2004
Kerry Kittles,Brooklyn Nets,9267000,2004
Greg Ostertag,Utah Jazz,8666000,2004
Jamal Mashburn,New Orleans Pelicans,8525000,2004
Toni Kukoc,Milwaukee Bucks,8050000,2004
Maurice Taylor,Houston Rockets,7800000,2004
Derek Anderson,Portland Trail Blazers,7794000,2004
Wesley Person,Atlanta Hawks,7700000,2004
Alan Henderson,Atlanta Hawks,7682000,2004
Austin Croshere,Indiana Pacers,7610000,2004
Erick Dampier,Golden State Warriors,7482000,2004
Kelvin Cato,Houston Rockets,7344000,2004
Marcus Camby,Denver Nuggets,7250000,2004
Ron Mercer,San Antonio Spurs,7169000,2004
Shandon Anderson,New York Knicks,6700000,2004
Lorenzen Wright,Memphis Grizzlies,6600000,2004
Jerry Stackhouse,Washington Wizards,6500000,2004
Elton Brand,Los Angeles Clippers,6364000,2004
Doug Christie,Sacramento Kings,6250000,2004
Peja Stojakovic,Sacramento Kings,6250000,2004
Eddie Robinson,Chicago Bulls,6246000,2004
Bob Sura,Atlanta Hawks,6166000,2004
Charlie Ward,San Antonio Spurs,6030000,2004
Bo Outlaw,Memphis Grizzlies,5955000,2004
Howard Eisley,Phoenix Suns,5843000,2004
Steve Nash,Dallas Mavericks,5750000,2004
Steve Francis,Houston Rockets,5720000,2004
Vitaly Potapenko,Oklahoma City Thunder,5715000,2004
Nazr Mohammed,New York Knicks,5700000,2004
Eric Williams,Cleveland Cavaliers,5560000,2004
Christian Laettner,Washington Wizards,5526000,2004
Alvin Williams,Toronto Raptors,5500000,2004
Ben Wallace,Detroit Pistons,5500000,2004
Ruben Patterson,Portland Trail Blazers,5447000,2004
Calvin Booth,Oklahoma City Thunder,5446000,2004
Joe Smith,Milwaukee Bucks,5445000,2004
Clarence Weatherspoon,Houston Rockets,5445000,2004
Avery Johnson,Golden State Warriors,5445000,2004
Danny Fortson,Dallas Mavericks,5428000,2004
Jerome Williams,Chicago Bulls,5400000,2004
Brent Barry,Oklahoma City Thunder,5400000,2004
Jahidi White,Phoenix Suns,5394000,2004
Kurt Thomas,New York Knicks,5394000,2004
Cuttino Mobley,Houston Rockets,5393000,2004
Scot Pollard,Indiana Pacers,5310000,2004
Robert Horry,San Antonio Spurs,5300000,2004
Shawn Bradley,Dallas Mavericks,5194000,2004
Baron Davis,New Orleans Pelicans,5173000,2004
Kenyon Martin,Brooklyn Nets,5128000,2004
Brevin Knight,Milwaukee Bucks,5062000,2004
Corliss Williamson,Detroit Pistons,5000000,2004
Aaron McKie,Philadelphia 76ers,5000000,2004
Lamar Odom,Miami Heat,4692000,2004
Stromile Swift,Memphis Grizzlies,4614000,2004
Mark Jackson,Houston Rockets,4580000,2004
Rick Fox,Los Angeles Lakers,4549000,2004
Lamond Murray,Toronto Raptors,4500000,2004
Eric Snow,Philadelphia 76ers,4500000,2004
Michael Stewart,Boston Celtics,4480000,2004
Tony Battie,Cleveland Cavaliers,4400000,2004
Adonal Foyle,Golden State Warriors,4400000,2004
Jonathan Bender,Indiana Pacers,4278000,2004
Kwame Brown,Washington Wizards,4252000,2004
Zeljko Rebraca,Atlanta Hawks,4200000,2004
Darius Miles,Portland Trail Blazers,4130000,2004
Anthony Carter,San Antonio Spurs,4063000,2004
David Wesley,New Orleans Pelicans,3960000,2004
Wally Szczerbiak,Minnesota Timberwolves,3912000,2004
Chucky Atkins,Boston Celtics,3900000,2004
Marc Jackson,Philadelphia 76ers,3900000,2004
Marcus Fizer,Chicago Bulls,3726000,2004
Andrew DeClercq,Orlando Magic,3625000,2004
Lawrence Funderburke,Sacramento Kings,3600000,2004
Moochie Norris,New York Knicks,3600000,2004
Richard Hamilton,Detroit Pistons,3596000,2004
Pau Gasol,Memphis Grizzlies,3417000,2004
Mike Miller,Memphis Grizzlies,3380000,2004
Andre Miller,Denver Nuggets,3317000,2004
Lindsey Hunter,Detroit Pistons,3300000,2004
Chris Whitney,Washington Wizards,3259000,2004
DerMarr Johnson,New York Knicks,3087000,2004
Shawn Marion,Phoenix Suns,3069000,2004
Derek Fisher,Los Angeles Lakers,3000000,2004
Chris Crawford,Atlanta Hawks,3000000,2004
Jason Terry,Atlanta Hawks,2933000,2004
Othella Harrington,New York Knicks,2925000,2004
Bimbo Coles,Miami Heat,2925000,2004
Aaron Williams,Brooklyn Nets,2925000,2004
Tony Delk,Dallas Mavericks,2925000,2004
Bobby Jackson,Sacramento Kings,2925000,2004
Horace Grant,Los Angeles Lakers,2903000,2004
Hubert Davis,Brooklyn Nets,2894000,2004
Corey Maggette,Los Angeles Clippers,2862000,2004
Chris Mihm,Boston Celtics,2823000,2004
Michael Curry,Toronto Raptors,2800000,2004
George Lynch,New Orleans Pelicans,2800000,2004
Metta World Peace,Indiana Pacers,2676000,2004
John Amaechi,New York Knicks,2610000,2004
Jamal Crawford,Chicago Bulls,2577000,2004
Shane Battier,Memphis Grizzlies,2533000,2004
James Posey,Memphis Grizzlies,2445000,2004
Stacey Augmon,New Orleans Pelicans,2400000,2004
Joel Przybilla,Atlanta Hawks,2373000,2004
Quincy Lewis,Minnesota Timberwolves,2350000,2004
Dion Glover,Toronto Raptors,2270000,2004
Jeff Foster,Indiana Pacers,2264000,2004
Keyon Dooling,Los Angeles Clippers,2256000,2004
Devean George,Los Angeles Lakers,2244000,2004
Jerome Moiso,Toronto Raptors,2230000,2004
Kenny Thomas,Philadelphia 76ers,2225000,2004
Etan Thomas,Washington Wizards,2211000,2004
Mateen Cleaves,Cleveland Cavaliers,2134000,2004
DeSagana Diop,Cleveland Cavaliers,2118000,2004
Jason Collier,Atlanta Hawks,2109000,2004
Jumaine Jones,Boston Celtics,2104000,2004
Scott Padgett,Houston Rockets,2102000,2004
Hedo Turkoglu,San Antonio Spurs,1995000,2004
Rodney White,Denver Nuggets,1948000,2004
Desmond Mason,Milwaukee Bucks,1898000,2004
Joe Johnson,Phoenix Suns,1850000,2004
Quentin Richardson,Los Angeles Clippers,1805000,2004
Kedrick Brown,Cleveland Cavaliers,1757000,2004
Jamaal Magloire,New Orleans Pelicans,1735000,2004
Vladimir Radmanovic,Oklahoma City Thunder,1670000,2004
Speedy Claxton,Golden State Warriors,1667000,2004
Morris Peterson,Toronto Raptors,1646000,2004
Donnell Harvey,Phoenix Suns,1631000,2004
DeShawn Stevenson,Orlando Magic,1624000,2004
Richard Jefferson,Brooklyn Nets,1586000,2004
Jake Tsakalidis,Memphis Grizzlies,1580000,2004
Mamadou N'diaye,Atlanta Hawks,1537000,2004
Troy Murphy,Golden State Warriors,1507000,2004
Mark Madsen,Minnesota Timberwolves,1474000,2004
Bryce Drew,New Orleans Pelicans,1300000,2004
Michael Bradley,Atlanta Hawks,1292000,2004
Jason Collins,Brooklyn Nets,1227000,2004
Zach Randolph,Portland Trail Blazers,1172000,2004
Brandon Armstrong,Brooklyn Nets,995000,2004
Andrei Kirilenko,Utah Jazz,956000,2004
Samuel Dalembert,Philadelphia 76ers,887000,2004
Primoz Brezec,Indiana Pacers,862000,2004
Jamaal Tinsley,Indiana Pacers,861000,2004
Tony Parker,San Antonio Spurs,856000,2004
Gerald Wallace,Sacramento Kings,764000,2004
Predrag Drobnjak,Los Angeles Clippers,639000,2004
Trenton Hassell,Minnesota Timberwolves,587000,2004
Shaquille O'Neal,Miami Heat,29464000,2005
Dikembe Mutombo,Houston Rockets,19684000,2005
Allan Houston,New York Knicks,17531000,2005
Chris Webber,Philadelphia 76ers,17351000,2005
Damon Stoudamire,Portland Trail Blazers,15750000,2005
Antoine Walker,Boston Celtics,14625000,2005
Shareef Abdur-Rahim,Portland Trail Blazers,14625000,2005
Allen Iverson,Philadelphia 76ers,14625000,2005
Latrell Sprewell,Minnesota Timberwolves,14625000,2005
Vin Baker,Houston Rockets,14625000,2005
Zydrunas Ilgauskas,Cleveland Cavaliers,14625000,2005
Anfernee Hardaway,New York Knicks,14625000,2005
Ray Allen,Oklahoma City Thunder,14625000,2005
Kobe Bryant,Los Angeles Lakers,14625000,2005
Stephon Marbury,New York Knicks,14625000,2005
Michael Finley,Dallas Mavericks,14609000,2005
Tracy McGrady,Houston Rockets,14487000,2005
Jalen Rose,Toronto Raptors,14487000,2005
Keith Van Horn,Dallas Mavericks,14487000,2005
Grant Hill,Orlando Magic,14487000,2005
Eddie Jones,Miami Heat,13440000,2005
Brian Grant,Los Angeles Lakers,13346000,2005
Vince Carter,Brooklyn Nets,13281000,2005
Tim Thomas,New York Knicks,12900000,2005
Antonio Davis,Chicago Bulls,12000000,2005
Glenn Robinson,San Antonio Spurs,12000000,2005
Nick Van Exel,Portland Trail Blazers,11821000,2005
Theo Ratliff,Portland Trail Blazers,10937000,2005
Kerry Kittles,Los Angeles Clippers,9817000,2005
Jamal Mashburn,Philadelphia 76ers,9300000,2005
Maurice Taylor,New York Knicks,8450000,2005
Derek Anderson,Portland Trail Blazers,8444000,2005
Alan Henderson,Dallas Mavericks,8273000,2005
Austin Croshere,Indiana Pacers,8260000,2005
Erick Dampier,Dallas Mavericks,8105000,2005
Kelvin Cato,Orlando Magic,7992000,2005
Marcus Camby,Denver Nuggets,7750000,2005
Shandon Anderson,Miami Heat,7300000,2005
Lorenzen Wright,Memphis Grizzlies,7150000,2005
Jerry Stackhouse,Dallas Mavericks,7000000,2005
Doug Christie,Orlando Magic,6875000,2005
Peja Stojakovic,Sacramento Kings,6875000,2005
Kenyon Martin,Denver Nuggets,6667000,2005
Howard Eisley,Utah Jazz,6375000,2005
Nazr Mohammed,San Antonio Spurs,6270000,2005
Vitaly Potapenko,Oklahoma City Thunder,6191000,2005
Christian Laettner,Miami Heat,6078000,2005
Stromile Swift,Memphis Grizzlies,6022000,2005
Ben Wallace,Detroit Pistons,6000000,2005
Danny Fortson,Oklahoma City Thunder,5922000,2005
Calvin Booth,Milwaukee Bucks,5900000,2005
Joe Smith,Milwaukee Bucks,5899000,2005
Ruben Patterson,Portland Trail Blazers,5899000,2005
Clarence Weatherspoon,Houston Rockets,5899000,2005
Kurt Thomas,New York Knicks,5885000,2005
Jahidi White,Charlotte Hornets,5884000,2005
Cuttino Mobley,Sacramento Kings,5883000,2005
Scot Pollard,Indiana Pacers,5792000,2005
Steve Nash,Phoenix Suns,5750000,2005
Shawn Bradley,Dallas Mavericks,5714000,2005
Jerome Williams,New York Knicks,5600000,2005
Corliss Williamson,Sacramento Kings,5500000,2005
Aaron McKie,Philadelphia 76ers,5500000,2005
Darius Miles,Portland Trail Blazers,5419000,2005
Kwame Brown,Washington Wizards,5361000,2005
Bo Outlaw,Phoenix Suns,5355000,2005
Marcus Fizer,Milwaukee Bucks,4915000,2005
Lamond Murray,Toronto Raptors,4875000,2005
Eric Snow,Cleveland Cavaliers,4875000,2005
Tony Battie,Orlando Magic,4800000,2005
Michael Stewart,Atlanta Hawks,4800000,2005
Mike Miller,Memphis Grizzlies,4482000,2005
Pau Gasol,Memphis Grizzlies,4318000,2005
Marc Jackson,Philadelphia 76ers,4225000,2005
Chucky Atkins,Los Angeles Lakers,4200000,2005
DerMarr Johnson,Denver Nuggets,4119000,2005
Chris Mihm,Los Angeles Lakers,3785000,2005
Moochie Norris,Houston Rockets,3600000,2005
Jamal Crawford,New York Knicks,3475000,2005
Joel Przybilla,Portland Trail Blazers,3215000,2005
Shane Battier,Memphis Grizzlies,3212000,2005
Othella Harrington,Chicago Bulls,3150000,2005
Aaron Williams,Toronto Raptors,3150000,2005
Tony Delk,Atlanta Hawks,3150000,2005
Bobby Jackson,Sacramento Kings,3150000,2005
Keyon Dooling,Miami Heat,3073000,2005
Jerome Moiso,Cleveland Cavaliers,3054000,2005
Etan Thomas,Washington Wizards,3043000,2005
Derek Fisher,Golden State Warriors,3000000,2005
George Lynch,New Orleans Pelicans,3000000,2005
Mateen Cleaves,Oklahoma City Thunder,2969000,2005
Jason Collier,Atlanta Hawks,2949000,2005
Eddie Griffin,Minnesota Timberwolves,2937000,2005
Hedo Turkoglu,Orlando Magic,2803000,2005
DeSagana Diop,Cleveland Cavaliers,2695000,2005
Desmond Mason,Milwaukee Bucks,2680000,2005
Quentin Richardson,Phoenix Suns,2562000,2005
Rodney White,Golden State Warriors,2481000,2005
Jamaal Magloire,New Orleans Pelicans,2474000,2005
Speedy Claxton,New Orleans Pelicans,2390000,2005
Morris Peterson,Toronto Raptors,2371000,2005
Donnell Harvey,Brooklyn Nets,2363000,2005
DeShawn Stevenson,Orlando Magic,2362000,2005
Joe Johnson,Phoenix Suns,2358000,2005
Kedrick Brown,Philadelphia 76ers,2332000,2005
Jake Tsakalidis,Memphis Grizzlies,2322000,2005
Vladimir Radmanovic,Oklahoma City Thunder,2301000,2005
Mamadou N'diaye,Los Angeles Clippers,2269000,2005
Richard Jefferson,Brooklyn Nets,2266000,2005
Troy Murphy,Golden State Warriors,2232000,2005
Mark Madsen,Minnesota Timberwolves,2212000,2005
Michael Bradley,Philadelphia 76ers,1985000,2005
Jason Collins,Brooklyn Nets,1887000,2005
Zach Randolph,Portland Trail Blazers,1805000,2005
Andrei Kirilenko,Utah Jazz,1672000,2005
Samuel Dalembert,Philadelphia 76ers,1600000,2005
Jamaal Tinsley,Indiana Pacers,1554000,2005
Primoz Brezec,Charlotte Hornets,1554000,2005
Tony Parker,San Antonio Spurs,1545000,2005
Gerald Wallace,Charlotte Hornets,1377000,2005
Shaquille O'Neal,Miami Heat,20000000,2006
Chris Webber,Philadelphia 76ers,19125000,2006
Kevin Garnett,Minnesota Timberwolves,18000000,2006
Allen Iverson,Philadelphia 76ers,16453125,2006
Stephon Marbury,New York Knicks,16453125,2006
Jason Kidd,Brooklyn Nets,16440000,2006
Jermaine O'Neal,Indiana Pacers,16440000,2006
Kobe Bryant,Los Angeles Lakers,15946875,2006
Tim Duncan,San Antonio Spurs,15845157,2006
Vin Baker,Los Angeles Clippers,15750000,2006
Anfernee Hardaway,Orlando Magic,15750000,2006
Tracy McGrady,Houston Rockets,15694250,2006
Jalen Rose,New York Knicks,15694250,2006
Keith Van Horn,Dallas Mavericks,15694250,2006
Grant Hill,Orlando Magic,15694250,2006
Eddie Jones,Memphis Grizzlies,14666250,2006
Tim Thomas,Phoenix Suns,13975000,2006
Antonio Davis,Toronto Raptors,13865000,2006
Paul Pierce,Boston Celtics,13843156,2006
Dirk Nowitzki,Dallas Mavericks,13843156,2006
Antawn Jamison,Washington Wizards,13843156,2006
Vince Carter,Brooklyn Nets,13843156,2006
Steve Francis,New York Knicks,13700000,2006
Baron Davis,Golden State Warriors,13700000,2006
Shawn Marion,Phoenix Suns,13700000,2006
Ray Allen,Oklahoma City Thunder,13223140,2006
Elton Brand,Los Angeles Clippers,13152000,2006
Michael Redd,Milwaukee Bucks,12000000,2006
Joe Johnson,Atlanta Hawks,12000000,2006
Theo Ratliff,Portland Trail Blazers,11666666,2006
Mike Bibby,Sacramento Kings,11500000,2006
Lamar Odom,Los Angeles Lakers,11448596,2006
Carlos Boozer,Utah Jazz,11260483,2006
Pau Gasol,Memphis Grizzlies,10993000,2006
Andrei Kirilenko,Utah Jazz,10983000,2006
Kenyon Martin,Denver Nuggets,10886364,2006
Rasheed Wallace,Detroit Pistons,10860000,2006
Zach Randolph,Portland Trail Blazers,10666667,2006
Raef LaFrentz,Boston Celtics,10623288,2006
Wally Szczerbiak,Boston Celtics,10500000,2006
Larry Hughes,Cleveland Cavaliers,10344900,2006
Gilbert Arenas,Washington Wizards,10243200,2006
Richard Jefferson,Brooklyn Nets,10200000,2006
Jamal Mashburn,Philadelphia 76ers,10075000,2006
Steve Nash,Phoenix Suns,9625000,2006
Rashard Lewis,Oklahoma City Thunder,9571429,2006
Marcus Camby,Denver Nuggets,9400000,2006
Maurice Taylor,New York Knicks,9100000,2006
Jason Richardson,Golden State Warriors,8888888,2006
Brad Miller,Sacramento Kings,8750000,2006
Zydrunas Ilgauskas,Cleveland Cavaliers,8743238,2006
Kelvin Cato,Detroit Pistons,8640000,2006
Samuel Dalembert,Philadelphia 76ers,8477178,2006
Tony Parker,San Antonio Spurs,8400000,2006
Jerry Stackhouse,Dallas Mavericks,8367187,2006
Jamaal Magloire,Milwaukee Bucks,8333334,2006
Tyson Chandler,Chicago Bulls,8299670,2006
Mehmet Okur,Utah Jazz,8250000,2006
Kenny Thomas,Sacramento Kings,8183769,2006
Richard Hamilton,Detroit Pistons,8125000,2006
Andre Miller,Denver Nuggets,8100000,2006
Bobby Simmons,Milwaukee Bucks,8000000,2006
Bonzi Wells,Sacramento Kings,8000000,2006
P.J. Brown,NO/Oklahoma City  Hornets,8000000,2006
Austin Croshere,Indiana Pacers,7900000,2006
Lorenzen Wright,Memphis Grizzlies,7700000,2006
Erick Dampier,Dallas Mavericks,7662500,2006
Jason Williams,Miami Heat,7562500,2006
Peja Stojakovic,Indiana Pacers,7525000,2006
Kwame Brown,Los Angeles Lakers,7500000,2006
Doug Christie,Dallas Mavericks,7500000,2006
Ben Wallace,Detroit Pistons,7500000,2006
Manu Ginobili,San Antonio Spurs,7428937,2006
Eddy Curry,New York Knicks,7394663,2006
Troy Murphy,Golden State Warriors,7365079,2006
Adonal Foyle,Golden State Warriors,7312500,2006
Darius Miles,Portland Trail Blazers,7250000,2006
Cuttino Mobley,Los Angeles Clippers,7241379,2006
Desmond Mason,NO/Oklahoma City  Hornets,7233333,2006
Jonathan Bender,Indiana Pacers,7175000,2006
Kurt Thomas,Phoenix Suns,7085919,2006
Corey Maggette,Los Angeles Clippers,7000000,2006
Malik Rose,New York Knicks,6979147,2006
Al Harrington,Atlanta Hawks,6975500,2006
Quentin Richardson,New York Knicks,6945500,2006
Howard Eisley,Denver Nuggets,6906000,2006
Antoine Walker,Miami Heat,6884000,2006
Mike Miller,Memphis Grizzlies,6871431,2006
Metta World Peace,Sacramento Kings,6842105,2006
Rasho Nesterovic,San Antonio Spurs,6720000,2006
Jason Terry,Dallas Mavericks,6666667,2006
Jamal Crawford,New York Knicks,6480000,2006
Joe Smith,Milwaukee Bucks,6353200,2006
Ruben Patterson,Denver Nuggets,6353200,2006
Alvin Williams,Toronto Raptors,6300000,2006
Scot Pollard,Indiana Pacers,6274935,2006
Danny Fortson,Oklahoma City Thunder,6207670,2006
Sam Cassell,Los Angeles Clippers,6187500,2006
Corliss Williamson,Sacramento Kings,6000000,2006
Ricky Davis,Minnesota Timberwolves,5909800,2006
Chauncey Billups,Detroit Pistons,5909800,2006
Juwan Howard,Houston Rockets,5900400,2006
James Posey,Miami Heat,5900400,2006
Michael Olowokandi,Boston Celtics,5900400,2006
Stephen Jackson,Indiana Pacers,5610000,2006
Yao Ming,Houston Rockets,5594906,2006
Mark Blount,Minnesota Timberwolves,5515875,2006
Nazr Mohammed,San Antonio Spurs,5500000,2006
Jason Collins,Brooklyn Nets,5500000,2006
Eric Snow,Cleveland Cavaliers,5484375,2006
Jamaal Tinsley,Indiana Pacers,5400000,2006
Derek Fisher,Golden State Warriors,5393300,2006
Antonio McDyess,Detroit Pistons,5393300,2006
Marquis Daniels,Dallas Mavericks,5393300,2006
Hedo Turkoglu,Orlando Magic,5393300,2006
Etan Thomas,Washington Wizards,5393300,2006
Marko Jaric,Minnesota Timberwolves,5280528,2006
Troy Hudson,Minnesota Timberwolves,5253000,2006
Tony Battie,Orlando Magic,5200000,2006
David Wesley,Houston Rockets,5075000,2006
Matt Harpring,Utah Jazz,5020000,2006
Devean George,Los Angeles Lakers,5000600,2006
Shareef Abdur-Rahim,Sacramento Kings,5000000,2006
Earl Watson,Oklahoma City Thunder,5000000,2006
Gerald Wallace,Charlotte Hornets,5000000,2006
Stromile Swift,Houston Rockets,5000000,2006
Antonio Daniels,Washington Wizards,5000000,2006
Udonis Haslem,Miami Heat,5000000,2006
Jeff Foster,Indiana Pacers,5000000,2006
Jerome James,New York Knicks,5000000,2006
Brian Skinner,Portland Trail Blazers,4950000,2006
Brian Cardinal,Memphis Grizzlies,4950000,2006
Shane Battier,Memphis Grizzlies,4903000,2006
Donyell Marshall,Cleveland Cavaliers,4799108,2006
Dan Gadzuric,Milwaukee Bucks,4750000,2006
Brent Barry,San Antonio Spurs,4691390,2006
LeBron James,Cleveland Cavaliers,4621800,2006
Brevin Knight,Charlotte Hornets,4600000,2006
Morris Peterson,Toronto Raptors,4550000,2006
Marc Jackson,NO/Oklahoma City  Hornets,4550000,2006
Mike Dunleavy,Golden State Warriors,4506261,2006
Andrea Bargnani,Brooklyn Nets,4501200,2006
Chucky Atkins,Memphis Grizzlies,4500000,2006
Dwight Howard,Orlando Magic,4493160,2006
Greg Ostertag,Utah Jazz,4400000,2006
Trenton Hassell,Minnesota Timberwolves,4350000,2006
Andrew Bogut,Milwaukee Bucks,4340520,2006
Raja Bell,Phoenix Suns,4250000,2006
Damon Stoudamire,Memphis Grizzlies,4250000,2006
Moochie Norris,NO/Oklahoma City  Hornets,4200000,2006
Eduardo Najera,Denver Nuggets,4190476,2006
Darko Milicic,Orlando Magic,4135200,2006
Drew Gooden,Cleveland Cavaliers,4065811,2006
Emeka Okafor,Charlotte Hornets,4020120,2006
Brendan Haywood,Washington Wizards,4000000,2006
Gordan Giricek,Utah Jazz,4000000,2006
Sarunas Jasikevicius,Indiana Pacers,4000000,2006
Zaza Pachulia,Atlanta Hawks,4000000,2006
Carlos Arroyo,Orlando Magic,4000000,2006
Eric Williams,Toronto Raptors,3938000,2006
Marvin Williams,Atlanta Hawks,3883000,2006
Rafer Alston,Houston Rockets,3850000,2006
Chris Mihm,Los Angeles Lakers,3792817,2006
Carmelo Anthony,Denver Nuggets,3713640,2006
Kyle Korver,Philadelphia 76ers,3636364,2006
Ben Gordon,Chicago Bulls,3610200,2006
Speedy Claxton,NO/Oklahoma City  Hornets,3600000,2006
Damon Jones,Cleveland Cavaliers,3596924,2006
Voshon Lenard,Portland Trail Blazers,3520000,2006
Bob Sura,Houston Rockets,3520000,2006
Dale Davis,Detroit Pistons,3500000,2006
Tyronn Lue,Atlanta Hawks,3500000,2006
Deron Williams,Utah Jazz,3487440,2006
Mike James,Toronto Raptors,3410000,2006
Jeff McInnis,Brooklyn Nets,3400000,2006
Bruce Bowen,San Antonio Spurs,3375000,2006
Aaron Williams,NO/Oklahoma City  Hornets,3375000,2006
Bobby Jackson,Memphis Grizzlies,3375000,2006
Chris Bosh,Toronto Raptors,3348000,2006
Vitaly Potapenko,Sacramento Kings,3325416,2006
Shaun Livingston,Los Angeles Clippers,3254880,2006
Pat Garrity,Orlando Magic,3231250,2006
Othella Harrington,Chicago Bulls,3200000,2006
Vladimir Radmanovic,Los Angeles Clippers,3166154,2006
Chris Paul,NO/Oklahoma City  Hornets,3144240,2006
Keyon Dooling,Orlando Magic,3100000,2006
Nene Hilario,Denver Nuggets,3039889,2006
Dwyane Wade,Miami Heat,3031920,2006
Robert Horry,San Antonio Spurs,3000000,2006
Eric Piatkowski,Chicago Bulls,3000000,2006
Kareem Rush,Charlotte Hornets,3000000,2006
Zeljko Rebraca,Los Angeles Clippers,3000000,2006
Slava Medvedenko,Los Angeles Lakers,3000000,2006
Kevin Ollie,Philadelphia 76ers,2950200,2006
Ira Newble,Cleveland Cavaliers,2950200,2006
Devin Harris,Dallas Mavericks,2947440,2006
Tony Delk,Detroit Pistons,2925000,2006
Jake Tsakalidis,Memphis Grizzlies,2900000,2006
Raymond Felton,Charlotte Hornets,2847360,2006
Steven Hunter,NO/Oklahoma City  Hornets,2844828,2006
Chris Wilcox,Oklahoma City Thunder,2812239,2006
Chris Duhon,Chicago Bulls,2800000,2006
Andres Nocioni,Chicago Bulls,2775000,2006
Chris Kaman,Los Angeles Clippers,2753760,2006
Primoz Brezec,Charlotte Hornets,2750000,2006
Earl Boykins,Denver Nuggets,2750000,2006
DeShawn Stevenson,Orlando Magic,2750000,2006
Josh Childress,Atlanta Hawks,2677200,2006
Michael Finley,San Antonio Spurs,2675000,2006
Michael Doleac,Miami Heat,2640000,2006
Jim Jackson,Los Angeles Lakers,2640000,2006
Amar'e Stoudemire,Phoenix Suns,2589023,2006
Brian Scalabrine,Boston Celtics,2586207,2006
Martell Webster,Portland Trail Blazers,2586120,2006
Kirk Hinrich,Chicago Bulls,2513880,2006
Bostjan Nachbar,Brooklyn Nets,2500000,2006
Clifford Robinson,Brooklyn Nets,2500000,2006
Eddie Griffin,Minnesota Timberwolves,2500000,2006
Damien Wilkins,Oklahoma City Thunder,2500000,2006
Aaron McKie,Los Angeles Lakers,2500000,2006
Arvydas Macijauskas,NO/Oklahoma City  Hornets,2500000,2006
Juan Dixon,Portland Trail Blazers,2500000,2006
Caron Butler,Washington Wizards,2461617,2006
Luol Deng,Chicago Bulls,2443920,2006
Jared Jeffries,Washington Wizards,2433824,2006
Anthony Johnson,Indiana Pacers,2420000,2006
Melvin Ely,Charlotte Hornets,2401027,2006
James Jones,Phoenix Suns,2400000,2006
Charlie Villanueva,Toronto Raptors,2360880,2006
Jose Calderon,Toronto Raptors,2333334,2006
Fred Jones,Indiana Pacers,2328843,2006
Fabricio Oberto,San Antonio Spurs,2325000,2006
T.J. Ford,Milwaukee Bucks,2303040,2006
Dan Dickau,Boston Celtics,2255350,2006
Rafael Araujo,Toronto Raptors,2238960,2006
Darius Songaila,Chicago Bulls,2200000,2006
Jiri Welsch,Milwaukee Bucks,2177114,2006
Channing Frye,New York Knicks,2162880,2006
Michael Sweetney,Chicago Bulls,2116920,2006
Andre Iguodala,Philadelphia 76ers,2058000,2006
Jake Voskuhl,Charlotte Hornets,2015625,2006
Jarvis Hayes,Washington Wizards,2011080,2006
Matt Bonner,Toronto Raptors,2000000,2006
Mark Madsen,Minnesota Timberwolves,2000000,2006
Toni Kukoc,Milwaukee Bucks,2000000,2006
Dikembe Mutombo,Houston Rockets,2000000,2006
DeSagana Diop,Dallas Mavericks,2000000,2006
Ike Diogu,Golden State Warriors,1988160,2006
Luke Jackson,Cleveland Cavaliers,1955160,2006
Mickael Pietrus,Golden State Warriors,1910520,2006
Andrew Bynum,Los Angeles Lakers,1888680,2006
Jumaine Jones,Charlotte Hornets,1875000,2006
