DATE,SEASON,TEAM_ID,ELO
1988-05-18,1987-88,1610612741,1474.5310944288385
1988-05-19,1987-88,1610612743,1507.7941414577133
1988-05-21,1987-88,1610612762,1529.25407956974
1988-05-22,1987-88,1610612737,1458.482962935566
1988-06-03,1987-88,1610612738,1517.1204178093315
1988-06-04,1987-88,1610612742,1544.5443402987933
1988-06-21,1987-88,1610612747,1600.1171012458103
1988-06-21,1987-88,1610612765,1562.7039684323731
1989-04-22,1988-89,1610612746,1232.748673979911
1989-04-22,1988-89,1610612748,1176.0294446804255
1989-04-22,1988-89,1610612754,1391.0477783858198
1989-04-22,1988-89,1610612759,1167.7364754754667
1989-04-22,1988-89,1610612751,1212.2959065474236
1989-04-23,1988-89,1610612766,1207.205138562884
1989-04-23,1988-89,1610612764,1459.915729337628
1989-04-23,1988-89,1610612742,1321.7663615170513
1989-04-23,1988-89,1610612758,1316.6622887873164
1989-05-02,1988-89,1610612762,1421.687532360659
1989-05-02,1988-89,1610612743,1359.2213943896434
1989-05-02,1988-89,1610612738,1401.0193726870516
1989-05-02,1988-89,1610612755,1428.9251949904265
1989-05-03,1988-89,1610612757,1320.5356311901066
1989-05-05,1988-89,1610612745,1379.1740938139471
1989-05-07,1988-89,1610612739,1499.6563590279911
1989-05-07,1988-89,1610612737,1525.4846363553781
1989-05-14,1988-89,1610612760,1420.852249467493
1989-05-15,1988-89,1610612749,1452.7571844801441
1989-05-16,1988-89,1610612744,1393.1421706220028
1989-05-19,1988-89,1610612752,1478.5655325837158
1989-05-28,1988-89,1610612756,1530.715957804654
1989-06-02,1988-89,1610612741,1525.7944863818298
1989-06-13,1988-89,1610612747,1609.1844289855394
1989-06-13,1988-89,1610612765,1767.8759775854946
1990-04-21,1989-90,1610612758,1199.6329302958227
1990-04-21,1989-90,1610612746,1246.4736471212123
1990-04-21,1989-90,1610612737,1442.148668411015
1990-04-21,1989-90,1610612748,1166.5940740835329
1990-04-22,1989-90,1610612750,1244.7787338505002
1990-04-22,1989-90,1610612744,1359.646316629929
1990-04-22,1989-90,1610612760,1395.9221678934603
1990-04-22,1989-90,1610612764,1281.3898169883366
1990-04-22,1989-90,1610612751,1103.2197351688678
1990-04-22,1989-90,1610612753,1117.6033062538706
1990-04-22,1989-90,1610612766,1230.5993933891646
1990-05-01,1989-90,1610612742,1474.4524595169864
1990-05-01,1989-90,1610612754,1370.1187653046247
1990-05-01,1989-90,1610612743,1374.2009705341625
1990-05-03,1989-90,1610612749,1422.424128514648
1990-05-03,1989-90,1610612745,1445.4902505852856
1990-05-05,1989-90,1610612739,1481.3136091783433
1990-05-06,1989-90,1610612738,1488.6008074362683
1990-05-06,1989-90,1610612762,1473.974987117857
1990-05-15,1989-90,1610612752,1391.2472762000825
1990-05-15,1989-90,1610612747,1569.4086681267745
1990-05-16,1989-90,1610612755,1511.8907698143905
1990-05-19,1989-90,1610612759,1581.1008560793152
1990-05-31,1989-90,1610612756,1572.3770892418186
1990-06-03,1989-90,1610612741,1592.6033985819415
1990-06-14,1989-90,1610612757,1597.2176174988292
1990-06-14,1989-90,1610612765,1665.5695561829639
1991-04-20,1990-91,1610612766,1271.5602679897338
1991-04-20,1990-91,1610612748,1212.2087360294158
1991-04-21,1990-91,1610612758,1280.3304664656062
1991-04-21,1990-91,1610612746,1321.014567773587
1991-04-21,1990-91,1610612753,1376.1507533008842
1991-04-21,1990-91,1610612751,1233.527034970284
1991-04-21,1990-91,1610612742,1271.1599753558125
1991-04-21,1990-91,1610612743,1174.491146301962
1991-04-21,1990-91,1610612739,1376.582568091665
1991-04-21,1990-91,1610612764,1253.8928985641649
1991-04-21,1990-91,1610612750,1318.4231001092594
1991-04-30,1990-91,1610612749,1378.536695617232
1991-04-30,1990-91,1610612745,1491.5216682208695
1991-04-30,1990-91,1610612752,1375.8044169141126
1991-05-02,1990-91,1610612756,1504.167233208473
1991-05-03,1990-91,1610612759,1486.278410745529
1991-05-04,1990-91,1610612760,1458.1560221566028
1991-05-05,1990-91,1610612754,1418.49876208199
1991-05-05,1990-91,1610612737,1386.3610042394362
1991-05-14,1990-91,1610612744,1465.0042867052287
1991-05-14,1990-91,1610612762,1523.278556609779
1991-05-14,1990-91,1610612755,1426.7153308252173
1991-05-17,1990-91,1610612738,1420.1896011465387
1991-05-27,1990-91,1610612765,1446.8466067969696
1991-05-30,1990-91,1610612757,1608.3190494745475
