iter	RMSE
349	3319767.074
350	3316908.564
351	3314929.054
352	3313354.953
353	3310278.946
354	3308219.036
355	3305869.401
356	3303272.121
357	3301839.759
358	3298011.413
359	3295294.72
360	3292867.711
361	3290193.708
362	3287780.839
363	3287413.278
364	3284638.791
365	3282730.378
366	3281705.753
367	3280262.017
368	3275374.687
369	3273167.86
370	3270749.387
371	3267578.136
372	3264327.32
373	3262764.422
374	3260658.654
375	3258007.156
376	3256312.124
377	3255113.107
378	3253508.441
379	3252897.553
380	3250037.883
381	3248021.274
382	3247098.879
383	3244536.289
384	3242364.658
385	3240903.155
386	3239481.365
387	3236853.171
388	3232666.681
389	3229319.468
390	3227711.405
391	3225353.435
392	3221913.049
393	3220074.346
394	3217010.821
395	3215115.468
396	3212947.798
397	3210823.263
398	3208842.874
399	3205630.18
400	3202718.115
401	3200428.474
402	3199315.638
403	3197979.118
404	3194176.633
405	3191851.41
406	3189226.817
407	3187400.815
408	3185843.755
409	3183242.517
410	3181530.42
411	3180327.521
412	3177833.847
413	3176180.986
414	3175378.926
415	3173703.627
416	3171840.135
417	3170750.276
418	3168010.195
419	3166092.911
420	3164117.163
421	3162115.704
422	3160144.879
423	3158106.656
424	3154720.856
425	3153150.839
426	3151486.625
427	3148881.929
428	3147283.397
429	3144843.857
430	3144035.975
431	3142785.091
432	3140427.246
433	3139212.341
434	3136218.965
435	3134132.184
436	3132231.605
437	3130879.237
438	3128767.348
439	3126871.173
440	3124902.684
441	3121845.462
442	3120380.86
443	3118650.719
444	3118159.551
445	3116485.969
446	3115667.622
447	3114362.554
448	3112211.475
449	3110087.609
450	3107781.428
451	3104556.596
452	3102993.524
453	3102147.338
454	3100024.861
455	3097906.912
456	3096194.055
457	3094464.835
458	3093648.627
459	3093190.503
460	3091137.044
461	3088720.827
462	3086254.558
463	3084439.198
464	3082839.606
465	3080830.795
466	3079072.067
467	3078042.945
468	3076301.028
469	3074380.255
470	3072026.463
471	3070028.574
472	3068654.42
473	3066972.736
474	3065216.963
475	3063403.32
476	3061194.84
477	3059789.318
478	3058022.281
479	3055841.38
480	3053887.717
481	3051454.984
482	3048965.029
483	3046649.348
484	3044948.515
485	3043771.431
486	3041255.811
487	3039313.035
488	3036124.444
489	3035059.625
490	3033939.154
491	3031603.037
492	3028668.649
493	3026280.915
494	3024585.796
495	3022668.618
496	3020825.974
497	3019984.902
498	3019481.25
499	3017079.58
500	3015252.229
501	3013902.938
502	3011965.354
503	3011043.745
504	3009681.285
505	3008381.823
506	3007125.373
507	3005542.465
508	3003781.311
509	3001750.946
510	2999622.064
511	2996352.533
512	2995176.492
513	2993341.584
514	2991983.644
515	2989883.687
516	2988731.845
517	2987405.842
518	2985931.307
519	2985249.996
520	2983414.157
521	2982715.39
522	2979650.901
523	2978109.416
524	2975840.081
525	2974028.214
526	2971688.296
527	2968954.266
528	2966878.819
529	2965915.166
530	2964886.829
531	2964186.08
532	2961605.118
533	2958836.338
534	2957674.57
535	2956305.116
536	2954994.391
537	2953793.791
538	2952469.659
539	2950333.378
540	2949688.519
541	2947274.315
542	2944549.143
543	2942496.861
544	2941247.92
545	2939883.759
546	2938144.179
547	2936589.507
548	2935057.914
549	2933807.83
550	2931306.061
551	2928958.639
552	2926169.711
553	2924290.515
554	2922331.898
555	2918819.452
556	2915708.717
557	2913528.883
558	2911613.523
559	2910514.267
560	2908722.997
561	2907617.233
562	2906865.523
563	2906228.563
564	2902965.283
565	2900382.482
566	2898934.206
567	2897277.623
568	2896846.851
569	2895851.091
570	2894237.124
571	2892492.454
572	2890343.079
573	2889128.718
574	2887565.12
575	2885774.108
576	2884485.191
577	2882029.518
578	2880187.22
579	2878181.265
580	2877002.544
581	2875789.32
582	2874555.878
583	2871670.122
584	2869425.925
585	2867063.313
586	2865130.134
587	2863101.054
588	2861368.299
589	2859590.351
590	2858577.37
591	2856529.907
592	2854498.028
593	2853159.9
594	2851747.459
595	2850496.738
596	2849350.526
597	2848286.07
598	2846384.233
599	2844631.546
600	2842917.294
601	2840888.494
602	2838866.813
603	2837456.937
604	2836049.765
605	2833828.737
606	2833346.588
607	2831886.859
608	2829627.604
609	2827925.466
610	2827148.805
611	2825014.222
612	2823312.522
613	2821938.574
614	2820819.627
615	2819584.492
616	2818098.649
617	2817003.797
618	2815654.431
619	2814435.988
620	2812445.276
621	2811278.693
622	2810327.881
623	2808265.158
624	2806209.348
625	2803522.518
626	2801608.692
627	2800583.128
628	2798522.508
629	2797202.441
630	2796497.442
631	2794208.969
632	2792764.335
633	2791252.624
634	2790557.245
635	2788742.5
636	2787163.311
637	2786045.178
638	2784967.091
639	2783877.92
640	2782781.421
641	2782068.026
642	2781352.204
643	2779133.061
644	2776948.401
645	2775416.005
646	2774045.671
647	2772439.496
648	2770580.861
