SEASON,TEAM,MONTH,ELO,GP,MIN,PTS,W,L,FGM,FGA,3PM,3PA,FTM,FTA,OREB,DREB,REB,AST,TOV,STL,BLK,PF
2021-22,Memphis Grizzlies,November,1459.8810379838721,37.0,1786.0,4111.0,23.0,14.0,1545.0,3420.0,431.0,1242.0,590.0,780.0,485.0,1271.0,1756.0,926.0,500.0,383.0,218.0,708.0
2021-22,Miami Heat,December,1481.5025731130263,51.0,2473.0,5546.0,32.0,19.0,2006.0,4374.0,699.0,1855.0,835.0,1031.0,555.0,1724.0,2279.0,1316.0,760.0,374.0,168.0,1039.0
2021-22,Miami Heat,January,1506.3166741213931,58.0,2809.0,6315.0,37.0,21.0,2282.0,4949.0,775.0,2067.0,976.0,1197.0,624.0,1964.0,2588.0,1489.0,863.0,437.0,186.0,1194.0
2021-22,Miami Heat,November,1497.273899481541,36.0,1738.0,3878.0,23.0,13.0,1413.0,3071.0,478.0,1288.0,574.0,724.0,383.0,1213.0,1596.0,908.0,524.0,258.0,114.0,724.0
2021-22,Milwaukee Bucks,December,1478.5896326997172,52.0,2506.0,5811.0,31.0,21.0,2097.0,4617.0,733.0,2039.0,884.0,1132.0,539.0,1895.0,2434.0,1197.0,725.0,403.0,221.0,931.0
2021-22,Milwaukee Bucks,January,1459.39262839332,59.0,2842.0,6670.0,36.0,23.0,2418.0,5248.0,835.0,2309.0,999.0,1289.0,601.0,2142.0,2743.0,1382.0,808.0,456.0,244.0,1062.0
2021-22,Milwaukee Bucks,November,1505.654581920452,37.0,1786.0,4129.0,24.0,13.0,1506.0,3304.0,522.0,1448.0,595.0,780.0,398.0,1341.0,1739.0,851.0,519.0,283.0,163.0,652.0
2021-22,Minnesota Timberwolves,December,1469.3280546709882,50.0,2415.0,5580.0,25.0,25.0,2028.0,4570.0,708.0,2073.0,816.0,1072.0,609.0,1637.0,2246.0,1223.0,742.0,441.0,289.0,1093.0
2021-22,Minnesota Timberwolves,January,1393.453761915839,59.0,2852.0,6677.0,31.0,28.0,2418.0,5409.0,851.0,2449.0,990.0,1297.0,702.0,1942.0,2644.0,1483.0,854.0,511.0,345.0,1277.0
2021-22,Minnesota Timberwolves,November,1436.0363659756388,35.0,1695.0,3785.0,16.0,19.0,1373.0,3198.0,495.0,1457.0,544.0,715.0,437.0,1144.0,1581.0,825.0,528.0,300.0,199.0,789.0
2021-22,New Orleans Pelicans,December,1380.8595879079662,50.0,2410.0,5262.0,18.0,32.0,1921.0,4390.0,543.0,1653.0,877.0,1114.0,588.0,1694.0,2282.0,1230.0,712.0,376.0,203.0,973.0
2021-22,New Orleans Pelicans,January,1299.943116023621,58.0,2794.0,6156.0,23.0,35.0,2253.0,5048.0,621.0,1901.0,1029.0,1293.0,659.0,1949.0,2608.0,1434.0,837.0,435.0,249.0,1149.0
2021-22,New Orleans Pelicans,November,1364.6441855034386,35.0,1690.0,3677.0,13.0,22.0,1354.0,3100.0,392.0,1147.0,577.0,725.0,420.0,1212.0,1632.0,860.0,521.0,257.0,143.0,678.0
2021-22,New York Knicks,December,1335.7074659161312,51.0,2458.0,5308.0,24.0,27.0,1905.0,4357.0,667.0,1868.0,831.0,1112.0,561.0,1764.0,2325.0,1087.0,694.0,355.0,248.0,998.0
2021-22,New York Knicks,January,1465.8992999022528,59.0,2852.0,6198.0,25.0,34.0,2215.0,5103.0,770.0,2186.0,998.0,1328.0,677.0,2041.0,2718.0,1270.0,800.0,409.0,298.0,1175.0
2021-22,New York Knicks,November,1509.2862735481697,36.0,1738.0,3769.0,17.0,19.0,1352.0,3116.0,479.0,1344.0,586.0,757.0,388.0,1249.0,1637.0,760.0,484.0,246.0,192.0,677.0
