FIRST_NAME,LAST_NAME,P_ID,SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,GS,MIN,FGM,FGA,FG%,FG3M,FG3A,FG3%,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,TEAM,MPG,factor,vop,drbp,uPER,T_PACE,L_PACE,adjustment,aPER,PER
Deandre,Ayton,1629028,2021-22,1610612756,PHX,23,30,30.0,889,213,334,0.638,2.0,8.0,0.25,59,82,0.72,80.0,231.0,311.0,47,24.0,23.0,52.0,67,487,Phoenix Suns,29.63,0.04130932045405912,1.087948946927491,0.7787355851803386,0.5437752410319389,3264827.937187796,3189620.206636605,0.9769642590672106,0.5312489754538621,21.73
Marvin,Bagley III,1628963,2021-22,1610612758,SAC,22,30,17.0,656,114,246,0.463,15.0,62.0,0.242,35,47,0.745,67.0,148.0,215.0,17,9.0,11.0,21.0,50,278,Sacramento Kings,21.87,0.04130932045405912,1.087948946927491,0.7787355851803386,0.3620993622902939,3116093.944990641,3189620.206636605,1.0235956498565015,0.3706433320561581,15.16
LaMelo,Ball,1630163,2021-22,1610612766,CHA,20,45,45.0,1454,321,754,0.426,116.0,324.0,0.358,137,157,0.873,73.0,250.0,323.0,346,69.0,20.0,136.0,136,895,Charlotte Hornets,32.31,0.04130932045405912,1.087948946927491,0.7787355851803386,0.5133768978639958,3165947.3555475655,3189620.206636605,1.0074773356693876,0.5172155892542337,21.15
Lonzo,Ball,1628366,2021-22,1610612741,CHI,24,35,35.0,1212,162,383,0.423,110.0,260.0,0.423,21,28,0.75,35.0,155.0,190.0,178,64.0,31.0,82.0,85,455,Chicago Bulls,34.63,0.04130932045405912,1.087948946927491,0.7787355851803386,0.3475950008059305,3214531.0749079874,3189620.206636605,0.9922505436435716,0.34490132851747224,14.11
Mo,Bamba,1628964,2021-22,1610612753,ORL,23,42,40.0,1115,170,358,0.475,55.0,156.0,0.353,34,44,0.773,90.0,248.0,338.0,55,27.0,83.0,55.0,107,429,Orlando Magic,26.55,0.04130932045405912,1.087948946927491,0.7787355851803386,0.3883779455157549,3087704.528581824,3189620.206636605,1.0330069399812651,0.40119711305344047,16.41
Desmond,Bane,1630217,2021-22,1610612763,MEM,23,50,50.0,1512,339,729,0.465,145.0,347.0,0.418,77,86,0.895,27.0,192.0,219.0,121,56.0,24.0,76.0,122,900,Memphis Grizzlies,30.24,0.04130932045405912,1.087948946927491,0.7787355851803386,0.43368318185101895,2986122.889160009,3189620.206636605,1.0681476700826065,0.46323768024817724,18.94
Harrison,Barnes,203084,2021-22,1610612758,SAC,29,49,49.0,1649,251,551,0.456,99.0,243.0,0.407,214,261,0.82,55.0,241.0,296.0,120,33.0,9.0,81.0,62,815,Sacramento Kings,33.65,0.04130932045405912,1.087948946927491,0.7787355851803386,0.38364942482638126,3116093.944990641,3189620.206636605,1.0235956498565015,0.39270188232223274,16.06
Scottie,Barnes,1630567,2021-22,1610612761,TOR,20,42,42.0,1520,247,523,0.472,36.0,115.0,0.313,88,122,0.721,113.0,213.0,326.0,142,40.0,37.0,79.0,121,618,Toronto Raptors,36.19,0.04130932045405912,1.087948946927491,0.7787355851803386,0.3586267478205777,3490415.066812075,3189620.206636605,0.9138226100856832,0.3277212307399404,13.4
RJ,Barrett,1629628,2021-22,1610612752,NYK,21,45,45.0,1460,278,671,0.414,87.0,248.0,0.351,143,206,0.694,35.0,220.0,255.0,112,25.0,14.0,90.0,93,786,New York Knicks,32.44,0.04130932045405912,1.087948946927491,0.7787355851803386,0.32365374715033524,2879031.620058525,3189620.206636605,1.1078795329701054,0.35856936223693797,14.66
Will,Barton,203115,2021-22,1610612743,DEN,31,44,44.0,1429,256,589,0.435,103.0,276.0,0.373,58,75,0.773,29.0,188.0,217.0,184,37.0,23.0,81.0,63,673,Denver Nuggets,32.48,0.04130932045405912,1.087948946927491,0.7787355851803386,0.3583842189089755,3336897.756237723,3189620.206636605,0.9558639310042361,0.34256654829621597,14.01
